sample_id	experiment	genotype	tissue	sample_key	n_processed	n_pseudoaligned	p_pseudoaligned
SG2021_4001_SC0448	SG2021	SC0448	leaf	4001_SC0448	23010377	19948736	86.7
SG2021_4002_PI534006	SG2021	PI534006	leaf	4002_PI534006	26059137	23071386	88.5
SG2021_4003_PI534097	SG2021	PI534097	leaf	4003_PI534097	26978393	24514572	90.9
SG2021_4004_SC1216	SG2021	SC1216	leaf	4004_SC1216	26597667	23629110	88.8
SG2021_4005_SC0582	SG2021	SC0582	leaf	4005_SC0582	22858838	20068626	87.8
SG2021_4006_PI533882	SG2021	PI533882	leaf	4006_PI533882	21106305	18714408	88.7
SG2021_4007_PI597952	SG2021	PI597952	leaf	4007_PI597952	26193495	23493082	89.7
SG2021_4010_PI656062	SG2021	PI656062	leaf	4010_PI656062	24467518	22115399	90.4
SG2021_4011_PI576391	SG2021	PI576391	leaf	4011_PI576391	24837542	22453766	90.4
SG2021_4014_PI656071	SG2021	PI656071	leaf	4014_PI656071	20970151	18982017	90.5
SG2021_4015_PI533966	SG2021	PI533966	leaf	4015_PI533966	25782727	22923195	88.9
SG2021_4016_PI576340	SG2021	PI576340	leaf	4016_PI576340	28616829	25538003	89.2
SG2021_4017_PI533955	SG2021	PI533955	leaf	4017_PI533955	26312447	23059455	87.6
SG2021_4018_PI576368	SG2021	PI576368	leaf	4018_PI576368	25761749	22496257	87.3
SG2021_4020_SC0858	SG2021	SC0858	leaf	4020_SC0858	20836826	18476567	88.7
SG2021_4021_PI533827	SG2021	PI533827	leaf	4021_PI533827	27249354	24441725	89.7
SG2021_4022_PI533805	SG2021	PI533805	leaf	4022_PI533805	27676404	24709540	89.3
SG2021_4023_PI533990	SG2021	PI533990	leaf	4023_PI533990	24147518	19595472	81.1
SG2021_4024_PI533804	SG2021	PI533804	leaf	4024_PI533804	24015576	21432742	89.2
SG2021_4028_PI656096	SG2021	PI656096	leaf	4028_PI656096	20908700	18396510	88.0
SG2021_4030_PI533887	SG2021	PI533887	leaf	4030_PI533887	25130004	21758286	86.6
SG2021_4033_PI533797	SG2021	PI533797	leaf	4033_PI533797	38168073	33808133	88.6
SG2021_4034_PI533864	SG2021	PI533864	leaf	4034_PI533864	29322128	26783361	91.3
SG2021_4035_PI609456	SG2021	PI609456	leaf	4035_PI609456	25720766	23383986	90.9
SG2021_4037_SC0921	SG2021	SC0921	leaf	4037_SC0921	27347997	24409826	89.3
SG2021_4039_PI533884	SG2021	PI533884	leaf	4039_PI533884	24677758	21454055	86.9
SG2021_4041_PI576338	SG2021	PI576338	leaf	4041_PI576338	23526091	21103579	89.7
SG2021_4042_PI576328	SG2021	PI576328	leaf	4042_PI576328	24623306	22049128	89.5
SG2021_4043_PI534080	SG2021	PI534080	leaf	4043_PI534080	27215144	24296606	89.3
SG2021_4044_PI597974	SG2021	PI597974	leaf	4044_PI597974	26544604	24107296	90.8
SG2021_4046_PI533976	SG2021	PI533976	leaf	4046_PI533976	23484757	20699806	88.1
SG2021_4047_PI533824	SG2021	PI533824	leaf	4047_PI533824	22481440	20158203	89.7
SG2021_4048_PI533836	SG2021	PI533836	leaf	4048_PI533836	22820166	20501029	89.8
SG2021_4050_PI533940	SG2021	PI533940	leaf	4050_PI533940	21014317	18977244	90.3
SG2021_4051_PI576387	SG2021	PI576387	leaf	4051_PI576387	27686583	24888099	89.9
SG2021_4053_PI595747	SG2021	PI595747	leaf	4053_PI595747	26509246	23949532	90.3
SG2021_4054_PI564163	SG2021	PI564163	leaf	4054_PI564163	20602422	18932612	91.9
SG2021_4055_PI656108	SG2021	PI656108	leaf	4055_PI656108	24486288	21160266	86.4
SG2021_4056_PI533885	SG2021	PI533885	leaf	4056_PI533885	28318093	25671326	90.7
SG2021_4057_PI533754	SG2021	PI533754	leaf	4057_PI533754	24162021	22031715	91.2
SG2021_4058_PI656095	SG2021	PI656095	leaf	4058_PI656095	20132714	18270597	90.8
SG2021_4059_PI533844	SG2021	PI533844	leaf	4059_PI533844	22412301	20597785	91.9
SG2021_4060_PI534128	SG2021	PI534128	leaf	4060_PI534128	24874032	22485177	90.4
SG2021_4063_PI534161	SG2021	PI534161	leaf	4063_PI534161	23870744	20166806	84.5
SG2021_4067_PI533765	SG2021	PI533765	leaf	4067_PI533765	23320823	20563527	88.2
SG2021_4068_PI534015	SG2021	PI534015	leaf	4068_PI534015	22088620	19916237	90.2
SG2021_4070_PI597954	SG2021	PI597954	leaf	4070_PI597954	23963063	21487024	89.7
SG2021_4071_PI656018	SG2021	PI656018	leaf	4071_PI656018	20775247	19195719	92.4
SG2021_4072_PI576400	SG2021	PI576400	leaf	4072_PI576400	27204615	24627231	90.5
SG2021_4073_PI656019	SG2021	PI656019	leaf	4073_PI656019	24062075	21955231	91.2
SG2021_4074_PI576373	SG2021	PI576373	leaf	4074_PI576373	25224852	22379159	88.7
SG2021_4075_PI533991	SG2021	PI533991	leaf	4075_PI533991	27079655	24122531	89.1
SG2021_4076_PI613536	SG2021	PI613536	leaf	4076_PI613536	29928443	27363548	91.4
SG2021_4078_PI533751	SG2021	PI533751	leaf	4078_PI533751	23723645	21781794	91.8
SG2021_4079_PI533790	SG2021	PI533790	leaf	4079_PI533790	30059970	26531072	88.3
SG2021_4080_PI597966	SG2021	PI597966	leaf	4080_PI597966	20852047	19098509	91.6
SG2021_4081_SC0456	SG2021	SC0456	leaf	4081_SC0456	29187624	26193895	89.7
SG2021_4082_PI564165	SG2021	PI564165	leaf	4082_PI564165	25091539	22818531	90.9
SG2021_4083_PI533822	SG2021	PI533822	leaf	4083_PI533822	30555052	27746978	90.8
SG2021_4085_PI533821	SG2021	PI533821	leaf	4085_PI533821	22097510	19696312	89.1
SG2021_4086_PI534142	SG2021	PI534142	leaf	4086_PI534142	23035866	20576319	89.3
SG2021_4087_PI533771	SG2021	PI533771	leaf	4087_PI533771	22984848	20308262	88.4
SG2021_4088_PI534165	SG2021	PI534165	leaf	4088_PI534165	22219725	20548084	92.5
SG2021_4089_PI655994	SG2021	PI655994	leaf	4089_PI655994	29551483	27302623	92.4
SG2021_4090_PI656060	SG2021	PI656060	leaf	4090_PI656060	21009318	18977088	90.3
SG2021_4092_PI534094	SG2021	PI534094	leaf	4092_PI534094	24865301	22038235	88.6
SG2021_4093_PI576358	SG2021	PI576358	leaf	4093_PI576358	21646768	19371937	89.5
SG2021_4094_PI533974	SG2021	PI533974	leaf	4094_PI533974	24386574	22528911	92.4
SG2021_4095_PI533807	SG2021	PI533807	leaf	4095_PI533807	27857281	24890554	89.4
SG2021_4097_PI576343	SG2021	PI576343	leaf	4097_PI576343	24607168	22475215	91.3
