image_path,image_id,plotNumber,environment,ExG_P20_disease_pct
1001_LeafPhotoA_2025-09-08 10_30_44.491-05_00_leaf.png,1001_LeafPhotoA_2025-09-08 10_30_44.491-05_00,1001,Nebraska2025,0.93
1001_LeafPhotoA_2025-09-08 10_31_01.387-05_00_leaf.png,1001_LeafPhotoA_2025-09-08 10_31_01.387-05_00,1001,Nebraska2025,0.01
1001_LeafPhotoA_2025-09-08 10_31_16.660-05_00_leaf.png,1001_LeafPhotoA_2025-09-08 10_31_16.660-05_00,1001,Nebraska2025,0.1
1002_LeafPhotoA_2025-09-08 10_31_39.299-05_00_leaf.png,1002_LeafPhotoA_2025-09-08 10_31_39.299-05_00,1002,Nebraska2025,0.02
1002_LeafPhotoA_2025-09-08 10_31_52.212-05_00_leaf.png,1002_LeafPhotoA_2025-09-08 10_31_52.212-05_00,1002,Nebraska2025,0.03
1002_LeafPhotoA_2025-09-08 10_32_08.178-05_00_leaf.png,1002_LeafPhotoA_2025-09-08 10_32_08.178-05_00,1002,Nebraska2025,0.02
1003_LeafPhotoA_2025-09-08 09_16_15.481-05_00_leaf.png,1003_LeafPhotoA_2025-09-08 09_16_15.481-05_00,1003,Nebraska2025,0.05
1003_LeafPhotoA_2025-09-08 09_18_47.237-05_00_leaf.png,1003_LeafPhotoA_2025-09-08 09_18_47.237-05_00,1003,Nebraska2025,0.16
1003_LeafPhotoA_2025-09-08 09_20_11.247-05_00_leaf.png,1003_LeafPhotoA_2025-09-08 09_20_11.247-05_00,1003,Nebraska2025,0.11
1004_LeafPhotoA_2025-09-08 09_21_46.459-05_00_leaf.png,1004_LeafPhotoA_2025-09-08 09_21_46.459-05_00,1004,Nebraska2025,0.1
1004_LeafPhotoA_2025-09-08 09_22_28.681-05_00_leaf.png,1004_LeafPhotoA_2025-09-08 09_22_28.681-05_00,1004,Nebraska2025,0.12
1004_LeafPhotoA_2025-09-08 09_23_15.296-05_00_leaf.png,1004_LeafPhotoA_2025-09-08 09_23_15.296-05_00,1004,Nebraska2025,0.04
1005_LeafPhotoA_2025-09-08 09_35_15.574-05_00_leaf.png,1005_LeafPhotoA_2025-09-08 09_35_15.574-05_00,1005,Nebraska2025,0.12
1005_LeafPhotoA_2025-09-08 09_35_34.267-05_00_leaf.png,1005_LeafPhotoA_2025-09-08 09_35_34.267-05_00,1005,Nebraska2025,0.08
1005_LeafPhotoA_2025-09-08 09_36_05.265-05_00_leaf.png,1005_LeafPhotoA_2025-09-08 09_36_05.265-05_00,1005,Nebraska2025,0.02
1006_LeafPhotoA_2025-09-08 09_30_50.026-05_00_leaf.png,1006_LeafPhotoA_2025-09-08 09_30_50.026-05_00,1006,Nebraska2025,0.65
1006_LeafPhotoA_2025-09-08 09_31_43.387-05_00_leaf.png,1006_LeafPhotoA_2025-09-08 09_31_43.387-05_00,1006,Nebraska2025,0.34
1006_LeafPhotoA_2025-09-08 09_36_28.687-05_00_leaf.png,1006_LeafPhotoA_2025-09-08 09_36_28.687-05_00,1006,Nebraska2025,0.0
1007_LeafPhotoA_2025-09-08 09_36_58.125-05_00_leaf.png,1007_LeafPhotoA_2025-09-08 09_36_58.125-05_00,1007,Nebraska2025,1.98
1007_LeafPhotoA_2025-09-08 09_37_28.704-05_00_leaf.png,1007_LeafPhotoA_2025-09-08 09_37_28.704-05_00,1007,Nebraska2025,0.46
1007_LeafPhotoA_2025-09-08 09_37_48.595-05_00_leaf.png,1007_LeafPhotoA_2025-09-08 09_37_48.595-05_00,1007,Nebraska2025,0.23
1008_LeafPhotoA_2025-09-08 09_38_43.510-05_00_leaf.png,1008_LeafPhotoA_2025-09-08 09_38_43.510-05_00,1008,Nebraska2025,0.02
1008_LeafPhotoA_2025-09-08 09_39_01.597-05_00_leaf.png,1008_LeafPhotoA_2025-09-08 09_39_01.597-05_00,1008,Nebraska2025,0.01
1008_LeafPhotoA_2025-09-08 09_39_17.372-05_00_leaf.png,1008_LeafPhotoA_2025-09-08 09_39_17.372-05_00,1008,Nebraska2025,0.0
1009_LeafPhotoA_2025-09-08 09_39_52.913-05_00_leaf.png,1009_LeafPhotoA_2025-09-08 09_39_52.913-05_00,1009,Nebraska2025,0.61
1009_LeafPhotoA_2025-09-08 09_40_11.883-05_00_leaf.png,1009_LeafPhotoA_2025-09-08 09_40_11.883-05_00,1009,Nebraska2025,0.61
1009_LeafPhotoA_2025-09-08 09_40_30.501-05_00_leaf.png,1009_LeafPhotoA_2025-09-08 09_40_30.501-05_00,1009,Nebraska2025,0.58
1010_LeafPhotoA_2025-09-08 09_41_20.962-05_00_leaf.png,1010_LeafPhotoA_2025-09-08 09_41_20.962-05_00,1010,Nebraska2025,0.98
1010_LeafPhotoA_2025-09-08 09_41_44.218-05_00_leaf.png,1010_LeafPhotoA_2025-09-08 09_41_44.218-05_00,1010,Nebraska2025,0.13
1010_LeafPhotoA_2025-09-08 09_42_09.670-05_00_leaf.png,1010_LeafPhotoA_2025-09-08 09_42_09.670-05_00,1010,Nebraska2025,0.12
1011_LeafPhotoA_2025-09-08 09_42_35.227-05_00_leaf.png,1011_LeafPhotoA_2025-09-08 09_42_35.227-05_00,1011,Nebraska2025,0.02
1011_LeafPhotoA_2025-09-08 09_43_02.719-05_00_leaf.png,1011_LeafPhotoA_2025-09-08 09_43_02.719-05_00,1011,Nebraska2025,1.15
1011_LeafPhotoA_2025-09-08 09_43_19.114-05_00_leaf.png,1011_LeafPhotoA_2025-09-08 09_43_19.114-05_00,1011,Nebraska2025,0.02
1012_LeafPhotoA_2025-09-08 09_43_43.769-05_00_leaf.png,1012_LeafPhotoA_2025-09-08 09_43_43.769-05_00,1012,Nebraska2025,0.45
1012_LeafPhotoA_2025-09-08 09_44_03.312-05_00_leaf.png,1012_LeafPhotoA_2025-09-08 09_44_03.312-05_00,1012,Nebraska2025,3.74
1012_LeafPhotoA_2025-09-08 09_44_21.398-05_00_leaf.png,1012_LeafPhotoA_2025-09-08 09_44_21.398-05_00,1012,Nebraska2025,6.67
1013_LeafPhotoA_2025-09-08 09_44_55.247-05_00_leaf.png,1013_LeafPhotoA_2025-09-08 09_44_55.247-05_00,1013,Nebraska2025,0.0
1013_LeafPhotoA_2025-09-08 09_45_15.101-05_00_leaf.png,1013_LeafPhotoA_2025-09-08 09_45_15.101-05_00,1013,Nebraska2025,0.0
