image_path,image_id,plotNumber,environment,block,row,column,genotype,device,estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
data/externalsourcerequired/aamu2025/block1/10104_LeafPhotoA_2025-10-15 15_49_26.022-05_00.jpg,10104_LeafPhotoA_2025-10-15 15_49_26.022,10104,Alabama2025,1.0,1,4,PI576422,AL1,2205490,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10104_LeafPhotoA_2025-10-15 15_49_38.285-05_00.jpg,10104_LeafPhotoA_2025-10-15 15_49_38.285,10104,Alabama2025,1.0,1,4,PI576422,AL1,2443752,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10104_LeafPhotoA_2025-10-15 15_49_50.215-05_00.jpg,10104_LeafPhotoA_2025-10-15 15_49_50.215,10104,Alabama2025,1.0,1,4,PI576422,AL1,2245477,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10105_LeafPhotoA_2025-10-15 15_50_09.791-05_00.jpg,10105_LeafPhotoA_2025-10-15 15_50_09.791,10105,Alabama2025,1.0,1,5,PI534163,AL1,4453798,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10105_LeafPhotoA_2025-10-15 15_50_22.180-05_00.jpg,10105_LeafPhotoA_2025-10-15 15_50_22.180,10105,Alabama2025,1.0,1,5,PI534163,AL1,4583484,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10105_LeafPhotoA_2025-10-15 15_50_32.504-05_00.jpg,10105_LeafPhotoA_2025-10-15 15_50_32.504,10105,Alabama2025,1.0,1,5,PI534163,AL1,4695817,3,CV2,ok
data/externalsourcerequired/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_50_53.408-05_00.jpg,10107_LeafPhotoA_2025-10-15 15_50_53.408,10107,Alabama2025,1.0,1,7,PI655984,AL1,2512949,0,CV2,failed_cropping
data/externalsourcerequired/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_51_16.347-05_00.jpg,10107_LeafPhotoA_2025-10-15 15_51_16.347,10107,Alabama2025,1.0,1,7,PI655984,AL1,2407263,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_51_25.249-05_00.jpg,10107_LeafPhotoA_2025-10-15 15_51_25.249,10107,Alabama2025,1.0,1,7,PI655984,AL1,2634391,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10108_LeafPhotoA_2025-10-15 15_51_42.819-05_00.jpg,10108_LeafPhotoA_2025-10-15 15_51_42.819,10108,Alabama2025,1.0,1,8,Ramada,AL1,6116783,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10108_LeafPhotoA_2025-10-15 15_51_58.932-05_00.jpg,10108_LeafPhotoA_2025-10-15 15_51_58.932,10108,Alabama2025,1.0,1,8,Ramada,AL1,6363907,2,CV2,ok
data/externalsourcerequired/aamu2025/block1/10108_LeafPhotoA_2025-10-15 15_52_10.075-05_00.jpg,10108_LeafPhotoA_2025-10-15 15_52_10.075,10108,Alabama2025,1.0,1,8,Ramada,AL1,6369069,2,CV2,ok
data/externalsourcerequired/aamu2025/block1/10109_LeafPhotoA_2025-10-15 15_52_33.351-05_00.jpg,10109_LeafPhotoA_2025-10-15 15_52_33.351,10109,Alabama2025,1.0,1,9,PI656056,AL1,2108210,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10109_LeafPhotoA_2025-10-15 15_52_47.033-05_00.jpg,10109_LeafPhotoA_2025-10-15 15_52_47.033,10109,Alabama2025,1.0,1,9,PI656056,AL1,2310203,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10109_LeafPhotoA_2025-10-15 15_52_55.971-05_00.jpg,10109_LeafPhotoA_2025-10-15 15_52_55.971,10109,Alabama2025,1.0,1,9,PI656056,AL1,2460228,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10110_LeafPhotoA_2025-10-15 15_53_23.182-05_00.jpg,10110_LeafPhotoA_2025-10-15 15_53_23.182,10110,Alabama2025,1.0,1,10,PI533936,AL1,1539460,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10110_LeafPhotoA_2025-10-15 15_53_38.404-05_00.jpg,10110_LeafPhotoA_2025-10-15 15_53_38.404,10110,Alabama2025,1.0,1,10,PI533936,AL1,1858628,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10110_LeafPhotoA_2025-10-15 15_53_48.676-05_00.jpg,10110_LeafPhotoA_2025-10-15 15_53_48.676,10110,Alabama2025,1.0,1,10,PI533936,AL1,1349921,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10111_LeafPhotoA_2025-10-15 15_54_07.041-05_00.jpg,10111_LeafPhotoA_2025-10-15 15_54_07.041,10111,Alabama2025,1.0,1,11,PI533996,AL1,2157359,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10111_LeafPhotoA_2025-10-15 15_54_20.988-05_00.jpg,10111_LeafPhotoA_2025-10-15 15_54_20.988,10111,Alabama2025,1.0,1,11,PI533996,AL1,2708909,3,CV2,ok
data/externalsourcerequired/aamu2025/block1/10111_LeafPhotoA_2025-10-15 15_54_28.764-05_00.jpg,10111_LeafPhotoA_2025-10-15 15_54_28.764,10111,Alabama2025,1.0,1,11,PI533996,AL1,2698058,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10112_LeafPhotoA_2025-10-15 15_54_53.294-05_00.jpg,10112_LeafPhotoA_2025-10-15 15_54_53.294,10112,Alabama2025,1.0,1,12,PI533987,AL1,2070244,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10112_LeafPhotoA_2025-10-15 15_55_03.199-05_00.jpg,10112_LeafPhotoA_2025-10-15 15_55_03.199,10112,Alabama2025,1.0,1,12,PI533987,AL1,2035813,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10112_LeafPhotoA_2025-10-15 15_55_20.688-05_00.jpg,10112_LeafPhotoA_2025-10-15 15_55_20.688,10112,Alabama2025,1.0,1,12,PI533987,AL1,1857948,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_55_46.981-05_00.jpg,10113_LeafPhotoA_2025-10-15 15_55_46.981,10113,Alabama2025,1.0,1,13,,AL1,2800291,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_56_02.121-05_00.jpg,10113_LeafPhotoA_2025-10-15 15_56_02.121,10113,Alabama2025,1.0,1,13,,AL1,2463860,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_56_13.335-05_00.jpg,10113_LeafPhotoA_2025-10-15 15_56_13.335,10113,Alabama2025,1.0,1,13,,AL1,2670057,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_27.232-05_00.jpg,10114_LeafPhotoA_2025-10-15 15_56_27.232,10114,Alabama2025,1.0,1,14,PI595741,AL1,1482807,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_37.086-05_00.jpg,10114_LeafPhotoA_2025-10-15 15_56_37.086,10114,Alabama2025,1.0,1,14,PI595741,AL1,1255715,4,CV2,ok
