plotNumber,environment,genotype,genotype_clean,rep,row,column,days_to_flower
1001,Nebraska2025,PI533969,PI533969,1,53,2,69.0
1002,Nebraska2025,PI534049,PI534049,1,54,2,61.0
1003,Nebraska2025,PI533981,PI533981,1,5,2,67.0
1004,Nebraska2025,PI564163,PI564163,1,6,2,62.0
1005,Nebraska2025,PI533902,PI533902,1,7,2,72.0
1006,Nebraska2025,PI597965,PI597965,1,8,2,62.0
1007,Nebraska2025,PI533912,PI533912,1,9,2,45.0
1008,Nebraska2025,PI655975,PI655975,1,10,2,62.0
1009,Nebraska2025,PI533950,PI533950,1,11,2,59.0
1010,Nebraska2025,PI576431,PI576431,1,12,2,59.0
1011,Nebraska2025,PI576379,PI576379,1,13,2,65.0
1012,Nebraska2025,SC0540,SC0540,1,14,2,55.0
1013,Nebraska2025,PI533993,PI533993,1,15,2,59.0
1014,Nebraska2025,SC0834,SC0834,1,16,2,70.0
1015,Nebraska2025,PI597959,PI597959,1,17,2,48.0
1016,Nebraska2025,PI533825,PI533825,1,18,2,62.0
1017,Nebraska2025,PI642791,PI642791,1,19,2,69.0
1018,Nebraska2025,PI564163,PI564163,1,20,2,61.0
1019,Nebraska2025,PI534082,PI534082,1,21,2,54.0
1020,Nebraska2025,PI655999,PI655999,1,22,2,69.0
1021,Nebraska2025,PI534129,PI534129,1,23,2,69.0
1022,Nebraska2025,PI533985,PI533985,1,24,2,62.0
1023,Nebraska2025,PI595717,PI595717,1,25,2,69.0
1024,Nebraska2025,PI641874,PI641874,1,26,2,64.0
1025,Nebraska2025,PI656091,PI656091,1,27,2,73.0
1026,Nebraska2025,PI656070,PI656070,1,28,2,69.0
1027,Nebraska2025,PI656040,PI656040,1,29,2,70.0
1028,Nebraska2025,PI533767,PI533767,1,30,2,54.0
1029,Nebraska2025,PI576393,PI576393,1,31,2,56.0
1030,Nebraska2025,PI533899,PI533899,1,32,2,56.0
1031,Nebraska2025,PI595728,PI595728,1,33,2,69.0
