genotype_idx,genotype_markers
PI548797,PI548797
PI576356,PI576356
SC1166,SC1166
PI534038,PI534038
PI655991,PI655991
PI655992,PI655992
PI533855,PI533855
PI595736,PI595736
PI533878,PI533878
PI534083,PI534083
PI533800,PI533800
PI533763,PI533763
PI534118,PI534118
PI595714,PI595714
PI655974,PI655974
PI533931,PI533931
PI533822,PI533822
PI534060,PI534060
PI533839,PI533839
PI533789,PI533789
PI655983,PI655983
Check,Check
SC0965,SC0965
PI595710,PI595710
PI576351,PI576351
PI656077,PI656077
PI656010,PI656010
PI533843,PI533843
PI533872,PI533872
PI576410,PI576410
SC0921,SC0921
PI533932,PI533932
PI534030,PI534030
PI656015,PI656015
PI534014,PI534014
PI576363,PI576363
PI533975,PI533975
SC0631,SC0631
PI656102,PI656102
PI534127,PI534127
PI533956,PI533956
PI533856,PI533856
PI534055,PI534055
PI595727,PI595727
PI534109,PI534109
PI576408,PI576408
PI576403,PI576403
PI152651,PI152651
PI533881,PI533881
PI533921,PI533921
PI655994,PI655994
PI533923,PI533923
PI576382,PI576382
PI656007,PI656007
PI641836,PI641836
PI595722,PI595722
PI576342,PI576342
SC0448,SC0448
PI533989,PI533989
PI533898,PI533898
PI595730,PI595730
PI595737,PI595737
PI534047,PI534047
PI533884,PI533884
PI533919,PI533919
PI656032,PI656032
PI534105,PI534105
PI533761,PI533761
PI576340,PI576340
SC1021,SC1021
PI534058,PI534058
PI595699,PI595699
PI533973,PI533973
PI534051,PI534051
PI595706,PI595706
PI533955,PI533955
PI576348,PI576348
PI597970,PI597970
SC0400,SC0400
PI534025,PI534025
PI576357,PI576357
PI533797,PI533797
PI533783,PI533783
PI655984,PI655984
PI576334,PI576334
PI597963,PI597963
PI585295,PI585295
PI533990,PI533990
PI533952,PI533952
PI534045,PI534045
PI533752,PI533752
PI533754,PI533754
PI534000,PI534000
PI597960,PI597960
PI533820,PI533820
SC0266,SC0266
PI595733,PI595733
PI576380,PI576380
SC0604,SC0604
PI656031,PI656031
PI576385,PI576385
PI656048,PI656048
PI533766,PI533766
PI656109,PI656109
PI642992,PI642992
SC0837,SC0837
SC0235,SC0235
PI534019,PI534019
SC0615,SC0615
PI534069,PI534069
SC0581,SC0581
PI561072,PI561072
PI597951,PI597951
PI651492,PI651492
PI534123,PI534123
PI576360,PI576360
SC0190,SC0190
PI533954,PI533954
SC0178,SC0178
PI655978,PI655978
PI534016,PI534016
PI533775,PI533775
PI597973,PI597973
PI533939,PI533939
SC0616,SC0616
PI576433,PI576433
SC1178,SC1178
PI534008,PI534008
PI533951,PI533951
PI533934,PI533934
PI576398,PI576398
SC0179,SC0179
PI656081,PI656081
PI534129,PI534129
PI533994,PI533994
PI533897,PI533897
PI533916,PI533916
PI534140,PI534140
SC0868,SC0868
PI534114,PI534114
PI533793,PI533793
Fill,Fill
PI533890,PI533890
SC0741,SC0741
PI533772,PI533772
PI595740,PI595740
PI534134,PI534134
PI534161,PI534161
PI533798,PI533798
PI533882,PI533882
PI576378,PI576378
PI533908,PI533908
PI534117,PI534117
PI595716,PI595716
PI534076,PI534076
PI642998,PI642998
PI534028,PI534028
PI533999,PI533999
PI534027,PI534027
PI533906,PI533906
PI576422,PI576422
PI597968,PI597968
PI533838,PI533838
PI533750,PI533750
PI595744,PI595744
PI656093,PI656093
PI544069,PI544069
PI601554,PI601554
PI601744,PI601744
PI605725,PI605725
PI601743,PI601743
PI605723,PI605723
PI601756,PI601756
PI613612,PI613612
PI543243,PI543243
PI601556,PI601556
PI601553,PI601553
PI601716,PI601716
PI602600,PI602600
PI601721,PI601721
Border,Border
PI533823,PI533823
PI534152,PI534152
PI576417,PI576417
PI656038,PI656038
PI595735,PI595735
SC0371,SC0371
SC0458,SC0458
PI533873,PI533873
PI656098,PI656098
PI24969,PI24969
PI598070,PI598070
SC0860,SC0860
PI597972,PI597972
PI534135,PI534135
PI576365,PI576365
PI533988,PI533988
PI534100,PI534100
PI655987,PI655987
PI533968,PI533968
