genotype,mask_pixels_blue,days_to_flower_blue
BTx643,3868874.246669932,62.37896299896726
BTx645,4180992.9225911093,64.88744688744671
Fill(Exclude),3916338.1686263257,
PI152651,2452561.2360285465,48.44214068709725
PI153844,3235451.5605391944,67.78555956185386
PI153846,3132659.961045776,61.71154910822011
PI153852,3039732.7618399286,61.98077399506348
PI22326,3905747.487438103,69.63508257277977
PI24969,2571328.1453468665,69.03231883719893
PI276837,3933084.750017568,73.21216996619584
PI329435,4528027.292786149,67.8841143956524
PI329440,3322884.4898223793,58.760485209555824
PI34911,4061912.820771437,69.9621399722073
PI35038,3576045.420680208,67.30381627156974
PI48770,4223688.941952777,68.81578531083701
PI533745,2325368.603960921,52.28616586348409
PI533747,3184693.355442982,51.51842368825884
PI533749,3924893.783311828,66.48653169337858
PI533750,4559844.596241353,
PI533751,4315435.8247377295,64.72692696877834
PI533752,4183064.1613531644,61.65841434968394
PI533753,2679796.9372942545,65.85851007122062
PI533754,3440495.898343705,57.04857310774525
PI533755,3050737.01029332,66.93358046912151
PI533756,4245249.4013096895,56.52001360465936
PI533757,4839704.494596654,65.23329096872364
PI533758,4368123.977602648,61.1276586285674
PI533759,4436768.150394924,53.30889133875807
PI533760,3667052.607178196,63.80215002567242
PI533761,4385157.764912936,67.52812017999861
PI533762,3667559.639814728,53.958048519789415
PI533763,2494823.5410281317,49.08178491066835
PI533764,2462116.7817083057,62.56675348796443
PI533765,2989057.316952777,59.01266598994371
PI533766,3117927.3354407446,53.22874587366884
PI533767,2984720.730191396,
PI533768,3765884.60642187,55.26616657837441
PI533769,3613249.190545824,54.02296878331361
PI533770,3184156.718572293,53.85957001548772
PI533771,2837957.4392954702,54.60728203031732
PI533772,2732532.811574742,55.64549257093221
PI533773,3320811.275152977,
PI533774,3775582.234264941,53.841995936898655
PI533775,3523341.5661000554,55.34707100408702
PI533776,3178829.1796019217,57.772530578319625
PI533777,2959934.803219718,52.05784683213397
PI533778,2951308.6277194526,55.06299822881897
PI533779,1930838.5503568766,53.93077794946059
PI533780,3029569.678131,63.88971943497413
PI533781,2983402.3361978787,49.89381088739195
PI533782,2007054.1340073869,47.52453843953842
PI533783,3112526.803833656,52.35843374172405
PI533784,4000194.42258319,52.45009460344352
PI533785,3659355.0391456224,52.997288129385424
PI533786,3125346.4418196445,67.86760026133021
PI533787,3082840.546268588,52.28616586348407
PI533788,3437697.3790577874,51.028650152132144
PI533789,4142529.124361466,65.54769669775726
PI533790,2339855.5448137615,49.32881429437116
PI533791,2310626.6417124663,49.316315282970535
PI533792,3265241.3430535914,56.39949225621046
PI533793,5123881.077802617,69.64749975777177
PI533794,3881221.0052688667,62.72124559995988
PI533795,3756330.6781310006,63.89085570873781
PI533796,3598982.815930441,
PI533797,4236871.33913051,70.72159203781422
PI533798,3863362.2104281043,55.829950568134855
PI533799,4870109.831302825,67.5332715766835
PI533800,3864235.1779713416,64.78730213724776
PI533801,3054483.8143488835,
PI533802,3398653.330003184,53.88237182025836
PI533803,2174139.034863946,47.52453843953842
PI533804,1779620.8786801996,47.52453843953842
PI533805,2758606.8513450725,
PI533807,3655707.7618968417,62.838587115607545
PI533808,3619147.095173262,61.27707567337443
PI533809,3599331.324114565,60.9756989278751
PI533810,3984022.6059324257,68.70882291805576
PI533811,3641540.504773875,57.03152900128972
PI533812,3113315.7936753193,65.92615652490916
PI533813,4353896.141712466,63.29245353393269
PI533814,3001278.878147096,70.30267999780602
PI533815,3419665.315674053,
PI533816,3345278.7773130387,59.83684454021368
PI533817,3709918.1913205613,
PI533818,2722725.1855692705,52.45577597226201
PI533819,3201041.5594793577,51.84252590903219
PI533820,3339589.542005155,65.66924711518739
PI533821,4330116.334863947,59.55076932577601
PI533822,2697742.7173257824,60.80836136662458
PI533823,3022907.851433338,53.722381873723606
PI533824,4883670.389100008,68.77646937174428
PI533825,3190985.8564218697,61.43331036076376
PI533827,3840514.9013096895,62.93706561990924
PI533828,3461990.8109359806,53.14583900878657
PI533829,3882148.941337852,65.45691224602574
PI533830,3851729.6887763157,48.55311820280001
PI533831,4724433.820260065,65.16094676098709
PI533832,2982682.8545185383,59.77874191927168
PI533833,3408258.068100004,59.70192894597694
PI533834,5063715.825024214,70.01781738662865
PI533835,4718770.045346866,66.0317125355688
PI533836,3640846.0382598722,67.98539541961483
PI533837,4673619.968739478,66.51781738662869
PI533838,3081924.0113044977,48.17265593647846
PI533839,2828370.89752406,58.23094209169966
PI533840,2681794.206292446,52.847071004087
