environment,image_id,plotNumber,genotype,score_A,score_B,human_score,comment_A,comment_B
Nebraska2025,1201_LeafPhotoA_2025-09-08 10_44_12.793,1201,PI548797,1.5,,1.5,,
Nebraska2025,1201_LeafPhotoA_2025-09-08 10_44_32.680,1201,PI548797,1.0,,1.0,,
Nebraska2025,1201_LeafPhotoA_2025-09-08 10_45_01.777,1201,PI548797,2.0,,2.0,,
Nebraska2025,1202_LeafPhotoA_2025-09-08 10_45_39.926,1202,PI576356,1.0,1.0,1.0,,
Nebraska2025,1202_LeafPhotoA_2025-09-08 10_45_58.475,1202,PI576356,1.0,,1.0,,
Nebraska2025,1202_LeafPhotoA_2025-09-08 10_46_25.784,1202,PI576356,1.5,1.0,1.25,,
Nebraska2025,1203_LeafPhotoA_2025-09-08 09_17_24.189,1203,SC1166,3.0,,3.0,,
Nebraska2025,1203_LeafPhotoA_2025-09-08 09_17_50.777,1203,SC1166,2.0,2.0,2.0,,
Nebraska2025,1203_LeafPhotoA_2025-09-08 09_19_50.867,1203,SC1166,2.5,2.0,2.25,,
Nebraska2025,1204_LeafPhotoA_2025-09-08 09_23_23.652,1204,PI534038,3.0,,3.0,,
Nebraska2025,1204_LeafPhotoA_2025-09-08 09_24_34.513,1204,PI534038,2.5,,2.5,,
Nebraska2025,1204_LeafPhotoA_2025-09-08 09_25_21.477,1204,PI534038,2.5,,2.5,,
Nebraska2025,1205_LeafPhotoA_2025-09-08 09_26_48.852,1205,PI655991,1.0,,1.0,,
Nebraska2025,1205_LeafPhotoA_2025-09-08 09_27_17.999,1205,PI655991,1.5,1.0,1.25,,
Nebraska2025,1205_LeafPhotoA_2025-09-08 09_28_04.109,1205,PI655991,2.0,,2.0,,
Nebraska2025,1206_LeafPhotoA_2025-09-08 09_30_08.342,1206,PI655992,1.5,2.5,2.0,,
Nebraska2025,1206_LeafPhotoA_2025-09-08 09_30_31.899,1206,PI655992,1.5,,1.5,,
Nebraska2025,1206_LeafPhotoA_2025-09-08 09_31_09.977,1206,PI655992,1.0,,1.0,,
