environment,image_id,plotNumber,genotype
Alabama2025,10107_LeafPhotoA_2025-10-15 15_50_53.408,10107,PI655984
Alabama2025,10113_LeafPhotoA_2025-10-15 15_55_46.981,10113,
Alabama2025,10113_LeafPhotoA_2025-10-15 15_56_02.121,10113,
Alabama2025,10113_LeafPhotoA_2025-10-15 15_56_13.335,10113,
Alabama2025,10115_LeafPhotoA_2025-10-15 15_57_10.761,10115,
Alabama2025,10115_LeafPhotoA_2025-10-15 15_57_24.327,10115,
Alabama2025,10115_LeafPhotoA_2025-10-15 15_57_35.705,10115,
Alabama2025,10116_LeafPhotoA_2025-10-15 15_58_10.709,10116,
Alabama2025,10116_LeafPhotoA_2025-10-15 15_58_20.712,10116,
Alabama2025,10116_LeafPhotoA_2025-10-15 15_58_29.918,10116,
Alabama2025,10120_LeafPhotoA_2025-10-15 16_01_10.291,10120,PI533965
Alabama2025,10124_LeafPhotoA_2025-10-15 16_03_32.023,10124,
Alabama2025,10124_LeafPhotoA_2025-10-15 16_03_40.696,10124,
Alabama2025,10124_LeafPhotoA_2025-10-15 16_03_49.545,10124,
Alabama2025,10203_LeafPhotoA_2025-10-21 16_07_33.915,10203,PI533822
Alabama2025,10205_LeafPhotoA_2025-10-21 16_11_17.349,10205,PI576386
Alabama2025,10209_LeafPhotoA_2025-10-21 16_17_14.171,10209,
Alabama2025,10209_LeafPhotoA_2025-10-21 16_17_29.809,10209,
Alabama2025,10209_LeafPhotoA_2025-10-21 16_17_44.566,10209,
Alabama2025,10214_LeafPhotoA_2025-10-21 16_23_00.437,10214,PI597950
Alabama2025,10214_LeafPhotoA_2025-10-21 16_23_24.093,10214,PI597950
Alabama2025,10215_LeafPhotoA_2025-10-21 16_24_17.931,10215,PI534099
Alabama2025,10216_LeafPhotoA_2025-10-21 16_25_06.061,10216,PI656098
Alabama2025,10217_LeafPhotoA_2025-10-21 16_27_06.490,10217,PI655999
Alabama2025,10217_LeafPhotoA_2025-10-21 16_27_19.780,10217,PI655999
Alabama2025,10217_LeafPhotoA_2025-10-21 16_27_33.187,10217,PI655999
Alabama2025,10218_LeafPhotoA_2025-10-21 16_28_06.931,10218,
Alabama2025,10218_LeafPhotoA_2025-10-21 16_28_23.991,10218,
Alabama2025,10218_LeafPhotoA_2025-10-21 16_28_35.785,10218,
Alabama2025,10219_LeafPhotoA_2025-10-21 16_29_03.246,10219,PI534114
Alabama2025,10224_LeafPhotoA_2025-10-21 16_34_28.713,10224,
Alabama2025,10224_LeafPhotoA_2025-10-21 16_34_45.184,10224,
Alabama2025,10224_LeafPhotoA_2025-10-21 16_35_00.194,10224,
Alabama2025,10227_LeafPhotoA_2025-10-21 16_37_57.270,10227,
Alabama2025,10227_LeafPhotoA_2025-10-21 16_38_10.841,10227,
Alabama2025,10227_LeafPhotoA_2025-10-21 16_38_24.729,10227,
Alabama2025,10304_LeafPhotoA_2025-10-23 09_54_08.925,10304,
Alabama2025,10304_LeafPhotoA_2025-10-23 09_54_55.728,10304,
Alabama2025,10304_LeafPhotoA_2025-10-23 09_55_18.087,10304,
Alabama2025,10308_LeafPhotoA_2025-10-23 09_59_01.365,10308,PI656118
Alabama2025,10309_LeafPhotoA_2025-10-23 10_00_21.452,10309,PI641824
