image_id,image_path,environment,plotNumber,genotype,estimated_leaf_area,log_estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
10104_LeafPhotoA_2025-10-15 15_49_26.022,data/externalsourcerequired/aamu2025/block1/10104_LeafPhotoA_2025-10-15 15_49_26.022-05_00.jpg,Alabama2025,10104,PI576422,2205490,14.606460264397604,4,CV2,ok
10104_LeafPhotoA_2025-10-15 15_49_38.285,data/externalsourcerequired/aamu2025/block1/10104_LeafPhotoA_2025-10-15 15_49_38.285-05_00.jpg,Alabama2025,10104,PI576422,2443752,14.709045121129801,4,CV2,ok
10104_LeafPhotoA_2025-10-15 15_49_50.215,data/externalsourcerequired/aamu2025/block1/10104_LeafPhotoA_2025-10-15 15_49_50.215-05_00.jpg,Alabama2025,10104,PI576422,2245477,14.624428528749835,4,CV2,ok
10105_LeafPhotoA_2025-10-15 15_50_09.791,data/externalsourcerequired/aamu2025/block1/10105_LeafPhotoA_2025-10-15 15_50_09.791-05_00.jpg,Alabama2025,10105,PI534163,4453798,15.309267773278853,4,CV2,ok
10105_LeafPhotoA_2025-10-15 15_50_22.180,data/externalsourcerequired/aamu2025/block1/10105_LeafPhotoA_2025-10-15 15_50_22.180-05_00.jpg,Alabama2025,10105,PI534163,4583484,15.337969965595722,4,CV2,ok
10105_LeafPhotoA_2025-10-15 15_50_32.504,data/externalsourcerequired/aamu2025/block1/10105_LeafPhotoA_2025-10-15 15_50_32.504-05_00.jpg,Alabama2025,10105,PI534163,4695817,15.362182670395141,3,CV2,ok
10107_LeafPhotoA_2025-10-15 15_50_53.408,data/externalsourcerequired/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_50_53.408-05_00.jpg,Alabama2025,10107,PI655984,2512949,14.736967521851032,0,CV2,failed_cropping
10107_LeafPhotoA_2025-10-15 15_51_16.347,data/externalsourcerequired/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_51_16.347-05_00.jpg,Alabama2025,10107,PI655984,2407263,14.694000975441048,4,CV2,ok
10107_LeafPhotoA_2025-10-15 15_51_25.249,data/externalsourcerequired/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_51_25.249-05_00.jpg,Alabama2025,10107,PI655984,2634391,14.78416259370077,4,CV2,ok
10108_LeafPhotoA_2025-10-15 15_51_42.819,data/externalsourcerequired/aamu2025/block1/10108_LeafPhotoA_2025-10-15 15_51_42.819-05_00.jpg,Alabama2025,10108,Ramada,6116783,15.626546862689453,4,CV2,ok
10108_LeafPhotoA_2025-10-15 15_51_58.932,data/externalsourcerequired/aamu2025/block1/10108_LeafPhotoA_2025-10-15 15_51_58.932-05_00.jpg,Alabama2025,10108,Ramada,6363907,15.666153054882377,2,CV2,ok
10108_LeafPhotoA_2025-10-15 15_52_10.075,data/externalsourcerequired/aamu2025/block1/10108_LeafPhotoA_2025-10-15 15_52_10.075-05_00.jpg,Alabama2025,10108,Ramada,6369069,15.666963863020678,2,CV2,ok
10109_LeafPhotoA_2025-10-15 15_52_33.351,data/externalsourcerequired/aamu2025/block1/10109_LeafPhotoA_2025-10-15 15_52_33.351-05_00.jpg,Alabama2025,10109,PI656056,2108210,14.561349804174958,4,CV2,ok
10109_LeafPhotoA_2025-10-15 15_52_47.033,data/externalsourcerequired/aamu2025/block1/10109_LeafPhotoA_2025-10-15 15_52_47.033-05_00.jpg,Alabama2025,10109,PI656056,2310203,14.652845957424741,4,CV2,ok
10109_LeafPhotoA_2025-10-15 15_52_55.971,data/externalsourcerequired/aamu2025/block1/10109_LeafPhotoA_2025-10-15 15_52_55.971-05_00.jpg,Alabama2025,10109,PI656056,2460228,14.715764586540578,4,CV2,ok
10110_LeafPhotoA_2025-10-15 15_53_23.182,data/externalsourcerequired/aamu2025/block1/10110_LeafPhotoA_2025-10-15 15_53_23.182-05_00.jpg,Alabama2025,10110,PI533936,1539460,14.246942263547304,4,CV2,ok
10110_LeafPhotoA_2025-10-15 15_53_38.404,data/externalsourcerequired/aamu2025/block1/10110_LeafPhotoA_2025-10-15 15_53_38.404-05_00.jpg,Alabama2025,10110,PI533936,1858628,14.435349139094663,4,CV2,ok
10110_LeafPhotoA_2025-10-15 15_53_48.676,data/externalsourcerequired/aamu2025/block1/10110_LeafPhotoA_2025-10-15 15_53_48.676-05_00.jpg,Alabama2025,10110,PI533936,1349921,14.115556630183818,4,CV2,ok
10111_LeafPhotoA_2025-10-15 15_54_07.041,data/externalsourcerequired/aamu2025/block1/10111_LeafPhotoA_2025-10-15 15_54_07.041-05_00.jpg,Alabama2025,10111,PI533996,2157359,14.584395346385785,4,CV2,ok
10111_LeafPhotoA_2025-10-15 15_54_20.988,data/externalsourcerequired/aamu2025/block1/10111_LeafPhotoA_2025-10-15 15_54_20.988-05_00.jpg,Alabama2025,10111,PI533996,2708909,14.812056528771752,3,CV2,ok
10111_LeafPhotoA_2025-10-15 15_54_28.764,data/externalsourcerequired/aamu2025/block1/10111_LeafPhotoA_2025-10-15 15_54_28.764-05_00.jpg,Alabama2025,10111,PI533996,2698058,14.808042812924258,4,CV2,ok
10112_LeafPhotoA_2025-10-15 15_54_53.294,data/externalsourcerequired/aamu2025/block1/10112_LeafPhotoA_2025-10-15 15_54_53.294-05_00.jpg,Alabama2025,10112,PI533987,2070244,14.543177032691046,4,CV2,ok
10112_LeafPhotoA_2025-10-15 15_55_03.199,data/externalsourcerequired/aamu2025/block1/10112_LeafPhotoA_2025-10-15 15_55_03.199-05_00.jpg,Alabama2025,10112,PI533987,2035813,14.52640580567603,4,CV2,ok
10112_LeafPhotoA_2025-10-15 15_55_20.688,data/externalsourcerequired/aamu2025/block1/10112_LeafPhotoA_2025-10-15 15_55_20.688-05_00.jpg,Alabama2025,10112,PI533987,1857948,14.43498321088139,4,CV2,ok
