genotype,dry,fresh,water_frac,peak_dose
PI152651,-1.2106949295110043,-1.0742105505944095,0.0929109002241413,0.0
PI17548,-0.4411927709406197,-0.3528008186503488,0.4645463320432037,0.0
PI24969,-0.4567820168467715,-0.4030738815437224,0.1737968215306098,0.0
PI276837,-0.6109474007050085,-0.8202408346106682,-0.9150144476283472,0.0
PI329435,-0.0183056543306812,-0.2826420029419946,-0.6497732548557789,0.0
PI329440,-0.7159569874835252,-0.5747502919300986,0.2601395111926171,0.0
PI34911,0.4773812064206083,0.4637355542113979,0.3075058184039159,0.0
PI35038,0.0035158723802084,0.3520176008098775,1.1410495637239062,0.0
PI48770,-0.3012782825964728,-0.5956996517797005,-1.3843372002387102,0.0
PI533752,-0.0202800227559946,-0.1773187028204937,-0.3760854935838314,0.0
PI533754,-0.9134854863949788,-0.8176912432733539,0.1807733477288437,2.0
PI533755,0.2161056126890678,0.0204420971800816,0.1014091213289807,0.0
PI533757,0.4757874764781947,0.5243508779017254,0.6152361467779546,0.0
PI533758,-0.2556774326136902,-0.4974610165810901,-0.7706115925875973,0.0
PI533759,0.1852478618270897,-0.0470898931934408,-0.4143253526031629,0.0
PI533760,1.1590709923443263,0.8432355601891932,-0.0613131516352607,0.0
PI533761,-0.963251303534612,-0.915905188404124,-0.2208289446964631,0.0
PI533762,-1.0547351128126088,-0.7663459612685911,1.1660903113410517,0.0
PI533766,-0.4738461695799189,-0.62052602387893,-0.541539362877857,0.0
PI533769,-0.4676254858280778,-0.6466537158594935,-1.3851042484413347,0.0
PI533776,-0.3013356886739149,-0.4842808872333093,-0.6235806011970195,0.0
PI533785,-0.6272672948359896,-0.6016567529390044,0.0751156173097765,0.0
PI533788,-0.4497026945761102,-0.5756867964102412,-0.5007677774717634,0.0
PI533789,0.131976898551454,0.0245670026003272,-0.3470913194043535,0.0
PI533792,1.3195942521394586,0.6950399438942603,-0.7323782604987543,0.0
PI533794,-0.0102683850075982,-0.2932118848789239,-0.8515487029209665,0.0
PI533799,0.7690888433942735,0.4442897143095015,-0.3271284753581323,0.0
PI533800,-0.3689817272278664,-0.2459020800429906,0.1062709001450067,0.0
PI533807,0.2423682534197508,-0.0809393176158951,-0.6687187384642325,0.0
PI533810,0.7941281463185478,1.0441332532822032,0.9642058870446422,0.0
PI533814,-0.0993023945486465,0.3355459704423251,1.3198776745508505,0.0
PI533821,0.8361511484868678,1.4234819863099697,1.4279833011933794,0.0
PI533822,-0.4562894661151537,-0.57934267708741,-0.5236508776018652,0.0
PI533824,0.0032070439763139,0.1613510679724109,0.7774953282445607,0.0
PI533830,-0.7105655315278177,-0.4273369944304889,0.8547502564090809,0.0
PI533831,2.42394719916989,2.8432195420075845,1.3535695506193983,0.0
PI533833,-0.6160418257404875,-0.4985463701766593,0.3675944965463601,0.0
PI533838,-0.8636238319707787,-0.7525039753967011,-0.1363920472218043,0.0
PI533839,-0.935160827304694,-1.0366310977356026,-1.0102358990386249,0.0
PI533841,0.8490845460348131,0.8434025438057435,0.3483881774135448,0.0
PI533842,1.626725365211303,1.811561736377386,0.8936699499187382,0.0
PI533855,-0.5391026183419092,-0.3763494661268995,0.6104028320060859,0.0
PI533856,1.6989756810751226,1.906968897522989,0.9601032076383144,0.0
PI533863,-0.3470133204659951,-0.5493970220486233,-0.725467309084236,0.0
PI533869,-0.7908416932242752,-0.9019080943675668,-0.8949811185038672,0.0
PI533871,0.6541650182139931,0.3329412960431179,-0.270030576974496,0.0
PI533876,1.8796296507045116,1.5460482803742852,-0.0597002594540411,0.0
PI533877,-0.6419314678172681,-0.896374112095228,-1.9363257378755212,0.0
PI533878,0.4072803426627812,0.2481111872927065,-0.0190078156512958,0.0
PI533882,1.9102421958569304,2.6514621589794523,1.7439917278078685,0.0
PI533901,-0.6898495261701381,-0.8143550529212745,-0.7732972534555198,0.0
PI533902,0.8206400997579448,1.7607423400879525,1.911352897757756,0.0
PI533903,-0.5134892698222053,-0.0965948319860047,1.1929571939805723,0.0
PI533910,-0.7059347940569424,-0.9592604311353234,-1.6265199863275157,0.0
PI533911,-0.9088457553079828,-0.5759174124519018,1.04323783949926,0.0
PI533912,-0.3551597597510593,-0.4115365451534912,-0.5321224369820209,0.0
PI533913,-0.6550338712789606,-0.5205216339153136,0.3887083760993435,0.0
PI533915,-0.9546110985807676,-0.8362967906349178,0.2910390715919004,0.0
PI533919,0.0668588569116795,0.3063563843826785,0.1854839815405914,0.0
PI533921,-0.7057062455796975,-0.562448217159712,0.313533829481803,0.0
PI533924,0.0696717938741507,0.2408932297244527,0.7769301313989124,0.0
PI533927,-0.5977150361815484,-0.6147798793746462,-0.1119216089604095,0.0
PI533936,-0.6609111406620382,-0.4651247267617255,-0.979464173580128,0.0
PI533937,-0.6073815239366637,-0.4124772484503654,0.7059778529257489,0.0
