genotype,peak_dose,gloss,emb
BTx643,0.0,0.0632937671248395,-3.315509555425501
BTx645,0.0,0.0628094876578204,-4.712835254446192
PI152651,0.0,0.0532194137425026,2.033710607942968
PI153844,0.0,0.0469751761324007,-2.840748847176694
PI153846,0.0,0.0559798866091853,6.611093652999958
PI156549,1.0,,
PI17548,0.0,,
PI22326,0.0,0.0623225711423075,-1.8147483337727386
PI24969,0.0,0.0501626708612576,0.05570745983601334
PI276837,0.0,0.0485241019759413,-6.232051497819258
PI329435,0.0,0.0568694180238381,-2.176869714948815
PI329440,0.0,0.0601459324987155,1.795094826000937
PI34911,0.0,0.0513994645845908,7.5340553669706
PI35038,0.0,0.0518291784562771,-2.4055444302890447
PI48770,0.0,0.0388376872905296,-5.38126037900538
PI533745,,0.0613159552739495,5.03084971073641
PI533746,0.0,0.0515355006459874,
PI533747,,0.0470219231472077,-3.195577847705699
PI533749,0.0,0.0528295928972409,3.7865768847083228
PI533751,0.0,0.058945779873685,0.2633410986669882
PI533752,0.0,0.0578384960229334,-3.491393051991694
PI533753,0.0,0.0552102838880399,-0.5127576240424103
PI533754,2.0,0.0662298471818313,3.8296393900800414
PI533756,0.0,0.0444899298469311,-3.6140844977006346
PI533757,0.0,0.0525283115122236,-4.193261591907994
PI533758,0.0,0.0730445104819138,3.651784765650086
PI533759,0.0,0.0422321415457192,-3.511739940269582
PI533760,0.0,0.0426543810912734,0.6273905153373118
PI533761,0.0,0.0621175237979404,-0.757982922304365
PI533762,0.0,0.0575303651303933,-1.8914861216602636
PI533763,0.0,0.0574015949196861,5.7734666071905645
PI533764,0.0,0.0634612515499802,6.46782211118545
PI533765,0.0,0.0533819105490742,7.85566966294254
PI533766,0.0,0.0539694343097527,1.8141317665873884
PI533768,0.0,0.0555553349887219,-5.037716400856643
PI533769,0.0,0.0554674057046887,-4.205846037165648
PI533770,0.0,0.0594772230245405,1.5798203868558367
PI533771,0.0,0.0640391274051555,2.5080692751433795
PI533774,0.0,0.0578777860224445,-3.040799030444497
PI533776,0.0,0.068027263451584,0.4619054334682295
PI533777,0.0,0.0516980856438911,4.843781777867937
PI533778,0.0,0.0598669355202158,4.461514105099515
PI533779,0.0,0.0465720625372789,-5.316669249177763
PI533781,0.0,0.0586105024547845,-0.6768981351553799
PI533782,0.0,0.0457665123477441,-4.808677480557757
PI533783,0.0,0.0630890124676778,1.9518562106751176
PI533784,0.0,0.0516989308094339,5.225402226163642
PI533785,0.0,0.0663669583719415,3.3356741764154547
PI533786,0.0,0.0492324375555502,2.366738915436204
PI533787,0.0,0.0556360964848238,-0.8874602595272663
PI533788,0.0,0.0503934747618491,2.9915831692425936
PI533789,0.0,0.051210048135466,-5.28720070633658
PI533790,0.0,0.0546190966573465,5.026125403396588
PI533791,0.0,0.0641474216735472,4.99891926382977
PI533792,0.0,0.0491040416335208,2.1614682041331634
PI533793,0.0,0.0420111102901769,-6.0286037516473385
PI533794,0.0,0.0597263045288409,4.592506482479086
PI533795,0.0,0.0540269639416468,1.0757984564364127
PI533797,0.0,0.0603423982476662,-4.69153021037559
PI533798,0.0,0.0586112307271967,-1.4683503692849549
PI533799,0.0,0.0612190542848918,-0.8670951244016228
PI533800,0.0,0.068452885449006,-3.516488268978465
PI533802,0.0,0.0529337845156937,-0.9853636402499588
PI533803,0.0,0.069782677901955,6.270822460612952
PI533804,0.0,0.0613421540615005,1.9222312357427367
PI533807,0.0,0.0640309669197075,2.147655558381752
PI533808,0.0,0.061691420962315,3.5717461713715797
PI533809,2.0,0.049460651271202,4.233517539793686
PI533810,0.0,0.0481961764478252,2.3901138790033003
PI533811,2.0,0.0418460875511049,6.519005103412901
PI533812,2.0,0.0550537578196496,5.407566560239675
PI533813,2.0,0.0522939130955552,-2.396541174408446
PI533814,0.0,0.0511635375889657,-2.8927019344396094
PI533816,2.0,0.050939784299526,2.25566785400752
PI533818,0.0,0.0727817330026118,2.8665638129893893
PI533819,0.0,0.0573070763358478,2.0436520253014328
PI533820,,0.0625135664315674,-0.06296351160217269
PI533821,0.0,0.0575086600037487,0.7510346301171319
PI533822,0.0,0.0518857334681516,-1.8673087861004953
PI533823,2.0,0.0669504436268878,13.271257447128145
PI533824,0.0,0.0447952603039828,-2.42734005097733
PI533825,0.0,0.0427868517099463,-1.1872039871829603
PI533828,0.0,0.0646454176078932,6.129797664366535
PI533829,0.0,0.0548307002089176,9.621668642720346
PI533830,0.0,0.07025870665154,1.6871752516241787
PI533831,0.0,0.0442992853607343,-5.0281131202219855
PI533832,0.0,0.0647892876665362,-0.544055936571356
PI533833,0.0,0.0575473634080746,-0.3487080661817966
PI533834,0.0,0.0460032179666189,-10.349478234334041
PI533835,0.0,0.0487056842419742,-4.258423368871005
PI533836,0.0,0.0596158903294436,1.449246932475704
PI533837,0.0,0.066158208559105,-1.4805295857569787
PI533838,0.0,0.0793483109554934,-1.0632997922431044
PI533839,0.0,0.0552789958809682,-4.059924648778271
PI533840,0.0,0.0567696383383166,3.250372725750301
PI533841,0.0,0.055280663619615,-0.08121598343285572
PI533842,0.0,0.0489240685630076,-4.472371316671233
PI533844,0.0,0.0568785479242489,-1.7302951447793709
PI533846,,0.0475987012112057,2.4211413970293996
PI533847,0.0,0.0605418076091174,-1.107294881468746
PI533848,,0.0668401933936136,8.369042802014894
PI533849,2.0,0.0484326027594226,9.152497056180602
PI533850,0.0,0.0512619629357605,4.278267943619227
PI533851,0.0,0.0547211898814377,4.787367896490983
PI533853,2.0,0.0648826231868409,-0.4934906611803591
PI533855,0.0,0.0514564970298378,2.5213202540895416
PI533856,0.0,0.0624376678007077,-0.42237001528293927
PI533857,0.0,0.0463185114755811,-3.9204043577472363
PI533858,0.0,0.0530125082555481,-4.278376371172944
PI533860,0.0,0.0623334729641527,-4.172226363756951
PI533861,0.0,0.0455475647343694,-3.3984372196772643
PI533862,0.0,0.07212231182253,6.089071446074369
PI533863,0.0,0.0618994974003374,-0.7810051680568244
PI533864,0.0,0.0607934566149009,0.5808992376765624
PI533867,0.0,0.0558073766900194,10.538546516596556
PI533869,0.0,0.0645610454505059,1.2652940816180784
PI533870,0.0,0.0533243034879956,-3.392426887056228
PI533871,0.0,0.0512368840584166,-0.012250947289462258
PI533872,0.0,0.062399189956737,-0.33762851464852034
PI533873,0.0,0.0603895522569409,-0.530447093828466
PI533874,0.0,0.0630981020061713,-3.6144847188387055
PI533876,0.0,0.0649078008208579,2.5893468635319357
PI533877,0.0,0.0538252122995758,-0.8983717689638071
PI533878,0.0,0.0603576928930532,1.1741838884166278
PI533879,0.0,0.0587405415581456,7.274659639228895
PI533880,0.0,0.065961793377747,-0.2693419915949709
PI533881,0.0,0.0649045021733526,8.808215999737428
PI533882,0.0,0.0607161276780377,-6.942684580079801
PI533884,0.0,0.0645101021445046,6.172180492439079
PI533885,0.0,0.0730686424427206,5.26995250350787
PI533887,0.0,0.0629256093182061,
PI533888,0.0,0.0535362003818865,-1.2752619512856584
PI533893,0.0,0.05885714918521,-3.287214620962066
PI533894,0.0,0.0652547821824948,1.0623731489757675
PI533895,0.0,0.0610306150631185,3.076182049613666
PI533897,0.0,0.0536556793837382,3.684474184593709
PI533898,0.0,0.0757332965754055,-1.2143726677080218
PI533899,0.0,0.0600605606822533,-2.284826335042152
PI533900,0.0,0.0617228675867249,-0.33179928798024516
PI533901,0.0,,
PI533902,0.0,0.0526596900591135,-5.433256794560257
PI533903,0.0,0.0580538593069843,-3.79395376348257
PI533904,0.0,0.0424930155471287,5.525634757756011
PI533905,0.0,0.05878666122276,1.5221695565999482
PI533906,0.0,0.0632485071948944,-0.3187173468723968
PI533907,0.0,0.0608319224250484,-7.224555465095755
PI533908,0.0,0.0599637603461914,0.007871710539031348
PI533909,0.0,0.0665813728195275,-3.133147441360228
PI533910,0.0,0.0504940362117603,-4.736347584121441
PI533911,0.0,0.061406275224885,0.009183826208860652
PI533912,0.0,0.0438688791401016,0.18186398026306957
PI533913,0.0,0.0632677884038529,-0.1964059136060006
PI533914,0.0,0.0580192113554232,4.599575469703324
PI533915,0.0,0.0578619335635119,6.330947636591069
PI533916,0.0,0.0662599276491486,6.025569680018997
PI533917,0.0,0.0672360027452474,-2.1619232601008727
PI533918,0.0,0.0456092586809352,-4.026936212526178
PI533919,0.0,0.0541403466563927,3.15353112683416
PI533920,0.0,0.0521697576345724,-2.694119955669824
PI533921,0.0,0.0570832490399528,-2.273637160886623
PI533922,0.0,0.0572166946615728,0.8380778348763914
PI533923,0.0,0.0693474808624667,0.8296950818305032
PI533924,0.0,0.0584487032699646,-4.550409462115806
PI533925,0.0,0.0456553528599815,-2.47934732987558
PI533927,0.0,,
PI533928,0.0,0.0441297039659524,-1.064966670902653
