genotype,dry,fresh,water_frac,peak_dose
PI152651,8.85,22.529249999999998,0.5754085963914211,0.0
PI17548,14.97,37.7885,0.6046059057812899,0.0
PI24969,15.585,40.22125,0.5849902773388411,0.0
PI276837,13.43,27.2482,0.5072276423180122,0.0
PI329435,19.37,43.18135,0.5301954078211393,0.0
PI329440,12.844999999999999,35.01165,0.585801422822227,0.0
PI34911,23.781,63.278830000000006,0.5945026972854373,0.0
PI35038,19.52,58.895250000000004,0.6516164357174323,0.0
PI48770,14.7,25.1901,0.4164374099348554,0.0
PI533752,19.53,47.0362,0.5476409763720343,0.0
PI533754,11.79,29.71815,0.58674975923369,2.0
PI533755,22.049999999999997,52.83275,0.5838110277241237,0.0
PI533757,22.15,56.716,0.6150989208434302,0.0
PI533758,17.35,37.5754,0.5226076559091425,0.0
PI533759,21.225,49.856849999999994,0.5456767835984393,0.0
PI533760,28.11,65.75545,0.5699502580426362,0.0
PI533761,11.09,26.7088,0.5567512211340817,0.0
PI533762,9.955,28.4772,0.6504263013114062,0.0
PI533766,14.705,31.5635,0.5365286912699758,0.0
PI533769,14.774999999999999,29.469749999999998,0.48583403143633397,0.0
PI533776,16.67,37.1747,0.53096578244206,0.0
PI533785,14.051,33.989729999999994,0.5806247404737725,0.0
PI533788,15.5,35.0336,0.5398984136444511,0.0
PI533789,20.55,51.95955,0.5473094554596122,0.0
PI533792,29.915,64.51195,0.5243085014208839,0.0
PI533794,19.36,43.19203,0.5148075846701868,0.0
PI533799,25.88,61.03435,0.5514012325683483,0.0
PI533800,16.485,45.82795,0.5781894048208128,0.0
PI533807,21.35,47.5567,0.5281956861935504,0.0
PI533810,25.59,72.7296,0.6396920179451329,0.0
PI533814,18.665,58.678650000000005,0.6635875071740436,0.0
PI533821,25.59,78.14235,0.6726049219987695,0.0
PI533822,15.125,32.95215,0.5402407098975044,0.0
PI533824,18.415,48.6091,0.6263533344527745,0.0
PI533830,12.985,38.5268,0.6280498250654828,0.0
PI533831,34.7,89.269,0.611287232970012,0.0
PI533833,12.39,27.0004,0.5411179093643057,0.0
PI533838,11.32,26.37125,0.5679909996944011,0.0
PI533839,10.865,21.4223,0.5053306474839888,0.0
PI533841,25.060000000000002,61.94445,0.5994708151385456,0.0
PI533842,32.239999999999995,89.78805,0.6349256808188283,0.0
PI533855,14.57,38.2993,0.6168030434523708,0.0
PI533856,33.665,95.4958,0.6404505499550603,0.0
PI533863,16.14,34.73045,0.5247521394251048,0.0
PI533869,12.195,24.9206,0.5142833446134358,0.0
PI533871,24.925,57.0721,0.5576156523899194,0.0
PI533876,34.655,87.76249999999999,0.5672164741988399,0.0
PI533877,12.2,19.5875,0.37715379706445434,0.0
PI533878,19.9,40.9132,0.5136044112902438,0.0
PI533882,30.93,85.6959,0.6390725810686392,0.0
PI533901,13.274999999999999,28.3788,0.5210355962097379,0.0
PI533902,25.884999999999998,91.1077,0.7033886989042373,0.0
PI533903,14.830000000000002,47.39395,0.6523273332584272,0.0
PI533910,12.95,24.18675,0.46327168403253927,0.0
PI533911,11.4,34.94365,0.6412569139028197,0.0
PI533912,15.925,35.42785,0.5434676766899003,0.0
PI533913,13.495000000000001,36.0745,0.5972676354052602,0.0
PI533915,11.335,28.208750000000002,0.5959704873478592,0.0
PI533919,20.485,61.997600000000006,0.5826965918019986,0.0
PI533921,13.535,36.751850000000005,0.5936679100942184,0.0
