genotype,peak_dose,gloss,disease_exg,human_score
BTx643,0,0.0632937671248395,0.06654019974,1.375
BTx645,0,0.0628094876578204,0.12092981678333332,
PI152651,0,0.0532194137425026,0.729408176959091,2.5681818181818183
PI153844,0,0.0469751761324007,0.15887965096363635,
PI153846,0,0.0559798866091853,1.3351078969925925,
PI156549,1,,,
PI17548,0,,,
PI22326,0,0.0623225711423075,0.0390357677,1.5
PI24969,0,0.0501626708612576,0.22509293778421055,
PI276837,0,0.0485241019759413,0.006871153582608696,1.25
PI329435,0,0.0568694180238381,0.006633553933333334,
PI329440,0,0.0601459324987155,0.8952705564685713,2.6875
PI34911,0,0.0513994645845908,0.08209392856666667,
PI35038,0,0.0518291784562771,0.6142161361999999,2.25
PI48770,0,0.0388376872905296,0.41298623889,2.125
PI533745,0,0.0613159552739495,1.1273888008333333,
PI533746,0,0.0515355006459874,1.17032912972,
PI533747,0,0.0470219231472077,1.7908353712,
PI533749,0,0.0528295928972409,0.9878587843909091,2.5
PI533751,0,0.058945779873685,0.18533735390476191,2.0
PI533752,0,0.0578384960229334,0.17689581048333333,1.5
PI533753,0,0.0552102838880399,0.36594621873333333,2.5
PI533754,2,0.0662298471818313,0.5527159157888888,
PI533756,0,0.0444899298469311,0.35679057194444447,
PI533757,0,0.0525283115122236,0.03847637632,1.5
PI533758,0,0.0730445104819138,1.166856881204762,
PI533759,0,0.0422321415457192,0.46225655081333333,
PI533760,0,0.0426543810912734,0.10247786615652174,2.0
PI533761,0,0.0621175237979404,0.3304769467478261,1.5
PI533762,0,0.0575303651303933,0.6989234065090909,
PI533763,0,0.0574015949196861,1.6324500885818183,2.25
PI533764,0,0.0634612515499802,0.5223105716666666,2.25
PI533765,0,0.0533819105490742,0.9190352423,
PI533766,0,0.0539694343097527,0.2982131753043479,1.25
PI533768,0,0.0555553349887219,0.32299321276363635,1.7857142857142858
PI533769,0,0.0554674057046887,0.14961210272068967,
PI533770,0,0.0594772230245405,1.1424492746666666,
PI533771,0,0.0640391274051555,0.28611858880476193,2.75
PI533774,0,0.0578777860224445,0.07122576453783784,1.625
PI533776,0,0.068027263451584,0.9080159138888888,2.75
PI533777,0,0.0516980856438911,1.642777846425,2.75
PI533778,0,0.0598669355202158,1.0601998625391305,2.7045454545454546
PI533779,0,0.0465720625372789,0.05673720287,
PI533781,0,0.0586105024547845,0.98783391482,2.75
PI533782,0,0.0457665123477441,1.4125231509789473,2.5454545454545454
PI533783,0,0.0630890124676778,0.9329759633636364,2.25
PI533784,0,0.0516989308094339,0.8624021409642858,
PI533785,0,0.0663669583719415,0.40002385018333336,1.75
PI533786,0,0.0492324375555502,0.2836354804,2.0
PI533787,0,0.0556360964848238,0.978912469925,2.0
PI533788,0,0.0503934747618491,0.5056021625357142,
PI533789,0,0.051210048135466,0.15629090851578947,1.875
PI533790,0,0.0546190966573465,1.18633243578,3.25
PI533791,0,0.0641474216735472,1.28308843655,
PI533792,0,0.0491040416335208,0.7929925155,
PI533793,0,0.0420111102901769,0.06190974479,
PI533794,0,0.0597263045288409,1.5270053992666666,2.0833333333333335
PI533795,0,0.0540269639416468,0.8889803218962963,
PI533797,0,0.0603423982476662,0.32798967367272724,2.0
PI533798,0,0.0586112307271967,0.15753743218333335,1.5
PI533799,0,0.0612190542848918,0.17864298475454546,
PI533800,0,0.068452885449006,0.33007236851666666,1.25
PI533802,0,0.0529337845156937,0.009790082516666666,1.25
PI533803,0,0.069782677901955,0.9759528045470589,
PI533804,0,0.0613421540615005,1.0750496414615385,1.75
PI533807,0,0.0640309669197075,0.8460727628333333,3.5
PI533808,0,0.061691420962315,0.7373040428777778,
PI533809,2,0.049460651271202,0.79135138075,
PI533810,0,0.0481961764478252,0.8646359004,1.625
PI533811,2,0.0418460875511049,1.6668698766,
PI533812,2,0.0550537578196496,0.3463847019357143,
PI533813,2,0.0522939130955552,0.10373893399999999,
PI533814,0,0.0511635375889657,0.042055658100000004,
PI533816,2,0.050939784299526,0.3066014542742857,2.357142857142857
PI533818,0,0.0727817330026118,0.5410928211363637,
PI533819,0,0.0573070763358478,0.8319843213217392,
PI533820,0,0.0625135664315674,0.7418073164944444,
PI533821,0,0.0575086600037487,0.44205980496153846,2.0
PI533822,0,0.0518857334681516,0.22583818094,
PI533823,2,0.0669504436268878,1.9628964679157896,2.75
PI533824,0,0.0447952603039828,0.18715013914705883,2.25
PI533825,0,0.0427868517099463,0.24066761902173914,2.375
PI533828,0,0.0646454176078932,1.8108406880833334,2.5
PI533829,0,0.0548307002089176,1.6300481344826085,2.5
PI533830,0,0.07025870665154,2.476961612633333,
PI533831,0,0.0442992853607343,0.2986752926409091,1.75
PI533832,0,0.0647892876665362,0.5285962413181818,1.5
PI533833,0,0.0575473634080746,0.7687017914,
PI533834,0,0.0460032179666189,0.03721124431818182,1.75
PI533835,0,0.0487056842419742,0.13025290268095238,1.5
PI533836,0,0.0596158903294436,0.6763822665263157,2.25
PI533837,0,0.066158208559105,0.07713680371666667,1.5
PI533838,0,0.0793483109554934,0.4826535834,
PI533839,0,0.0552789958809682,0.10673134755238096,
PI533840,0,0.0567696383383166,1.3792368584181818,4.25
PI533841,0,0.055280663619615,0.5352747695166666,2.125
PI533842,0,0.0489240685630076,0.07704632310909092,1.5
PI533844,0,0.0568785479242489,0.0118046681,
PI533846,0,0.0475987012112057,0.8744723269666667,1.75
PI533847,0,0.0605418076091174,0.2708236540764706,
PI533848,0,0.0668401933936136,1.0375463610434783,
PI533849,2,0.0484326027594226,2.0948433389529413,
PI533850,0,0.0512619629357605,1.2781132281142855,2.0
PI533851,0,0.0547211898814377,0.31928431521333334,2.0
PI533853,2,0.0648826231868409,0.14174521886842104,1.5
PI533855,0,0.0514564970298378,0.33551043788,
PI533856,0,0.0624376678007077,0.3837282046409091,2.0
PI533857,0,0.0463185114755811,1.0205518517681818,3.0
PI533858,0,0.0530125082555481,0.046721954170588234,1.375
PI533860,0,0.0623334729641527,0.20702004780000002,2.1666666666666665
PI533861,0,0.0455475647343694,0.226147702825,
PI533862,0,0.07212231182253,2.017377989366667,4.125
PI533863,0,0.0618994974003374,0.13743998964285714,1.75
PI533864,0,0.0607934566149009,0.293111579,2.75
