genotype,peak_dose,gloss,disease_exg,human_score
BTx643,0,0.0632937671248395,-7.693971315379026,1.4684134175749546
BTx645,0,0.0628094876578204,-8.444781564138113,1.6956639607837762
PI152651,0,0.0532194137425026,-5.509036590129693,2.692592402389688
PI153844,0,0.0469751761324007,-6.809935763346046,2.161457235678156
PI153846,0,0.0559798866091853,-5.785008432054504,2.417915735646908
PI156549,1,,,
PI17548,0,,,
PI22326,0,0.0623225711423075,-5.313147817844182,2.293834381914592
PI24969,0,0.0501626708612576,-7.152848762949298,1.9979541990483445
PI276837,0,0.0485241019759413,-8.754262605529147,1.6606054443635407
PI329435,0,0.0568694180238381,-8.540627093150055,1.3627660628268723
PI329440,0,0.0601459324987155,-6.287440779031948,2.171217311567648
PI34911,0,0.0513994645845908,-5.979267357031623,2.9718791848157142
PI35038,0,0.0518291784562771,-5.324435274411046,2.075740080851015
PI48770,0,0.0388376872905296,-5.528360694399818,2.559614836648543
PI533745,0,0.0613159552739495,-5.056510893727287,2.2615352963324007
PI533746,0,0.0515355006459874,-4.338191276614764,2.4927070494545687
PI533747,0,0.0470219231472077,-6.3366817086352505,1.9868959038569411
PI533749,0,0.0528295928972409,-6.021472790821496,2.169662480500096
PI533751,0,0.058945779873685,-6.892523893819946,1.961262746913394
PI533752,0,0.0578384960229334,-6.830324624331972,1.8731287222106408
PI533753,0,0.0552102838880399,-6.948014994314555,2.63312079352799
PI533754,2,0.0662298471818313,-5.545061871187499,2.185851570394507
PI533756,0,0.0444899298469311,-5.8416660187563485,2.089762375443027
PI533757,0,0.0525283115122236,-7.980868644100502,2.0680297593383616
PI533758,0,0.0730445104819138,-5.451471118349028,2.478922707600901
PI533759,0,0.0422321415457192,-7.578592778283416,2.110223209318998
PI533760,0,0.0426543810912734,-8.297934694431342,1.4874812862070597
PI533761,0,0.0621175237979404,-6.700068566747682,1.8373335601720089
PI533762,0,0.0575303651303933,-6.184901092555666,2.3815789460093235
PI533763,0,0.0574015949196861,-3.547761083310001,3.038925388226795
PI533764,0,0.0634612515499802,-5.988132481939086,2.605797377677089
PI533765,0,0.0533819105490742,-4.431803088708432,3.167864541578527
PI533766,0,0.0539694343097527,-5.306274928916477,2.2012720526774103
PI533768,0,0.0555553349887219,-6.1018281426409136,1.820898849453401
PI533769,0,0.0554674057046887,-6.894880837454148,2.7513701816537344
PI533770,0,0.0594772230245405,-5.353897028718933,2.603187997733234
PI533771,0,0.0640391274051555,-5.089078421443986,3.2803656246836983
PI533774,0,0.0578777860224445,-7.6146646984883795,1.9676851534124205
PI533776,0,0.068027263451584,-4.311033119329183,2.7863726327550893
PI533777,0,0.0516980856438911,-3.5508085692999023,2.969534595390108
PI533778,0,0.0598669355202158,-4.520875833377153,2.9345687359129853
PI533779,0,0.0465720625372789,-8.620392149308861,2.324525793529236
PI533781,0,0.0586105024547845,-5.4735140987123865,2.5888935205531176
PI533782,0,0.0457665123477441,-5.09539532777755,2.622002775661974
PI533783,0,0.0630890124676778,-5.09410895376986,2.6042508239365727
PI533784,0,0.0516989308094339,-5.13117035084365,2.8889072168181977
PI533785,0,0.0663669583719415,-5.419016799636106,2.639875264415893
PI533786,0,0.0492324375555502,-6.853925823777081,2.347527733602961
PI533787,0,0.0556360964848238,-4.704378788413498,2.5404883286617794
PI533788,0,0.0503934747618491,-5.218293162166645,2.9211562765664745
PI533789,0,0.051210048135466,-7.475710548054873,2.397537075462509
PI533790,0,0.0546190966573465,-4.358417087410186,3.1681735773417827
PI533791,0,0.0641474216735472,-4.261226032855401,3.287244452315665
PI533792,0,0.0491040416335208,-3.9968451175158695,2.885475537171703
PI533793,0,0.0420111102901769,-8.439720036255729,1.558980658963099
PI533794,0,0.0597263045288409,-6.176555331925889,1.8918780101804809
PI533795,0,0.0540269639416468,-4.8783471309463735,3.439021964081337
PI533797,0,0.0603423982476662,-6.485330377227741,2.26539495235444
PI533798,0,0.0586112307271967,-7.141588624843675,1.8864957294484264
PI533799,0,0.0612190542848918,-6.635606706671648,2.180638508105364
PI533800,0,0.068452885449006,-6.853358484137686,1.9557939547971297
PI533802,0,0.0529337845156937,-9.086452601898214,1.21852603443383
PI533803,0,0.069782677901955,-4.6528304944073735,2.8105891803331766
PI533804,0,0.0613421540615005,-3.9387418747663,3.2513705169144917
PI533807,0,0.0640309669197075,-7.885976807497899,2.268575613621681
PI533808,0,0.061691420962315,-4.557242400898699,2.968247672229005
PI533809,2,0.049460651271202,-5.675240731699288,2.542155611978417
PI533810,0,0.0481961764478252,-6.420575185497907,2.179967543562335
PI533811,2,0.0418460875511049,-5.175982252791164,2.7301966073688475
PI533812,2,0.0550537578196496,-6.311460950068864,2.1939025507071204
PI533813,2,0.0522939130955552,-7.630798976683811,1.5188623687332046
PI533814,0,0.0511635375889657,-8.811327511796213,1.4076708145312562
PI533816,2,0.050939784299526,-5.57993359529054,2.2753182691017826
PI533818,0,0.0727817330026118,-4.951653950885864,2.674977143670125
PI533819,0,0.0573070763358478,-4.844123602150153,2.4710474531555398
PI533820,0,0.0625135664315674,-6.47342164574828,2.605177884087424
PI533821,0,0.0575086600037487,-5.417134738805071,2.801499274806967
PI533822,0,0.0518857334681516,-7.234515391444956,2.544282134206748
PI533823,2,0.0669504436268878,-4.1174264062745705,2.908917887024882
PI533824,0,0.0447952603039828,-6.637379900462313,2.585920364570478
PI533825,0,0.0427868517099463,-6.573035739058411,2.039923043254663
PI533828,0,0.0646454176078932,-4.524394218813598,2.707068507067967
PI533829,0,0.0548307002089176,-4.445619830106544,2.707206541136213
PI533830,0,0.07025870665154,-4.98501823976221,2.6212232621082494
PI533831,0,0.0442992853607343,-6.192866157656825,1.9923634347834809
PI533832,0,0.0647892876665362,-5.849238600965497,2.464353743287714
PI533833,0,0.0575473634080746,-4.9069009050950925,2.1932232662640554
PI533834,0,0.0460032179666189,-8.418123324447581,1.8827009958170395
PI533835,0,0.0487056842419742,-6.3859160960331165,2.0049332866611103
PI533836,0,0.0596158903294436,-5.759139767115187,2.566470752576981
PI533837,0,0.066158208559105,-7.088832219184807,1.8616118475691927
PI533838,0,0.0793483109554934,-5.801530416404088,2.036001607035204
PI533839,0,0.0552789958809682,-6.832335045905487,2.312784229719848
PI533840,0,0.0567696383383166,-4.730641451560276,2.8452054679843357
PI533841,0,0.055280663619615,-6.444056041897771,2.502780932207795
PI533842,0,0.0489240685630076,-7.482601196003572,1.6031765986836048
PI533844,0,0.0568785479242489,-10.51034800047385,1.5145416791202162
PI533846,0,0.0475987012112057,-5.051311961949878,2.14685622925654
PI533847,0,0.0605418076091174,-7.942138843290211,2.220543591834907
PI533848,0,0.0668401933936136,-5.038834329873957,3.046468619182931
PI533849,2,0.0484326027594226,-4.071550166517261,3.093652161799986
PI533850,0,0.0512619629357605,-4.368971315159264,2.903587645478855
PI533851,0,0.0547211898814377,-5.296362428128546,2.5117544477901785
PI533853,2,0.0648826231868409,-6.697147671619526,2.231055664374839
PI533855,0,0.0514564970298378,-6.2637721044650405,2.155569035360324
PI533856,0,0.0624376678007077,-6.141671641420121,2.734632592507797
PI533857,0,0.0463185114755811,-6.877498402243238,1.9295113901213272
PI533858,0,0.0530125082555481,-7.197454568913493,1.875145792114902
PI533860,0,0.0623334729641527,-7.207808514986657,2.281048554035988
PI533861,0,0.0455475647343694,-6.84518803670518,2.244893095484461
PI533862,0,0.07212231182253,-4.87113605072882,2.9564193758847463
PI533863,0,0.0618994974003374,-6.50200134500474,2.520312759198076
PI533864,0,0.0607934566149009,-6.283043465592203,2.41239801319013
PI533867,0,0.0558073766900194,-3.960215578448984,2.8206902087997423
PI533869,0,0.0645610454505059,-6.245354485170246,2.0446529052329225
PI533870,0,0.0533243034879956,-5.251878407075601,2.80512352232049
PI533871,0,0.0512368840584166,-7.708836848922267,1.9777417913963735
PI533872,0,0.062399189956737,-7.246940781924685,1.7862794605679693
PI533873,0,0.0603895522569409,-5.732409257575819,2.1514248277731096
PI533874,0,0.0630981020061713,-6.417449901476263,1.6709061163152803
PI533876,0,0.0649078008208579,-4.175820564373449,2.6546012800771
PI533877,0,0.0538252122995758,-4.851767962355449,2.4709054276433307
PI533878,0,0.0603576928930532,-6.675392254994762,2.119901949394114
PI533879,0,0.0587405415581456,-5.379448570338646,2.5506381588832774
PI533880,0,0.065961793377747,-5.81148966538672,1.947501069463502
PI533881,0,0.0649045021733526,-4.693530154505457,2.3908098433856444
PI533882,0,0.0607161276780377,-7.9166412254547485,1.5677709756201652
PI533884,0,0.0645101021445046,-4.716322341863936,3.250513760154617
PI533885,0,0.0730686424427206,-3.375861751415065,3.3338723381278346
PI533887,0,0.0629256093182061,-7.858974833281576,2.3247790905517824
PI533888,0,0.0535362003818865,-4.576412560688181,2.5469087921341185
PI533893,0,0.05885714918521,-5.44830640270585,2.47478368513394
PI533894,0,0.0652547821824948,-4.366351188309007,3.407698576920204
PI533895,0,0.0610306150631185,-5.411669817322476,2.59314970840319
PI533897,0,0.0536556793837382,-5.3688941869121285,2.4800653990831583
PI533898,0,0.0757332965754055,-6.215968913957238,2.0205980432165447
PI533899,0,0.0600605606822533,-4.88769664595233,2.854615152450834
PI533900,0,0.0617228675867249,-5.199298597254524,2.4621125890677726
PI533901,0,,,
PI533902,0,0.0526596900591135,-6.643381581585693,2.596611254262747
PI533903,0,0.0580538593069843,-6.600716376211819,1.9802062944192
