genotype,peak_dose,miss_dose,human_score,disease_exg,dhurrin_tpm
BTx643,0,0,1.375,0.06654019974,
BTx645,0,0,,0.12092981678333332,2.91
PI152651,0,0,2.75,0.729408176959091,1095.6266666666668
PI153844,0,0,,0.15887965096363635,0.94
PI153846,0,0,,1.3351078969925925,33.65
PI156549,0,0,,,
PI17548,0,0,,,929.24
PI22326,0,0,1.75,0.0390357677,4.34
PI24969,0,0,,0.22509293778421055,664.0933333333334
PI276837,0,0,1.25,0.006871153582608696,692.4875
PI329435,0,0,,0.006633553933333334,
PI329440,0,0,2.6875,0.8952705564685713,827.5350000000001
PI34911,0,0,,0.08209392856666667,1462.675
PI35038,0,0,2.25,0.6142161361999999,849.6800000000001
PI48770,0,0,2.125,0.41298623889,1014.73
PI533745,0,0,,1.1273888008333333,8.43
PI533746,0,0,,1.17032912972,15.0
PI533747,0,0,,1.7908353712,49.26
PI533749,0,0,2.5,0.9878587843909091,2.87
PI533751,0,0,2.0,0.18533735390476191,9.4
PI533752,0,0,1.5,0.17689581048333333,505.5633333333333
PI533753,0,0,2.5,0.36594621873333333,2.71
PI533754,0,0,,0.5527159157888888,480.34999999999997
PI533756,0,0,,0.35679057194444447,0.93
PI533757,0,0,1.5,0.03847637632,928.8166666666666
PI533758,0,0,,1.166856881204762,292.6066666666666
PI533759,0,0,,0.46225655081333333,1298.73
PI533760,0,0,2.0,0.10247786615652174,1399.05
PI533761,0,0,1.5,0.3304769467478261,593.1266666666667
PI533762,0,0,,0.6989234065090909,1124.4633333333334
PI533763,0,0,2.625,1.6324500885818183,
PI533764,0,0,2.25,0.5223105716666666,22.17
PI533765,0,0,,0.9190352423,16.22
PI533766,0,0,1.25,0.2982131753043479,1136.0200000000002
PI533768,0,0,1.75,0.32299321276363635,
PI533769,0,0,,0.14961210272068967,476.91333333333336
PI533770,0,0,,1.1424492746666666,0.98
PI533771,0,0,2.75,0.28611858880476193,0.94
PI533774,0,0,1.625,0.07122576453783784,26.74
PI533776,0,0,2.75,0.9080159138888888,1321.71
PI533777,0,0,2.75,1.642777846425,37.28
PI533778,0,0,2.75,1.0601998625391305,0.49
PI533779,0,0,,0.05673720287,
PI533781,0,0,2.75,0.98783391482,
PI533782,0,0,2.5,1.4125231509789473,
PI533783,0,0,2.25,0.9329759633636364,150.37
PI533784,0,0,,0.8624021409642858,71.11
PI533785,0,0,1.75,0.40002385018333336,847.9200000000001
PI533786,0,0,2.0,0.2836354804,22.84
PI533787,0,0,2.0,0.978912469925,
PI533788,0,0,,0.5056021625357142,499.13
PI533789,0,0,1.875,0.15629090851578947,356.84666666666664
PI533790,0,0,3.25,1.18633243578,71.57
PI533791,0,0,2.75,1.28308843655,99.97
PI533792,0,0,,0.7929925155,512.26
PI533793,0,0,,0.06190974479,8.27
PI533794,0,0,2.0833333333333335,1.5270053992666666,205.00666666666666
PI533795,2,2,,0.8889803218962963,1.84
PI533797,0,0,2.0,0.32798967367272724,23.64
PI533798,0,0,1.5,0.15753743218333335,16.77
PI533799,0,0,,0.17864298475454546,410.35999999999996
PI533800,0,0,1.25,0.33007236851666666,816.6100000000001
PI533802,0,0,1.25,0.009790082516666666,2.12
PI533803,0,0,,0.9759528045470589,2.4
PI533804,0,0,1.75,1.0750496414615385,10.32
PI533807,0,0,3.5,0.8460727628333333,621.6033333333334
PI533808,0,0,,0.7373040428777778,58.98
PI533809,0,0,,0.79135138075,17.37
PI533810,0,0,1.625,0.8646359004,468.58
PI533811,0,0,,1.6668698766,74.54
PI533812,0,0,,0.3463847019357143,9.94
PI533813,0,0,,0.10373893399999999,164.18
PI533814,0,0,1.5,0.042055658100000004,627.1866666666666
PI533816,0,0,2.375,0.3066014542742857,0.52
PI533818,0,0,1.5,0.5410928211363637,23.69
PI533819,0,0,,0.8319843213217392,0.0
PI533820,0,0,,0.7418073164944444,
PI533821,0,0,2.0,0.44205980496153846,354.19666666666666
PI533822,0,0,,0.22583818094,484.2633333333333
PI533823,0,0,2.75,1.9628964679157896,33.37
PI533824,0,0,2.25,0.18715013914705883,332.32
PI533825,0,0,2.375,0.24066761902173914,18.45
PI533828,0,0,2.5,1.8108406880833334,2.76
PI533829,0,0,2.5,1.6300481344826085,10.6
PI533830,0,0,,2.476961612633333,666.7800000000001
PI533831,0,0,1.75,0.2986752926409091,1557.2633333333333
PI533832,0,0,1.5,0.5285962413181818,
PI533833,0,0,,0.7687017914,365.1266666666667
