genotype,peak_dose,miss_dose,human_score,disease_exg,dhurrin_tpm
BTx643,0,0,1.4684134175749546,-7.693971315379026,
BTx645,0,0,1.6956639607837762,-8.444781564138113,2.91
PI152651,0,0,2.692592402389688,-5.509036590129693,1095.6266666666668
PI153844,0,0,2.161457235678156,-6.809935763346046,0.94
PI153846,0,0,2.417915735646908,-5.785008432054504,33.65
PI156549,0,0,,,
PI17548,0,0,,,929.24
PI22326,0,0,2.293834381914592,-5.313147817844182,4.34
PI24969,0,0,1.9979541990483445,-7.152848762949298,664.0933333333334
PI276837,0,0,1.6606054443635407,-8.754262605529147,692.4875
PI329435,0,0,1.3627660628268723,-8.540627093150055,
PI329440,0,0,2.171217311567648,-6.287440779031948,827.5350000000001
PI34911,0,0,2.9718791848157142,-5.979267357031623,1462.675
PI35038,0,0,2.075740080851015,-5.324435274411046,849.6800000000001
PI48770,0,0,2.559614836648543,-5.528360694399818,1014.73
PI533745,0,0,2.2615352963324007,-5.056510893727287,8.43
PI533746,0,0,2.4927070494545687,-4.338191276614764,15.0
PI533747,0,0,1.9868959038569411,-6.3366817086352505,49.26
PI533749,0,0,2.169662480500096,-6.021472790821496,2.87
PI533751,0,0,1.961262746913394,-6.892523893819946,9.4
PI533752,0,0,1.8731287222106408,-6.830324624331972,505.5633333333333
PI533753,0,0,2.63312079352799,-6.948014994314555,2.71
PI533754,0,0,2.185851570394507,-5.545061871187499,480.34999999999997
PI533756,0,0,2.089762375443027,-5.8416660187563485,0.93
PI533757,0,0,2.0680297593383616,-7.980868644100502,928.8166666666666
PI533758,0,0,2.478922707600901,-5.451471118349028,292.6066666666666
PI533759,0,0,2.110223209318998,-7.578592778283416,1298.73
PI533760,0,0,1.4874812862070597,-8.297934694431342,1399.05
PI533761,0,0,1.8373335601720089,-6.700068566747682,593.1266666666667
PI533762,0,0,2.3815789460093235,-6.184901092555666,1124.4633333333334
PI533763,0,0,3.038925388226795,-3.547761083310001,
PI533764,0,0,2.605797377677089,-5.988132481939086,22.17
PI533765,0,0,3.167864541578527,-4.431803088708432,16.22
PI533766,0,0,2.2012720526774103,-5.306274928916477,1136.0200000000002
PI533768,0,0,1.820898849453401,-6.1018281426409136,
PI533769,0,0,2.7513701816537344,-6.894880837454148,476.91333333333336
PI533770,0,0,2.603187997733234,-5.353897028718933,0.98
PI533771,0,0,3.2803656246836983,-5.089078421443986,0.94
PI533774,0,0,1.9676851534124205,-7.6146646984883795,26.74
PI533776,0,0,2.7863726327550893,-4.311033119329183,1321.71
PI533777,0,0,2.969534595390108,-3.5508085692999023,37.28
PI533778,0,0,2.9345687359129853,-4.520875833377153,0.49
PI533779,0,0,2.324525793529236,-8.620392149308861,
PI533781,0,0,2.5888935205531176,-5.4735140987123865,
PI533782,0,0,2.622002775661974,-5.09539532777755,
PI533783,0,0,2.6042508239365727,-5.09410895376986,150.37
PI533784,0,0,2.8889072168181977,-5.13117035084365,71.11
PI533785,0,0,2.639875264415893,-5.419016799636106,847.9200000000001
PI533786,0,0,2.347527733602961,-6.853925823777081,22.84
PI533787,0,0,2.5404883286617794,-4.704378788413498,
