genotype,peak_dose,b_mean,a_mean,L_mean,b_sd,L_sd,gloss,emb
BTx643,0.0,12.27669448852539,-7.018418502807617,24.637962341308597,3.1526889324188234,7.743123531341553,0.0632937671248395,-3.9307970193813686
BTx645,0.0,11.46242380142212,-5.49849804242452,24.11512279510498,2.8821339209874477,7.27739159266154,0.0628094876578204,-2.6046894652772115
PI152651,2.0,16.44323952992757,-5.747410456339519,22.84112040201823,2.6207865675290427,8.472469568252563,0.0532194137425026,1.169908551306872
PI153844,2.0,8.43765115737915,-6.439189434051514,22.240874926249187,2.048478364944458,7.692151069641113,0.0469751761324007,0.2573418623768355
PI153846,0.0,11.609482628958563,-7.00482668195452,23.612742287772043,3.683338131223406,9.122788429260254,0.0559798866091853,-1.3164575934770764
PI156549,2.0,,,,,,,
PI17548,2.0,,,,,,,
PI22326,2.0,14.365267753601074,-6.294020891189575,24.07277107238769,2.989059567451477,9.7816162109375,0.0623225711423075,0.6628853546409552
PI24969,2.0,11.095729064941406,-8.607993793487548,24.807815933227538,3.009207820892334,6.759716606140136,0.0501626708612576,0.021269491091493425
PI276837,0.0,17.90181763966878,-12.35338830947876,25.447689692179363,3.1243103742599487,7.505628188451131,0.0485241019759413,-2.062383433979742
PI329435,0.0,19.31432342529297,-8.047574520111084,22.719544728597004,4.803645769755046,9.49768098195394,0.0568694180238381,-6.884624287036592
PI329440,2.0,10.831428951687284,-5.106948680347866,24.14662128024631,2.761091073354085,8.042613294389513,0.0601459324987155,-0.847992050268221
PI34911,2.0,12.982765515645346,-10.40575917561849,24.688342412312824,3.1929474671681723,8.804810523986816,0.0513994645845908,6.263563880210929
PI35038,2.0,12.86020310719808,-7.683600266774495,23.985870997111004,3.1204991340637207,7.867599487304687,0.0518291784562771,-3.5255504179601047
PI48770,2.0,10.377748092015583,-5.362576246261597,24.49679374694824,2.324949264526367,8.167207400004068,0.0388376872905296,-2.4029863259790814
PI533745,2.0,18.18442217508952,-6.010316371917725,21.958170572916668,3.254650990168253,9.75158723195394,0.0613159552739495,-1.4067494590060994
PI533746,2.0,8.92249345779419,-2.248011827468872,22.872597694396973,2.375731945037842,7.51313042640686,0.0515355006459874,
PI533747,2.0,10.446301698684692,-4.106365884343783,24.3150847752889,3.504216949144999,10.689523379007976,0.0470219231472077,-3.0849293335324095
PI533749,,10.163565476735434,-5.040384570757548,23.599846839904785,2.370970288912455,9.349764426549276,0.0528295928972409,2.425255008411554
PI533751,2.0,11.18096955617269,-6.226953268051148,25.08250904083252,2.883074919382731,9.569398085276283,0.058945779873685,-4.177903509490257
PI533752,2.0,11.258443117141724,-3.839744071165721,24.705454508463543,3.60898494720459,9.191150506337484,0.0578384960229334,-4.112178293966812
PI533753,2.0,17.611064910888675,-7.095805009206136,21.474239985148117,3.61538831392924,9.193145434061686,0.0552102838880399,0.697744092750871
PI533754,2.0,7.09196122487386,-4.851947625478108,23.636611302693684,2.8821518421173096,8.10158109664917,0.0662298471818313,-2.853395065432562
PI533756,2.0,6.421578407287598,-4.43102011680603,24.11764030456543,2.410090494155884,8.182491493225097,0.0444899298469311,-1.2447738243760733
PI533757,2.0,10.335900497436525,-9.042188930511475,24.817203903198244,2.8049997329711918,7.167682838439942,0.0525283115122236,-1.4935089648420115
PI533758,0.0,13.440982341766356,-4.031742811203003,24.42612870534261,2.8919905026753745,9.656795978546144,0.0730445104819138,-0.3507222597467814
PI533759,2.0,9.03165078163147,-5.651471495628357,24.036536693573,2.2986437678337097,7.268531799316406,0.0422321415457192,0.8753614742568882
PI533760,0.0,9.117278957366944,-7.43777379989624,24.82259521484375,2.9141592264175413,7.619961929321289,0.0426543810912734,-3.70505993173565
