genotype,midrib_b,lamina_b,contrast,whole_b,n_leaves
BTx643,17.313364271845035,11.186444101898953,6.126920169946081,12.278440475463867,5
BTx645,15.529820771088966,10.637228006778466,4.8925927643105,11.46767552693685,6
PI152651,16.99291009957937,15.929766855783141,1.0631432437962285,16.454972982406616,6
PI153844,10.425518098384723,7.909165029463729,2.516353068920994,8.437654733657837,6
PI153846,13.490683952708212,10.682935841913105,2.8077481107951074,11.613607951572963,7
PI153852,14.979769173673457,11.85295611634207,3.126813057331388,12.46453595161438,4
PI22326,18.976243009949428,13.509294308761792,5.466948701187638,14.370892524719238,2
PI24969,11.564302592694094,10.352095997457027,1.2122065952370673,11.09968843460083,5
PI276837,18.82799793749347,16.946378157729907,1.8816197797635672,17.899590015411377,6
PI329435,25.53270412720865,17.795669473055497,7.737034654153155,19.34783681233724,3
PI329440,12.803827959414926,10.263211780050373,2.540616179364554,10.832795355055067,9
PI34911,14.178543091914293,12.518256779999959,1.6602863119143336,12.983845710754395,3
PI35038,16.532747789762336,11.708663355698206,4.824084434064132,12.862219174702963,3
PI48770,11.94050551916137,10.122946961843303,1.8175585573180684,10.38416560490926,6
PI533745,20.388601777506,17.256819528736525,3.1317822487694724,18.198108037312824,3
PI533746,11.071646770476196,8.224488001716187,2.847158768760007,8.921277523040771,2
PI533747,11.573654876068138,9.960006839311523,1.613648036756614,10.456413825352987,6
PI533749,10.780999093279483,9.67904816159214,1.1019509316873424,10.160499095916748,6
PI533750,9.690180531376072,6.607363072583479,3.082817458792592,7.292205810546875,6
PI533751,13.559783607200481,10.419544052559699,3.1402395546407824,11.18111809094747,6
PI533752,14.211708414154243,10.22331183912395,3.9883965750302934,11.308773040771484,6
PI533753,21.753115934677123,16.690050883140945,5.063065051536175,17.630950927734375,3
PI533754,9.47159661650381,6.295504167788533,3.176092448715277,7.081912676493327,3
PI533755,19.88710200130583,13.612728745029555,6.274373256276275,15.018489440282186,6
PI533756,9.355588589710262,5.794101846568873,3.5614867431413884,6.427290201187134,5
PI533757,12.737282398115422,9.330546787853967,3.4067356102614554,10.339885902404784,5
PI533758,15.852738836357252,12.554989660039846,3.2977491763174065,13.430732727050781,6
PI533759,10.834939784636248,8.891333699776155,1.943606084860094,9.044767618179321,4
PI533760,11.298688526502753,8.376926213313348,2.9217623131894057,9.11736183166504,5
PI533761,20.573552171838543,15.417960456456223,5.155591715382319,16.47431468963623,6
PI533762,11.231251162893235,8.859214663219776,2.37203649967346,9.679041703542074,6
PI533763,13.622658043987633,11.205144755440097,2.4175132885475334,11.759335597356161,6
PI533764,13.793713227029455,11.818354513136471,1.9753587138929838,12.375227292378744,6
PI533765,12.430558239328322,10.901488250892294,1.5290699884360262,11.386509577433268,3
PI533766,14.731479293360344,11.091263869246092,3.640215424114252,11.991556962331137,6
PI533767,14.718176602597538,13.263390405347337,1.4547861972501999,13.593192100524902,6
PI533768,11.647061711850464,8.232546349507905,3.414515362342559,8.783175945281982,3
PI533769,18.88373640374508,16.40237953632748,2.481356867417597,17.14173650741577,8
PI533770,11.003170436390477,7.9448104188098085,3.058360017580668,8.449592192967733,6
PI533771,15.313852165553056,12.20154431825724,3.1123078472958157,12.560776551564535,6
PI533772,7.981987953718416,6.330492222123378,1.6514957315950394,6.874766111373901,5
