genotype,peak_dose,midrib_b,lamina_b,whole_b,G286700_expr,G286700_tpm
BTx643,0.0,17.313364271845035,11.186444101898951,12.278440475463867,,
BTx645,0.0,15.529820771088966,10.637228006778466,11.46767552693685,0.3561438102252753,0.28
PI152651,2.0,16.99291009957937,15.92976685578314,16.454972982406616,2.211012193485512,3.6300000000000003
PI153844,2.0,10.425518098384725,7.909165029463729,8.437654733657837,1.4854268271702418,1.8
PI153846,0.0,13.490683952708212,10.682935841913103,11.613607951572964,0.5260688116675876,0.44
PI156549,2.0,,,,,
PI17548,2.0,,,,2.3305584000308026,4.03
PI22326,2.0,18.976243009949428,13.509294308761792,14.370892524719238,2.01435529297707,3.04
PI24969,2.0,11.564302592694094,10.352095997457027,11.09968843460083,2.1396877710118107,3.4066666666666663
PI276837,0.0,18.82799793749347,16.946378157729907,17.899590015411377,2.463360885816658,4.515000000000001
PI329435,0.0,25.53270412720865,17.795669473055497,19.34783681233724,,
PI329440,2.0,12.803827959414926,10.263211780050373,10.832795355055069,2.704871964456353,5.52
PI34911,2.0,14.178543091914293,12.51825677999996,12.983845710754396,2.0107798387532427,3.0300000000000002
PI35038,2.0,16.532747789762336,11.708663355698206,12.862219174702965,2.282439805006387,3.865
PI48770,2.0,11.94050551916137,10.122946961843304,10.38416560490926,2.8328900141647417,6.125
PI533745,2.0,20.388601777506,17.256819528736525,18.198108037312824,0.2750070474998697,0.21
PI533746,2.0,11.071646770476196,8.224488001716187,8.921277523040771,0.4956951626240687,0.41
PI533747,2.0,11.573654876068138,9.960006839311523,10.456413825352987,1.3673710656485294,1.58
PI533749,,10.780999093279483,9.67904816159214,10.160499095916748,1.2750070474998698,1.42
PI533751,2.0,13.55978360720048,10.4195440525597,11.18111809094747,2.4436066514756147,4.44
PI533752,2.0,14.211708414154243,10.22331183912395,11.308773040771484,1.9572955490457613,2.883333333333333
PI533753,2.0,21.753115934677123,16.690050883140945,17.630950927734375,0.9927684307689242,0.99
PI533754,2.0,9.47159661650381,6.295504167788533,7.081912676493327,2.0646529583422537,3.1833333333333336
PI533756,2.0,9.355588589710262,5.794101846568873,6.427290201187134,2.6484654430273142,5.27
PI533757,2.0,12.737282398115422,9.330546787853969,10.339885902404784,2.4453735776498027,4.446666666666666
PI533758,0.0,15.852738836357252,12.554989660039846,13.43073272705078,2.991559637199347,6.953333333333333
PI533759,2.0,10.834939784636248,8.891333699776155,9.04476761817932,2.013164459198448,3.0366666666666666
PI533760,0.0,11.298688526502753,8.376926213313348,9.11736183166504,2.7865963618908065,5.8999999999999995
PI533761,2.0,20.573552171838543,15.417960456456225,16.47431468963623,2.543495883425772,4.83
