gene_id,start,mean_TPM,n,effect_log2_per_alt,p,note
Sobic.004G057400,4662661,12.804,750,-0.0053393711072826575,0.8306495106359466,
Sobic.004G057500,4671926,1.535,750,-0.08146804566591748,0.2204984031142118,
Sobic.004G057700,4695914,0.423,750,-0.0331114025844866,0.34397300267210074,
Sobic.004G057800,4706500,10.211,750,-0.015157313606432367,0.669795960026746,
Sobic.004G057900,4709686,17.894,750,-0.11810747341045177,0.10368606674498616,
Sobic.004G058000,4723073,5.586,750,-0.2004620546753279,0.0017827946008087425,
Sobic.004G058050,4728033,1.412,750,0.06203801085186208,0.07939500730200433,
Sobic.004G058100,4737582,0.958,750,-0.09659358398044499,0.15688978170022327,
Sobic.004G058200,4739840,69.431,750,0.03977456056689653,0.3577906527699577,
Sobic.004G058300,4744913,0.284,750,-0.014901570808601314,0.5275872970323663,
Sobic.004G058400,4748070,23.308,750,0.06421694378770448,0.0715011784318301,
Sobic.004G058500,4752277,29.073,750,-0.032480895376496295,0.5422911354018238,
Sobic.004G058600,4757346,38.89,750,-0.08401902010187737,0.07154385497148337,
Sobic.004G058700,4774061,11.672,750,0.04650579602509306,0.15727285601949284,
Sobic.004G058800,4789596,0.005,750,-0.0004956577225501098,0.8925778940598683,
