gene_id,start,mean_TPM,n,effect_log2_per_alt,p,note
Sobic.004G230650,60540547,0.007,750,-0.0028371178120726193,0.328894857170824,
Sobic.004G230700,60542637,0.338,750,-0.02771091320995822,0.2866554864990182,
Sobic.004G230800,60549055,0.733,750,-0.27757559493660555,1.3158076253704281e-12,
Sobic.004G230900,60551055,1.568,750,-0.06814863891501634,0.07099348947914887,
Sobic.004G231200,60565907,1.028,750,-0.011023638051373748,0.35475654173921956,
Sobic.004G231300,60575887,3.946,750,0.013382988666565857,0.742124836996529,
Sobic.004G231350,60591295,0.056,750,-0.016534071785813037,0.03185437511940422,
Sobic.004G231400,60594460,55.742,750,-0.0810003171429594,4.238982919506975e-06,
Sobic.004G231502,60596659,17.087,750,-0.16497017958076637,2.426909245054537e-07,
Sobic.004G231600,60599311,3.464,750,-0.00604176674129242,0.8400538629630812,
Sobic.004G231700,60619877,1.071,750,-0.05997921355713558,0.10249221139663854,
Sobic.004G231800,60629432,136.217,750,0.03000208175419088,0.5415487573480936,
Sobic.004G231850,60635114,2.59,750,0.21979974841447422,0.00101951148397373,
