genotype,b_mean,a_mean,L_mean,b_sd,L_sd,gloss,leaf_area_img,mask_pixels_img,mask_pixels_blue
BTx643,12.27669448852539,-7.018418502807617,24.6379623413086,3.1526889324188234,7.743123531341553,0.0632937671248395,3695842.8,3695842.8,3868874.246669932
BTx645,11.46242380142212,-5.49849804242452,24.11512279510498,2.882133920987448,7.27739159266154,0.0628094876578204,4463905.333333333,4463905.333333333,4180992.922591109
Fill(Exclude),,,,,,,3882169.82,3882169.82,3916338.1686263257
PI152651,16.44323952992757,-5.747410456339519,22.84112040201823,2.6207865675290427,8.472469568252563,0.0532194137425026,2469451.4,2469451.4,2452561.2360285465
PI153844,8.43765115737915,-6.439189434051514,22.240874926249187,2.048478364944458,7.692151069641113,0.0469751761324007,3116726.0,3116726.0,3235451.5605391944
PI153846,11.609482628958563,-7.00482668195452,23.612742287772043,3.683338131223406,9.122788429260254,0.0559798866091853,2947925.4615384615,2947925.4615384615,3132659.961045776
PI153852,12.416367769241331,-5.911882281303406,22.67184591293335,2.3650118112564087,8.968777894973755,0.0531779032995152,3148494.6666666665,3148494.6666666665,3039732.7618399286
PI156549,,,,,,,,,
PI17548,,,,,,,,,
PI22326,14.365267753601074,-6.294020891189575,24.07277107238769,2.989059567451477,9.7816162109375,0.0623225711423075,3745463.0,3745463.0,3905747.487438103
PI24969,11.095729064941406,-8.607993793487548,24.807815933227538,3.009207820892334,6.759716606140136,0.0501626708612576,2457159.3333333335,2457159.3333333335,2571328.1453468665
PI276837,17.90181763966878,-12.35338830947876,25.447689692179363,3.1243103742599487,7.505628188451131,0.0485241019759413,3602841.909090909,3602841.909090909,3933084.750017568
PI329435,19.31432342529297,-8.047574520111084,22.719544728597004,4.803645769755046,9.49768098195394,0.0568694180238381,4421738.666666667,4421738.666666667,4528027.292786149
PI329440,10.831428951687284,-5.106948680347866,24.14662128024631,2.761091073354085,8.042613294389513,0.0601459324987155,3147628.705882353,3147628.705882353,3322884.48982238
PI34911,12.982765515645346,-10.40575917561849,24.688342412312824,3.1929474671681723,8.804810523986816,0.0513994645845908,3901628.3333333335,3901628.3333333335,4061912.820771437
PI35038,12.86020310719808,-7.683600266774495,23.985870997111004,3.1204991340637207,7.867599487304687,0.0518291784562771,3533676.5,3533676.5,3576045.420680208
PI48770,10.377748092015583,-5.362576246261597,24.49679374694824,2.324949264526367,8.167207400004068,0.0388376872905296,4181253.4285714286,4181253.4285714286,4223688.941952777
PI533745,18.18442217508952,-6.010316371917725,21.958170572916668,3.254650990168253,9.75158723195394,0.0613159552739495,2668708.6666666665,2668708.6666666665,2325368.603960921
PI533746,8.92249345779419,-2.248011827468872,22.872597694396973,2.375731945037842,7.51313042640686,0.0515355006459874,,,
PI533747,10.446301698684692,-4.106365884343783,24.3150847752889,3.504216949144999,10.689523379007976,0.0470219231472077,2750091.6666666665,2750091.6666666665,3184693.355442982
PI533749,10.163565476735434,-5.040384570757548,23.599846839904785,2.370970288912455,9.349764426549276,0.0528295928972409,3670616.0,3670616.0,3924893.783311828
PI533750,,,,,,,4673775.0,4673775.0,4559844.596241353
PI533751,11.18096955617269,-6.226953268051148,25.08250904083252,2.883074919382731,9.569398085276283,0.058945779873685,4235544.222222222,4235544.222222222,4315435.8247377295
PI533752,11.258443117141724,-3.839744071165721,24.705454508463543,3.60898494720459,9.191150506337484,0.0578384960229334,4231203.714285715,4231203.714285715,4183064.161353165
PI533753,17.611064910888675,-7.095805009206136,21.47423998514812,3.61538831392924,9.193145434061686,0.0552102838880399,3023137.0,3023137.0,2679796.9372942545
PI533754,7.09196122487386,-4.851947625478108,23.636611302693684,2.8821518421173096,8.10158109664917,0.0662298471818313,3774393.5,3774393.5,3440495.898343705
PI533755,15.007787307103476,-6.111571391423543,23.54250208536784,3.481857736905416,10.524612267812094,0.0654730366954118,3021177.1666666665,3021177.1666666665,3050737.01029332
PI533756,6.421578407287598,-4.43102011680603,24.11764030456543,2.410090494155884,8.182491493225097,0.0444899298469311,3959375.25,3959375.25,4245249.4013096895
PI533757,10.335900497436525,-9.042188930511475,24.817203903198244,2.804999732971192,7.167682838439942,0.0525283115122236,4749354.6,4749354.6,4839704.494596654
PI533758,13.440982341766356,-4.031742811203003,24.42612870534261,2.8919905026753745,9.656795978546144,0.0730445104819138,4213914.777777778,4213914.777777778,4368123.977602648
PI533759,9.03165078163147,-5.651471495628357,24.036536693573,2.2986437678337097,7.268531799316406,0.0422321415457192,3962459.714285714,3962459.714285714,4436768.150394924
PI533760,9.117278957366944,-7.43777379989624,24.82259521484375,2.9141592264175413,7.619961929321289,0.0426543810912734,3354058.222222222,3354058.222222222,3667052.607178196
PI533761,16.446467399597168,-5.903276910384496,23.888825098673504,3.5302249590555825,10.850056012471518,0.0621175237979404,4408965.181818182,4408965.181818182,4385157.764912936
PI533762,9.679047584533691,-6.01163403193156,24.591203689575195,2.7338139613469443,10.333045482635498,0.0575303651303933,3432560.4,3432560.4,3667559.639814728
PI533763,11.752196272214254,-3.156580403447151,22.297611872355144,3.741342087586721,8.953447580337524,0.0574015949196861,2792561.6,2792561.6,2494823.541028132
PI533764,12.370397885640465,-4.449381669362386,22.30568790435791,2.2962513168652854,9.884512424468994,0.0634612515499802,2421639.8333333335,2421639.8333333335,2462116.7817083057
PI533765,11.384920120239258,-7.113307634989421,23.439737955729168,2.326971093813578,9.236651420593262,0.0533819105490742,2922005.6666666665,2922005.6666666665,2989057.316952777
PI533766,11.988172133763632,-7.079673608144124,22.13286018371582,2.837830662727356,8.067325194676718,0.0539694343097527,3208102.5454545454,3208102.5454545454,3117927.3354407446
PI533767,,,,,,,3196756.3333333335,3196756.3333333335,2984720.730191396
PI533768,8.789415995279947,-7.199100017547607,25.107994079589844,2.687776565551758,7.522666613260905,0.0555553349887219,3846615.75,3846615.75,3765884.60642187
PI533769,17.11701250076294,-9.570393741130829,24.44674825668335,3.504473805427552,9.51856815814972,0.0554674057046887,3628663.076923077,3628663.076923077,3613249.190545824
PI533770,8.39648405710856,-2.775219187140465,22.66863187154134,2.848084012667338,8.859453360239664,0.0594772230245405,3221432.6666666665,3221432.6666666665,3184156.718572293
PI533771,12.55380153656006,-5.833043575286865,23.550474802653,2.569421529769897,10.632768472035728,0.0640391274051555,2761677.125,2761677.125,2837957.4392954702
PI533772,6.875053024291992,-4.512612199783325,22.736641693115235,2.11366491317749,8.270198917388916,0.0566513806818341,2672004.2,2672004.2,2732532.811574742
PI533773,,,,,,,3302189.75,3302189.75,3320811.275152977
