gene_id,start,mean_TPM,n,effect_log2_per_alt,p,note
Sobic.006G223900,58418211,0.078,750,-0.0008119231016742048,0.9363209781066074,
Sobic.006G224000,58423232,0.709,750,-0.10593039745985619,0.04949779998308739,
Sobic.006G224100,58426099,4.221,750,0.06638642927993975,0.0335446002271849,
Sobic.006G224200,58435736,0.145,750,-0.0008777171956399332,0.9708397938613548,
Sobic.006G224300,58438497,2.002,750,0.032099182785544134,0.2657003262648156,
Sobic.006G224400,58441511,0.256,750,0.031240872323725973,0.25513999896814266,
Sobic.006G224500,58446620,0.017,750,-0.00402456075312035,0.46729896583756614,
Sobic.006G224600,58450241,0.324,750,-0.07107202591397245,0.0027007003492011627,
Sobic.006G224800,58454908,5.742,750,-0.03121569182605481,0.2926548934320699,
Sobic.006G225000,58469159,0.026,750,-0.003849756382313448,0.42287495692559174,
Sobic.006G225100,58472653,1.317,750,-0.05300677777176394,0.05537403988807531,
Sobic.006G225200,58479033,88.94,750,0.10149923774599891,0.30386359482033415,
Sobic.006G225300,58491481,62.584,750,0.0845712796295188,0.009838066228243635,
Sobic.006G225400,58495699,4.84,750,0.12401274473848715,0.021952857288091963,
Sobic.006G225500,58502259,0.162,750,-0.10611364905209623,0.00037071422791237866,
Sobic.006G225550,58503290,0.009,750,0.0024496153375325887,0.5197154329204532,
Sobic.006G225600,58506928,42.056,750,0.03216387858249788,0.3912297413155539,
Sobic.006G225700,58515362,1.457,750,0.7000929530914276,1.4266208194849778e-24,
Sobic.006G225750,58527629,0.281,750,-0.02332628789400982,0.48491917380421634,
Sobic.006G225800,58529217,1.426,750,-0.56898958918604,1.8067657262150465e-31,
Sobic.006G225900,58535357,10.742,750,0.17632077411289476,9.126092276342272e-05,
Sobic.006G226000,58542228,0.502,750,-0.12042927307929832,0.009890968428102886,
Sobic.006G226100,58544065,96.094,750,-0.2991323466966744,2.4096385800764997e-11,
Sobic.006G226200,58550552,6.716,750,-0.66913512872175,2.616589234240715e-21,
Sobic.006G226300,58559630,13.101,750,0.05474448726062196,0.13118614295634007,
Sobic.006G226400,58564802,5.771,750,0.03387760983500087,0.724871243786843,
Sobic.006G226700,58576538,6.184,750,0.4493844873108867,4.725798995879447e-11,
Sobic.006G226800,58582314,2.028,750,-0.3946366199307245,0.0001195080199092017,
Sobic.006G226900,58586802,8.492,750,0.4509849481794098,2.7670816698950716e-14,
Sobic.006G227000,58591359,24.397,750,0.033570544114480266,0.8586356768653116,
Sobic.006G227100,58604809,0.797,750,-0.020233800547927356,0.7572973985067375,
Sobic.006G227200,58609242,0.813,750,-0.12265287961340143,0.023481473417742975,
Sobic.006G227250,58612686,3.73,750,-0.9404723681072878,3.4886967654077445e-21,
Sobic.006G227300,58616323,5.897,750,-1.2125459891486126,5.15284054588874e-35,
