gene_id,start,mean_TPM,n,effect_log2_per_alt,p,note
Sobic.009G249100,62236066,36.884,750,0.030013075134623136,0.5123885161280406,
Sobic.009G249200,62253093,24.454,750,-0.017647141778383682,0.4731216341976221,
Sobic.009G249400,62263243,0.069,750,-0.004585287865060603,0.6098366815339384,
Sobic.009G249500,62266072,101.499,750,-0.0995883966627073,0.010917255377921245,
Sobic.009G249600,62274496,55.574,750,0.2668853683703393,0.020244113688588,
Sobic.009G249700,62290262,8.563,750,-0.0659657564064387,0.03023419640198342,
Sobic.009G249800,62301245,12.815,750,0.01892029236061652,0.663151746071589,
Sobic.009G249900,62325155,41.761,750,-0.17114773689134136,8.713701281751039e-07,
Sobic.009G250000,62331747,4.012,750,-0.02485354061220632,0.516369840242969,
Sobic.009G250100,62343576,0.664,750,0.017679227190820577,0.748857763343803,
Sobic.009G250200,62349111,0.078,750,0.014908817712301365,0.2696808690679192,
Sobic.009G250300,62355175,0.002,750,-0.0010121723411201731,0.42921578070598343,
Sobic.009G250400,62373942,184.392,750,-0.010155165243127678,0.9043417223302322,
Sobic.009G250500,62377854,0.185,750,0.036507742218270384,0.09030436191442211,
Sobic.009G250600,62379821,0.012,750,0.01610947075568451,0.007715923262469099,
Sobic.009G250650,62380604,0.039,750,-0.003560190343987796,0.7429612781467806,
Sobic.009G250700,62383850,1.989,750,0.05602068183702095,0.31955043531785265,
Sobic.009G250800,62386827,4.167,750,-0.1110785991229252,0.04139978794717934,
Sobic.009G250900,62391709,37.753,750,0.014815021751949516,0.6712664597332525,
Sobic.009G251000,62399542,13.923,750,-0.037976644717654745,0.42957614269913424,
Sobic.009G251100,62402346,1.546,750,0.06808737268994909,0.33058314127222677,
Sobic.009G251200,62428208,10.099,750,0.011455940448148384,0.7184550171813868,
Sobic.009G251300,62431311,22.808,750,-0.00995936321110362,0.7982738581950296,
Sobic.009G251400,62442909,2.647,750,-0.000754596404249499,0.992732901244543,
