gene_id,disease_exg_partial_r,human_score_partial_r,disease_exg_partial_p,human_score_partial_p
Sobic.009G249100,-0.012797228218625917,-0.03203217164456797,0.7280027670979915,0.38391294011543764
Sobic.009G249200,0.02016143741745771,0.0001980280695994928,0.5837262299559658,0.9957062176835915
Sobic.009G249400,-0.00924988424948035,-0.01196763250546092,0.8015247290615087,0.7450021888392521
Sobic.009G249500,0.03808919054799963,0.0006368805194365017,0.3004526390207671,0.9861913351603383
Sobic.009G249600,0.11049057185435339,0.05941920074672348,0.002596631869637401,0.10605836149367216
Sobic.009G249700,0.05445264734601252,0.02466077308942557,0.13864146513711847,0.5026874005223438
Sobic.009G249800,0.016571543252447998,0.01049742411713477,0.6524447019370324,0.7754302964322148
Sobic.009G249900,-0.07504594754511215,-0.007280325283199384,0.04112365068529458,0.8431639275893699
Sobic.009G250000,-0.045359951556002184,-0.0608463316135312,0.21746093467797245,0.09791341494507565
Sobic.009G250100,-0.06938850893174081,0.008601447785565803,0.05903486138153179,0.8151777014312102
Sobic.009G250200,-0.08891392074179513,-0.017854994692599723,0.01547513399849153,0.6274957669069741
Sobic.009G250300,-0.03612904169572589,-0.012182810107264548,0.32603070584194876,0.7405806347138019
Sobic.009G250400,0.06854577370658291,0.020041835393180323,0.06218842224662785,0.5859606941669591
Sobic.009G250500,0.06513259648023574,0.02520746689463377,0.07641390304998415,0.4932613572681216
Sobic.009G250600,0.02170908050531034,0.027806449363448005,0.5551761659547026,0.44977127236928666
Sobic.009G250650,0.06284894011299921,0.07078298687695944,0.08733376940100461,0.05410820516362246
Sobic.009G250700,-0.12116633099847696,-0.053348607108609176,0.0009500267713774853,0.14683532889187229
Sobic.009G250800,-0.1288438710090653,-0.056290394363639196,0.00043802887403109975,0.12578775810334097
Sobic.009G250900,0.08868140491319475,0.02938371167207713,0.015747824639010203,0.424472860058252
Sobic.009G251000,-0.13642316557218365,-0.08014578764161619,0.00019548850672917477,0.02914640161527822
Sobic.009G251100,-0.06338465821200658,0.007147728668655876,0.08466543942397883,0.8459843791964031
Sobic.009G251200,-0.03081032061527576,0.012663658311918546,0.40232260672016434,0.7307310243757534
Sobic.009G251300,-0.07765545832609325,-0.05638357449149076,0.034557371280161536,0.1251615840774807
Sobic.009G251400,-0.06948560295058803,0.0008808559094869697,0.058680194751821256,0.9809023977694304
