gene_id,start,mean_TPM,n,effect_log2_per_alt,p,note
Sobic.009G229100,60788509,0.934,750,-0.06120261863121835,0.006376633823330238,
Sobic.009G229150,60790089,0.047,750,-0.0058439625915729055,0.09033414277598062,
Sobic.009G229200,60794812,17.298,750,0.05858759317030901,0.00013916824605653588,
Sobic.009G229300,60817174,11.309,750,-0.030160387857917914,0.26938622154234226,
Sobic.009G229400,60823297,32.907,750,-0.0829444332060394,0.005341790896721545,
Sobic.009G229500,60826440,0.093,750,0.003949692932911493,0.6149322112602589,
Sobic.009G229600,60826850,11.433,750,-0.06710666182280459,8.760310341558815e-05,
Sobic.009G229650,60835565,1.521,750,-0.02715406723412181,0.34835977837165755,
Sobic.009G229700,60836501,6096.591,750,0.05386756680786681,0.08112169287139376,
Sobic.009G229801,60841561,5.775,750,0.1860952709520444,2.6764512296137667e-28,
Sobic.009G229900,60845973,0.317,750,-0.026814464257790268,0.004567231315427811,
Sobic.009G230000,60849815,0.369,750,-0.0037341840954041093,0.79299928475959,
Sobic.009G230100,60851365,23.102,750,-0.37675108724959616,3.152453625048093e-33,
Sobic.009G230200,60857262,0.195,750,-0.030878982776089917,0.0005882773803242803,
Sobic.009G230400,60861467,1.024,750,-0.0915646626521015,0.0006904026782849244,
Sobic.009G230500,60865038,12.834,750,0.1510818363655987,4.546499811393142e-10,
Sobic.009G230650,60872172,0.028,750,-0.004134893310212973,0.19651723970707385,
Sobic.009G230700,60875387,16.992,750,-0.024248329101988823,0.02500362442822778,
Sobic.009G230800,60894509,0.037,750,0.0037056431358587125,0.2073173572867631,
Sobic.009G230900,60908793,0.334,750,-0.008260037143670835,0.712817144465151,
Sobic.009G231000,60913333,0.001,750,0.002219653267335648,0.01450000285761575,
Sobic.009G231100,60916369,21.227,750,-0.12548747739340832,6.455769538437381e-12,
Sobic.009G231200,60922559,43.042,750,-0.05016881067541513,0.14221351913938735,
Sobic.009G231300,60927646,264.002,750,-0.06147078461534515,0.06595300955758218,
Sobic.009G231400,60932612,56.409,750,-0.12995108604558608,0.0030557290305521507,
