environment,genotype,embedding_mean_30,embedding_std_897
Nebraska2025,BTx643,-0.19706744792919392,0.8066281003903046
Nebraska2025,BTx645,-0.21074883891068452,0.8248717012594122
Nebraska2025,Fill(Exclude),-0.18257186114811855,0.8175174480520175
Nebraska2025,PI152651,-0.09281511538520902,0.826378180076527
Nebraska2025,PI153844,-0.13532117228985902,0.8627862696448789
Nebraska2025,PI153846,-0.19324318229058485,0.8310028401013633
Nebraska2025,PI153852,-0.05361754440300959,0.8614022927532996
Nebraska2025,PI22326,-0.0762828770229507,0.8419369834642171
Nebraska2025,PI24969,-0.1289891824045884,0.8542530586661926
Nebraska2025,PI276837,-0.1141601504162027,0.8295012099782721
Nebraska2025,PI329435,-0.23418998242792505,0.7968936725514285
Nebraska2025,PI329440,-0.18341313625623584,0.8477232769910172
Nebraska2025,PI34911,-0.09710203833636478,0.8805175196188384
Nebraska2025,PI35038,-0.23188832420259872,0.8243965260553586
Nebraska2025,PI48770,-0.10719227157185766,0.8457720405242695
Nebraska2025,PI533745,-0.1218429438711277,0.8189940766688867
Nebraska2025,PI533747,-0.258395815399154,0.8408714404016268
Nebraska2025,PI533749,-0.16948014853176724,0.8802405816360259
Nebraska2025,PI533750,-0.22533624578480788,0.8128430531192384
Nebraska2025,PI533751,-0.19367568235818497,0.8160394811566537
Nebraska2025,PI533752,-0.23540213950321104,0.7952960155644108
Nebraska2025,PI533753,-0.15899442045884044,0.8540961710655183
Nebraska2025,PI533754,-0.21113757815781956,0.8590983238133634
Nebraska2025,PI533755,-0.05955103415090271,0.8284417438221034
Nebraska2025,PI533756,-0.20965154518378967,0.8356294661056192
Nebraska2025,PI533757,-0.10111619450280908,0.8545585868644806
Nebraska2025,PI533758,-0.22007424511153031,0.8453696442308559
Nebraska2025,PI533759,-0.12279015184986412,0.837741657672792
Nebraska2025,PI533760,-0.269819794226294,0.8333755662037413
Nebraska2025,PI533761,-0.13661359174904666,0.8246187965339105
Nebraska2025,PI533762,-0.15033156310982315,0.885250538240962
Nebraska2025,PI533763,-0.12296815553092828,0.8506472892037382
Nebraska2025,PI533764,-0.1448147929001082,0.8540623729799672
Nebraska2025,PI533765,-0.1366139573776341,0.8706052341665934
Nebraska2025,PI533766,-0.1056397910322796,0.8556179999953779
Nebraska2025,PI533767,-0.04442916896009971,0.8590575564533174
Nebraska2025,PI533768,-0.15343276269465445,0.8624369014428112
Nebraska2025,PI533769,-0.04504747577769477,0.8412667070438657
Nebraska2025,PI533770,-0.09366448324496712,0.839818362632131
Nebraska2025,PI533771,0.03639819713798362,0.8702377549690105
Nebraska2025,PI533772,-0.11959527343366048,0.863527238064409
Nebraska2025,PI533773,-0.08934065529612192,0.8625398971816501
Nebraska2025,PI533774,-0.13263376491540324,0.8124442505076733
Nebraska2025,PI533775,-0.11472483875806842,0.8465253295939703
Nebraska2025,PI533776,-0.10132091456378206,0.8728881181467356
Nebraska2025,PI533777,-0.15465240242257097,0.8489713953196281
Nebraska2025,PI533778,-0.09443574885201372,0.8341623731383715
Nebraska2025,PI533779,-0.18001296357325489,0.8486222664350739
Nebraska2025,PI533780,-0.12475936907738969,0.8517665970198046
Nebraska2025,PI533781,-0.13744590740698776,0.8262597214841959
Nebraska2025,PI533782,-0.11171362675560104,0.8113849722043998
Nebraska2025,PI533783,-0.09506405965763712,0.8750799034051215
Nebraska2025,PI533784,-0.1410347339734509,0.9226325077901883
Nebraska2025,PI533785,0.03793354082346772,0.876143659801549
Nebraska2025,PI533786,-0.11182418417238746,0.8542478323872114
Nebraska2025,PI533787,-0.07846523505493314,0.8975973980930381
Nebraska2025,PI533788,-0.055476538186956303,0.8832271705217998
Nebraska2025,PI533789,0.04568333990819887,0.9007535970181736
Nebraska2025,PI533790,-0.12936493294773432,0.864988695680268
Nebraska2025,PI533791,-0.12483955621353623,0.9084341045894307
Nebraska2025,PI533792,0.00569977486168535,0.9182054249050764
Nebraska2025,PI533793,-0.00733792257307414,0.8427091033507541
Nebraska2025,PI533794,-0.13436525810475297,0.8168992378114808
Nebraska2025,PI533795,0.01336427351392355,0.8579458439681859
Nebraska2025,PI533796,-0.26900704057775254,0.832205924572219
Nebraska2025,PI533797,0.00517458124665504,0.8612976891421036
Nebraska2025,PI533798,-0.15103626057748337,0.8402490336805347
Nebraska2025,PI533799,-0.1764284388394802,0.8109220222632043
Nebraska2025,PI533800,-0.14875691567119242,0.8395481834410606
Nebraska2025,PI533801,-0.22970516264342045,0.8546336836827472
Nebraska2025,PI533802,-0.26761968479959936,0.8324079948376606
Nebraska2025,PI533803,-0.1483438788452562,0.8641744923817837
Nebraska2025,PI533804,0.01753874261452553,0.8418339604592099
Nebraska2025,PI533805,-0.2010853195486433,0.8295159945679257
Nebraska2025,PI533807,-0.14195210986795964,0.8507712214201579
Nebraska2025,PI533808,-0.07127996337569212,0.8930878569771925
Nebraska2025,PI533809,-0.17570609710185878,0.8503987408480991
Nebraska2025,PI533810,-0.24637635188992343,0.8644695476717783
Nebraska2025,PI533811,-0.14522918277014704,0.8332795531182959
Nebraska2025,PI533812,-0.09450592123867106,0.8507068359595049
Nebraska2025,PI533813,-0.1943517277399409,0.814775417710633
Nebraska2025,PI533814,-0.2011710702298928,0.8433150540186737
Nebraska2025,PI533815,-0.23161223126297545,0.8379590807012467
Nebraska2025,PI533816,-0.226029715471965,0.8250168863651542
Nebraska2025,PI533817,-0.17278776166728074,0.8856873495331065
Nebraska2025,PI533818,-0.14085714290570003,0.8383325830022376
Nebraska2025,PI533819,-0.1437817912823603,0.8612215304377037
Nebraska2025,PI533820,-0.14414800944211714,0.8467281376415023
Nebraska2025,PI533821,-0.01687439923326314,0.918956700446924
Nebraska2025,PI533822,0.00163620057940253,0.8936782684720799
Nebraska2025,PI533823,-0.24584944652219523,0.8652611087208526
Nebraska2025,PI533824,-0.05116653235347709,0.8671797350215834
Nebraska2025,PI533825,-0.11597641498353704,0.8444224495175356
Nebraska2025,PI533827,-0.12460646142883074,0.8193469455380924
Nebraska2025,PI533828,-0.16476709325967903,0.8356381862298308
Nebraska2025,PI533829,-0.10621682505442497,0.846451027832525
Nebraska2025,PI533830,-0.1051403094428624,0.8375873745233453
Nebraska2025,PI533831,-0.07675980709396976,0.8241906841754457
Nebraska2025,PI533832,-0.10584462345455756,0.8395034897233161
Nebraska2025,PI533833,-0.17589329973724832,0.8313105940867853
Nebraska2025,PI533834,0.02208495504894059,0.8623713875720244
