genotype,gloss
BTx643,0.0632937671248395
BTx645,0.0628094876578204
PI152651,0.0532194137425026
PI153844,0.0469751761324007
PI153846,0.0559798866091853
PI156549,NA
PI17548,NA
PI22326,0.0623225711423075
PI24969,0.0501626708612576
PI276837,0.0485241019759413
PI329435,0.0568694180238381
PI329440,0.0601459324987155
PI34911,0.0513994645845908
PI35038,0.0518291784562771
PI48770,0.0388376872905296
PI533745,0.0613159552739495
PI533746,0.0515355006459874
PI533747,0.0470219231472077
PI533749,0.0528295928972409
PI533751,0.058945779873685
PI533752,0.0578384960229334
PI533753,0.0552102838880399
PI533754,0.0662298471818313
PI533756,0.0444899298469311
PI533757,0.0525283115122236
PI533758,0.0730445104819138
PI533759,0.0422321415457192
PI533760,0.0426543810912734
PI533761,0.0621175237979404
PI533762,0.0575303651303933
PI533763,0.0574015949196861
PI533764,0.0634612515499802
PI533765,0.0533819105490742
PI533766,0.0539694343097527
PI533768,0.0555553349887219
PI533769,0.0554674057046887
PI533770,0.0594772230245405
PI533771,0.0640391274051555
PI533774,0.0578777860224445
PI533776,0.068027263451584
PI533777,0.0516980856438911
PI533778,0.0598669355202158
PI533779,0.0465720625372789
PI533781,0.0586105024547845
PI533782,0.0457665123477441
PI533783,0.0630890124676778
PI533784,0.0516989308094339
PI533785,0.0663669583719415
PI533786,0.0492324375555502
PI533787,0.0556360964848238
PI533788,0.0503934747618491
PI533789,0.051210048135466
PI533790,0.0546190966573465
PI533791,0.0641474216735472
PI533792,0.0491040416335208
PI533793,0.0420111102901769
PI533794,0.0597263045288409
PI533795,0.0540269639416468
PI533797,0.0603423982476662
PI533798,0.0586112307271967
PI533799,0.0612190542848918
PI533800,0.068452885449006
PI533802,0.0529337845156937
PI533803,0.069782677901955
PI533804,0.0613421540615005
PI533807,0.0640309669197075
PI533808,0.061691420962315
PI533809,0.049460651271202
PI533810,0.0481961764478252
PI533811,0.0418460875511049
PI533812,0.0550537578196496
PI533813,0.0522939130955552
PI533814,0.0511635375889657
PI533816,0.050939784299526
PI533818,0.0727817330026118
PI533819,0.0573070763358478
PI533820,0.0625135664315674
PI533821,0.0575086600037487
PI533822,0.0518857334681516
PI533823,0.0669504436268878
PI533824,0.0447952603039828
PI533825,0.0427868517099463
PI533828,0.0646454176078932
PI533829,0.0548307002089176
PI533830,0.07025870665154
PI533831,0.0442992853607343
PI533832,0.0647892876665362
PI533833,0.0575473634080746
PI533834,0.0460032179666189
PI533835,0.0487056842419742
PI533836,0.0596158903294436
PI533837,0.066158208559105
PI533838,0.0793483109554934
PI533839,0.0552789958809682
PI533840,0.0567696383383166
PI533841,0.055280663619615
PI533842,0.0489240685630076
PI533844,0.0568785479242489
PI533846,0.0475987012112057
PI533847,0.0605418076091174
PI533848,0.0668401933936136
PI533849,0.0484326027594226
PI533850,0.0512619629357605
PI533851,0.0547211898814377
PI533853,0.0648826231868409
PI533855,0.0514564970298378
PI533856,0.0624376678007077
PI533857,0.0463185114755811
PI533858,0.0530125082555481
PI533860,0.0623334729641527
PI533861,0.0455475647343694
PI533862,0.07212231182253
PI533863,0.0618994974003374
PI533864,0.0607934566149009
PI533867,0.0558073766900194
PI533869,0.0645610454505059
PI533870,0.0533243034879956
PI533871,0.0512368840584166
PI533872,0.062399189956737
PI533873,0.0603895522569409
PI533874,0.0630981020061713
PI533876,0.0649078008208579
PI533877,0.0538252122995758
PI533878,0.0603576928930532
PI533879,0.0587405415581456
PI533880,0.065961793377747
PI533881,0.0649045021733526
PI533882,0.0607161276780377
PI533884,0.0645101021445046
PI533885,0.0730686424427206
PI533887,0.0629256093182061
PI533888,0.0535362003818865
PI533893,0.05885714918521
PI533894,0.0652547821824948
PI533895,0.0610306150631185
PI533897,0.0536556793837382
PI533898,0.0757332965754055
PI533899,0.0600605606822533
PI533900,0.0617228675867249
PI533901,NA
PI533902,0.0526596900591135
PI533903,0.0580538593069843
PI533904,0.0424930155471287
PI533905,0.05878666122276
PI533906,0.0632485071948944
PI533907,0.0608319224250484
PI533908,0.0599637603461914
PI533909,0.0665813728195275
PI533910,0.0504940362117603
PI533911,0.061406275224885
PI533912,0.0438688791401016
PI533913,0.0632677884038529
PI533914,0.0580192113554232
PI533915,0.0578619335635119
PI533916,0.0662599276491486
PI533917,0.0672360027452474
PI533918,0.0456092586809352
PI533919,0.0541403466563927
PI533920,0.0521697576345724
PI533921,0.0570832490399528
PI533922,0.0572166946615728
PI533923,0.0693474808624667
PI533924,0.0584487032699646
PI533925,0.0456553528599815
PI533927,NA
PI533928,0.0441297039659524
PI533929,0.0641304506264007
PI533930,0.0589992267481748
PI533931,0.0574740933550917
PI533932,0.0485925564535879
PI533934,0.0559302210449934
PI533935,0.0552829033687688
PI533936,0.0575669919499211
