genotype,human_score_blue
BTx643,1.4684134175749546
BTx645,1.6956639607837762
Fill(Exclude),1.9142963682408265
PI152651,2.6925924023896877
PI153844,2.161457235678156
PI153846,2.417915735646908
PI153852,2.1168070821146516
PI22326,2.293834381914592
PI24969,1.9979541990483445
PI276837,1.6606054443635407
PI329435,1.3627660628268723
PI329440,2.1712173115676476
PI34911,2.9718791848157142
PI35038,2.075740080851015
PI48770,2.559614836648543
PI533745,2.2615352963324007
PI533746,2.4927070494545687
PI533747,1.9868959038569416
PI533749,2.169662480500096
PI533750,1.2701782075865364
PI533751,1.961262746913394
PI533752,1.8731287222106408
PI533753,2.63312079352799
PI533754,2.185851570394507
PI533755,2.1025260712594367
PI533756,2.089762375443027
PI533757,2.0680297593383616
PI533758,2.478922707600901
PI533759,2.110223209318998
PI533760,1.4874812862070597
PI533761,1.8373335601720089
PI533762,2.3815789460093235
PI533763,3.038925388226795
PI533764,2.6057973776770895
PI533765,3.167864541578527
PI533766,2.2012720526774103
PI533767,2.4808534772871846
PI533768,1.820898849453401
PI533769,2.7513701816537344
PI533770,2.603187997733234
PI533771,3.2803656246836983
PI533772,2.516834902770496
PI533773,2.3675220043019607
PI533774,1.9676851534124205
PI533775,3.00758137173342
PI533776,2.7863726327550893
PI533777,2.969534595390108
PI533778,2.9345687359129853
PI533779,2.324525793529236
PI533780,2.5650691213937944
PI533781,2.5888935205531176
PI533782,2.622002775661974
PI533783,2.6042508239365727
PI533784,2.8889072168181977
PI533785,2.639875264415893
PI533786,2.347527733602961
PI533787,2.540488328661779
PI533788,2.9211562765664745
PI533789,2.397537075462509
PI533790,3.1681735773417827
PI533791,3.287244452315665
PI533792,2.885475537171703
PI533793,1.558980658963099
PI533794,1.8918780101804809
PI533795,3.439021964081337
PI533796,2.402510740039415
PI533797,2.26539495235444
PI533798,1.8864957294484264
PI533799,2.180638508105364
PI533800,1.9557939547971297
PI533801,2.1480133442624747
PI533802,1.21852603443383
PI533803,2.8105891803331766
PI533804,3.2513705169144913
PI533805,2.364013789522367
PI533807,2.268575613621681
PI533808,2.968247672229005
PI533809,2.542155611978417
PI533810,2.179967543562335
PI533811,2.7301966073688475
PI533812,2.1939025507071204
PI533813,1.5188623687332046
PI533814,1.4076708145312562
PI533815,2.6337053964382804
PI533816,2.2753182691017826
PI533817,2.803616728562581
PI533818,2.674977143670125
PI533819,2.4710474531555393
PI533820,2.605177884087424
PI533821,2.801499274806967
PI533822,2.544282134206748
PI533823,2.908917887024882
PI533824,2.585920364570478
PI533825,2.039923043254663
PI533827,2.1982328889069156
PI533828,2.707068507067967
PI533829,2.707206541136213
PI533830,2.6212232621082494
PI533831,1.9923634347834809
PI533832,2.464353743287714
PI533833,2.1932232662640554
PI533834,1.882700995817039
PI533835,2.0049332866611103
PI533836,2.566470752576981
PI533837,1.8616118475691932
PI533838,2.0360016070352036
PI533839,2.312784229719848
PI533840,2.8452054679843353
PI533841,2.502780932207795
PI533842,1.6031765986836048
PI533843,2.3182596905831367
PI533844,1.5145416791202162
PI533845,1.809009374824922
PI533846,2.14685622925654
PI533847,2.220543591834907
PI533848,3.046468619182931
PI533849,3.093652161799986
PI533850,2.903587645478855
PI533851,2.5117544477901785
PI533852,2.8632230437702946
PI533853,2.231055664374839
PI533854,2.8097181248480614
PI533855,2.155569035360324
PI533856,2.734632592507797
PI533857,1.9295113901213272
PI533858,1.875145792114902
PI533859,2.1293371579487315
PI533860,2.281048554035988
PI533861,2.2448930954844615
PI533862,2.9564193758847463
PI533863,2.5203127591980756
PI533864,2.41239801319013
PI533865,1.748624951154539
PI533866,1.9691317734316387
PI533867,2.8206902087997423
PI533869,2.0446529052329225
PI533870,2.80512352232049
PI533871,1.9777417913963735
PI533872,1.7862794605679693
PI533873,2.1514248277731096
PI533874,1.6709061163152803
PI533876,2.6546012800771
PI533877,2.4709054276433307
PI533878,2.119901949394114
PI533879,2.5506381588832774
PI533880,1.947501069463502
PI533881,2.3908098433856444
PI533882,1.5677709756201652
PI533883,3.006472491498932
PI533884,3.250513760154617
PI533885,3.3338723381278346
PI533886,2.854877238034904
PI533887,2.3247790905517824
PI533888,2.5469087921341185
PI533889,2.333377614413295
PI533890,2.2858632584945595
PI533891,2.8668357853807356
PI533893,2.47478368513394
PI533894,3.407698576920204
PI533895,2.59314970840319
PI533896,2.5166363748168363
PI533897,2.4800653990831583
PI533898,2.0205980432165447
PI533899,2.854615152450834
PI533900,2.4621125890677726
PI533902,2.596611254262747
PI533903,1.9802062944191996
PI533904,2.823530261968106
PI533905,2.603273517638108
PI533906,2.186392005598398
PI533907,1.5216998773357622
PI533908,2.303752391352677
PI533909,1.982709764128841
PI533910,1.9492159083588496
PI533911,2.044183175616184
PI533912,2.881764718682393
PI533913,2.3931922605144744
PI533914,2.478364494847946
PI533915,2.5542388927133564
PI533916,2.385311888296913
PI533917,2.4372613097140214
PI533918,1.837891851103499
PI533919,2.862496705203527
PI533920,2.45532665639059
PI533921,2.2832572402338407
PI533922,2.5197876013162306
PI533923,2.6852815982153264
PI533924,2.941592377543585
PI533925,2.914809154508956
PI533926,2.8934971377099536
PI533928,1.933823166093823
PI533929,1.2816595944845948
PI533930,1.9971583072081485
PI533931,2.906308684748817
PI533932,1.7701753403296074
PI533933,1.9289232896572897
PI533934,2.1501705546607868
PI533935,3.2317157738430753
PI533936,2.1113375512445804
PI533937,2.3401061104121137
PI533938,2.6686355805185125
PI533939,3.0622715749963016
PI533940,2.2547104539754126
PI533941,2.040383184731037
PI533942,2.6995642323823184
PI533943,2.483415396419251
PI533944,2.7497183803570957
PI533946,2.022229272832567
PI533947,2.292503199497122
PI533948,2.057592406178258
PI533949,2.190249356005294
PI533950,2.721351588577894
PI533951,2.626002974322259
PI533952,2.9811413512100926
PI533953,3.1385442312751013
PI533954,1.954066681318737
PI533955,2.0824473332616136
PI533956,2.533850998089707
PI533957,1.8312319777518589
PI533958,1.8297650654499655
PI533959,2.730131611103229
PI533960,2.403233549894857
PI533961,2.4503610661142456
PI533962,2.382156714760813
PI533963,1.8510961434642423
PI533964,1.613221779481782
PI533965,1.6941282182627884
PI533966,2.8321194433661145
PI533967,1.3887184230848797
PI533968,2.2879490182445124
PI533969,2.164351201154128
PI533970,3.1348721215530766
PI533971,2.3041173550010665
PI533972,2.1949509924043764
PI533973,1.8302540274453367
PI533974,2.281440211150127
PI533975,2.721640594154747
PI533976,2.1961978508687823
PI533977,1.7306463489106587
PI533978,2.6955300429878615
PI533979,1.912045549507264
PI533980,2.606214257289066
PI533981,2.1880570572534346
PI533982,2.2540929012505804
PI533983,2.4096861754277823
PI533984,1.2738420387459508
PI533985,2.5297175287531104
PI533986,2.4614246079487097
PI533987,2.0781073878928336
PI533988,1.5238199029914092
PI533989,2.2164133627893383
PI533990,1.8591777162786287
PI533991,2.3210706017499203
PI533992,2.92780644367782
PI533993,1.725250637739134
PI533994,1.4898738927479611
PI533995,2.2545042379492752
PI533996,2.6029615801537593
PI533997,2.219115175326558
PI533998,2.159924890109446
PI533999,2.444722016162186
PI534000,1.898044188086768
PI534001,2.099277629180431
PI534002,2.3625187405242554
PI534003,2.6774731089121
PI534004,2.043178679671957
PI534005,2.368559445862719
PI534006,2.4579489952989935
PI534007,2.2704090898453124
PI534008,1.698875457508664
PI534009,1.236106533409714
PI534010,2.126541470398189
PI534011,1.7625443751100565
PI534013,1.743941812333639
PI534014,1.233186809153444
PI534015,1.8246433697862416
PI534016,2.2396591706578612
PI534017,2.265896886405382
PI534018,2.317141578981095
PI534019,2.2582303804642354
PI534020,3.3562181406756304
PI534021,1.920492565143108
PI534022,2.4170081034402733
PI534023,2.7506655236657584
PI534024,1.805047695424142
PI534025,2.0181994293076935
PI534026,2.135247219832424
PI534027,2.913774065892829
PI534028,2.012090106368703
PI534030,1.545918245934854
PI534031,2.3315596227577133
PI534032,1.892649819432364
PI534033,2.0990014889872586
PI534034,2.1408261566388975
PI534035,2.773492115348593
PI534036,1.7086765717778416
PI534037,3.0111396848046263
PI534038,2.876054650916103
PI534039,2.662300246451358
PI534040,2.262903232978445
PI534041,2.035867471459
PI534042,2.948036872029597
PI534043,1.8693602126030728
PI534044,2.170005048483846
PI534045,1.40647328805379
PI534046,2.7262033638944323
PI534047,2.754732965524733
PI534048,2.510408457762205
PI534049,2.2878656083233446
PI534050,1.9333586669688168
PI534051,3.279720589232938
PI534052,2.102498449084002
PI534053,2.2659993700414143
PI534054,2.019825352688106
PI534055,2.2671064034995663
PI534056,2.4909813144526236
PI534057,2.2655037236183166
PI534058,2.7084541590807714
PI534059,2.5076072033454633
PI534060,2.194896930199077
PI534061,2.071657761254217
PI534062,2.2026905163448105
PI534063,1.5522553514292077
PI534064,2.65377602650677
PI534065,2.5838267856135317
PI534066,2.440965650364805
PI534067,2.2501734961324154
PI534068,2.808653826826156
PI534069,2.6288287266551063
PI534070,3.357866319911885
PI534071,2.5007278281608327
PI534072,1.9512658773889784
PI534073,2.9665689779579827
PI534074,1.8802054702787816
PI534075,2.4020751419724347
PI534076,2.128482279961975
PI534077,2.4468518515319886
PI534078,2.3196282716546452
PI534079,2.470224550996988
PI534080,2.4991452569526404
PI534081,2.8069710367429535
PI534082,2.983444531832854
PI534083,2.6771127447070295
PI534084,3.067117230125203
PI534085,2.3287870021665973
PI534086,3.1835948104156784
PI534087,3.4924261762622892
PI534088,2.2476429831167875
PI534089,3.0463769642144456
PI534090,2.5328462569713204
PI534091,3.813868729872636
PI534092,2.631042272283617
PI534093,2.875492125044498
PI534094,2.2324038492071185
PI534095,3.097912705896558
PI534096,1.9164317452693624
PI534097,1.999578892105574
PI534098,2.5995981103902492
PI534099,1.915613761315166
PI534100,2.291175989590183
PI534101,2.239183075502833
PI534102,1.8169704423948283
PI534103,1.6143833838247414
PI534104,2.172207814568524
PI534105,2.210815804202903
PI534106,1.9993665035750143
PI534107,2.2989335786627816
PI534108,2.0916182878795295
PI534109,1.9316248888069916
PI534110,1.998654130332366
PI534111,1.9771226874984345
PI534112,1.6572925816588258
PI534113,2.5365177213474173
PI534114,2.327281954944094
PI534115,1.8840990859917175
PI534116,2.172364409956857
PI534117,2.565680369389318
PI534118,2.663707064012096
PI534119,1.5790451562654415
PI534120,1.9232823384934228
PI534121,1.7371934269922973
PI534122,1.969859080591681
PI534123,2.9746418317028973
PI534124,2.099537037932838
PI534125,2.1902566302746695
PI534126,3.833987062071256
PI534127,2.198658164826763
PI534128,2.547843501557591
PI534129,2.0296501999276546
PI534130,1.937031608580578
PI534131,1.896642544535348
PI534132,1.0251756102692844
PI534133,2.2314072100840705
PI534134,2.8096744772687767
PI534135,1.5217984553448602
PI534136,1.8119337062346
PI534137,1.7109573072286195
