env_id,genotype,dry_g,fresh_g,water_fraction,peak_dose
MI2020,PI152651,7.5,27.3038,0.7253129601007918,0.0
MI2021,PI152651,10.2,17.7547,0.4255042326820504,0.0
MI2020+MI2021,PI152651,8.85,22.52925,0.5754085963914211,0.0
MI2020,PI24969,19.35,56.0658,0.654869813683208,0.0
MI2021,PI24969,11.82,24.3767,0.5151107409944742,0.0
MI2020+MI2021,PI24969,15.585,40.22125,0.5849902773388411,0.0
MI2020,PI276837,9.26,27.2296,0.6599289009019595,0.0
MI2021,PI276837,17.6,27.2668,0.3545263837340648,0.0
MI2020+MI2021,PI276837,13.43,27.2482,0.5072276423180122,0.0
MI2020,PI329435,24.94,60.0367,0.5845874273569333,0.0
MI2021,PI329435,13.8,26.326,0.4758033882853453,0.0
MI2020+MI2021,PI329435,19.37,43.18135,0.5301954078211393,0.0
MI2020,PI329440,11.09,44.9153,0.753090817605582,0.0
MI2021,PI329440,14.6,25.108,0.4185120280388721,0.0
MI2020+MI2021,PI329440,12.845,35.01165,0.585801422822227,0.0
MI2020,PI34911,32.562,94.36366,0.6549307222716881,0.0
MI2021,PI34911,15.0,32.194,0.5340746722991863,0.0
MI2020+MI2021,PI34911,23.781,63.278830000000006,0.5945026972854373,0.0
MI2020,PI35038,24.84,81.5982,0.6955815201805922,0.0
MI2021,PI35038,14.2,36.1923,0.6076513512542724,0.0
MI2020+MI2021,PI35038,19.52,58.89525,0.6516164357174323,0.0
MI2020,PI533752,26.66,70.5308,0.6220091080776059,0.0
MI2021,PI533752,12.4,23.5416,0.4732728446664627,0.0
MI2020+MI2021,PI533752,19.53,47.0362,0.5476409763720343,0.0
MI2020,PI533754,14.98,40.6636,0.6316115641507393,2.0
MI2021,PI533754,8.6,18.7727,0.5418879543166407,2.0
MI2020+MI2021,PI533754,11.79,29.71815,0.58674975923369,2.0
MI2020,PI533755,34.4,82.2409,0.581716639774127,0.0
MI2021,PI533755,9.7,23.4246,0.5859054156741205,0.0
MI2020+MI2021,PI533755,22.05,52.83275,0.5838110277241237,0.0
MI2020,PI533757,16.6,51.7049,0.6789472564495821,0.0
MI2021,PI533757,27.7,61.7271,0.5512505852372783,0.0
MI2020+MI2021,PI533757,22.15,56.716,0.6150989208434302,0.0
MI2020,PI533758,22.2,51.1463,0.5659510072087326,0.0
MI2021,PI533758,12.5,24.0045,0.4792643046095524,0.0
MI2020+MI2021,PI533758,17.35,37.5754,0.5226076559091425,0.0
MI2020,PI533759,28.5,72.716,0.6080642499587435,0.0
MI2021,PI533759,13.95,26.9977,0.4832893172381351,0.0
MI2020+MI2021,PI533759,21.225,49.85685,0.5456767835984393,0.0
MI2020,PI533760,25.92,68.8827,0.6237081299077998,0.0
MI2021,PI533760,30.3,62.6282,0.5161923861774727,0.0
MI2020+MI2021,PI533760,28.11,65.75545,0.5699502580426362,0.0
MI2020,PI533761,11.68,34.1237,0.6577158983345885,0.0
MI2021,PI533761,10.5,19.2939,0.4557865439335749,0.0
MI2020+MI2021,PI533761,11.09,26.7088,0.5567512211340817,0.0
MI2020,PI533762,7.11,28.476,0.7503160556257902,0.0
MI2021,PI533762,12.8,28.4784,0.5505365469970223,0.0
