genotype,tpm
BTx3197,9.83
BTx378,3.23
BTx399,3.51
BTx645,7.76
Comb7078,1.66
Day,7.66
ElMota,0.03
FeteritaGishesh,7.43
PI152651,1.05
PI153844,5.28
PI153846,7.22
PI22326,0.09
PI24969,5.24
PI260213,1.53
PI276837,1.335
PI34911,0
PI533745,1.11
PI533746,2.23
PI533747,9.01
PI533749,0.03
PI533750,13.73
PI533751,3.89
PI533752,0.02
PI533753,4.15
PI533754,7.63
PI533755,8
PI533756,9.48
PI533757,6.19
PI533758,10.09
PI533759,0.02
PI533760,9.62
PI533761,3.29
PI533762,10.07
PI533764,2.89
PI533765,2.54
PI533766,5.47
PI533767,4.16
PI533769,4.66
PI533770,6.66
PI533771,12.3
PI533773,6.61
PI533774,7.4
PI533775,11.21
PI533776,12.96
PI533777,4.37
PI533778,5.71
PI533783,0
PI533784,4.01
PI533785,0.27
PI533786,8.82
PI533789,7.65
PI533790,9.37
PI533791,5.26
PI533792,10.44
PI533793,2.26
PI533794,7.83
PI533795,15.81
PI533796,14.22
PI533797,12.94
PI533798,6.72
PI533799,9.8
PI533800,12.54
PI533801,6.36
PI533802,6.33
PI533803,4.51
PI533804,4.14
PI533805,15.25
PI533807,0.13
PI533808,9.45
PI533809,8.52
PI533810,0.04
PI533811,6.8
PI533812,11.06
PI533813,9.33
PI533814,10.46
PI533815,4.86
PI533816,13.87
PI533817,0.47
PI533818,3.79
PI533819,5.92
PI533821,10.74
PI533822,16.66
PI533823,5.63
PI533824,5.53
PI533825,12.08
PI533827,3.02
PI533828,4.47
PI533829,7.98
PI533831,13.15
PI533833,6.52
PI533835,4.71
PI533836,12.26
PI533837,4.04
PI533838,5.89
PI533840,6.06
PI533842,11.3
PI533843,7.17
PI533844,2.73
PI533845,5.41
PI533846,8.52
PI533847,3.1
PI533848,6.24
PI533850,10.87
PI533851,4.6
PI533852,0.05
PI533853,11.07
PI533855,3.84
PI533857,3.86
PI533859,0
PI533860,10.4
PI533861,1.03
PI533864,14.69
PI533865,0.25
PI533866,17.48
PI533867,11.82
PI533869,1.27
PI533870,12.89
PI533871,4.34
PI533872,9.33
PI533873,7.25
PI533874,0.24
PI533877,5.63
PI533878,13.68
PI533880,3
PI533881,7.98
PI533882,4.75
PI533883,7.09
PI533884,6.28
PI533885,8.06
