genotype,peak_dose,single_plant_panicle_dry_weight_g
PI152651,0,53.1
PI17548,0,29.86
PI24969,0,54.81
PI276837,0,25.19
PI329435,0,85.23
PI329440,0,55.77
PI34911,0,81.00800000000001
PI35038,0,56.13
PI533752,0,101.45
PI533754,0,46.36
PI533757,0,101.8
PI533758,0,110.4
PI533759,0,86.3
PI533760,0,149.49
PI533761,0,58.25
PI533762,0,9.14
PI533766,0,33.05
PI533769,0,53.02
PI533776,0,110.4
PI533785,0,85.728
PI533788,0,53.4
PI533789,0,81.56
PI533792,0,98.7
PI533794,0,86.35
PI533799,0,109.21
PI533800,0,42.45
PI533807,0,64.5
PI533810,0,56.03
PI533814,0,53.3
PI533821,0,86.79
PI533822,0,60.13
PI533824,0,26.0
PI533830,0,39.97
PI533838,0,36.52
PI533839,0,27.36
PI533841,0,39.44
PI533842,0,56.3
PI533855,0,56.8
PI533856,0,45.09
PI533863,0,52.87
PI533869,0,38.5
PI533871,0,55.4
PI533876,0,66.39
PI533901,0,51.31
PI533902,0,74.21
PI533903,0,22.89
PI533910,0,28.0
PI533911,0,53.3
PI533912,0,48.99
PI533913,0,66.31
PI533915,0,47.79
PI533919,0,84.47
PI533921,0,61.08
PI533924,0,64.45
PI533927,0,30.94
PI533936,0,21.7
PI533937,0,65.29
PI533938,0,105.25
PI533940,2,27.1
PI533943,0,98.45
PI533948,0,65.5
PI533949,0,58.84
PI533954,0,38.17
PI533955,0,66.45
PI533956,0,67.73
PI533957,0,59.23
PI533962,0,53.92
PI533964,0,71.78
PI533965,0,52.0
PI533967,0,46.78
PI533970,0,56.8
PI533972,0,65.88
PI533976,0,53.63
PI533979,0,32.56
PI533980,0,90.72
PI533985,0,60.08
PI533986,0,73.49
PI533987,0,81.77
PI533989,0,62.11
PI533991,0,68.41
PI533996,0,83.29
PI533997,0,65.01
PI534009,0,32.64
PI534021,0,36.6
PI534028,0,67.94
PI534037,0,29.33
PI534046,0,32.3
PI534047,0,64.228
PI534053,0,30.4
PI534054,0,50.21
PI534063,0,26.2
PI534070,0,109.9
PI534075,0,64.94
PI534079,0,93.36
PI534092,0,51.92
PI534096,0,36.6
PI534097,0,52.99
PI534099,0,82.14
PI534101,0,106.11
PI534105,0,48.1
PI534108,0,75.36
PI534112,0,124.4
PI534114,0,54.4
PI534115,0,73.34
PI534116,0,23.0
PI534117,0,66.6
PI534123,0,114.2
PI534124,0,47.29
PI534127,0,52.61
PI534128,0,49.13
PI534132,0,95.6
PI534133,0,97.4
PI534135,0,50.76
PI534137,0,52.32
PI534138,0,67.0
PI534139,0,27.7
PI534144,0,69.63
