panel,source_image,x,y,width,height
panels/1286_LeafPhotoA_2025-09-08 16_01_17.344-05_00.png,1286_LeafPhotoA_2025-09-08 16_01_17.344-05_00.jpg,-2,0,409,251
panels/1286_LeafPhotoA_2025-09-08 16_01_45.976-05_00.png,1286_LeafPhotoA_2025-09-08 16_01_45.976-05_00.jpg,417,0,495,251
panels/1316_LeafPhotoA_2025-09-08 09_34_38.201-05_00.png,1316_LeafPhotoA_2025-09-08 09_34_38.201-05_00.jpg,922,0,372,251
panels/1338_LeafPhotoA_2025-09-08 10_06_33.224-05_00.png,1338_LeafPhotoA_2025-09-08 10_06_33.224-05_00.jpg,1304,0,288,251
panels/1357_LeafPhotoA_2025-09-08 12_34_05.972-05_00.png,1357_LeafPhotoA_2025-09-08 12_34_05.972-05_00.jpg,1602,0,349,251
panels/1363_LeafPhotoA_2025-09-08 12_43_11.886-05_00.png,1363_LeafPhotoA_2025-09-08 12_43_11.886-05_00.jpg,1,261,551,295
panels/1391_LeafPhotoA_2025-09-08 13_11_35.950-05_00.png,1391_LeafPhotoA_2025-09-08 13_11_35.950-05_00.jpg,562,261,661,295
panels/1458_LeafPhotoB_2025-09-08 12_34_26.038-05_00.png,1458_LeafPhotoB_2025-09-08 12_34_26.038-05_00.jpg,1233,261,716,295
panels/1622_LeafPhotoA_2025-09-09 09_56_01.433-05_00.png,1622_LeafPhotoA_2025-09-09 09_56_01.433-05_00.jpg,0,566,483,288
panels/1896_LeafPhotoA_2025-09-09 12_57_03.176-05_00.png,1896_LeafPhotoA_2025-09-09 12_57_03.176-05_00.jpg,493,566,732,288
panels/2281_LeafPhotoA_2025-09-08 16_59_13.027-05_00.png,2281_LeafPhotoA_2025-09-08 16_59_13.027-05_00.jpg,1235,566,714,288
panels/2670_LeafPhotoA_2025-09-09 11_44_17.139-05_00.png,2670_LeafPhotoA_2025-09-09 11_44_17.139-05_00.jpg,0,864,360,242
panels/2721_LeafPhotoA_2025-09-09 10_42_26.993-05_00.png,2721_LeafPhotoA_2025-09-09 10_42_26.993-05_00.jpg,370,864,325,242
panels/2722_LeafPhotoA_2025-09-09 10_43_15.446-05_00.png,2722_LeafPhotoA_2025-09-09 10_43_15.446-05_00.jpg,705,864,376,242
panels/2740_LeafPhotoA_2025-09-09 11_08_17.094-05_00.png,2740_LeafPhotoA_2025-09-09 11_08_17.094-05_00.jpg,1091,864,442,242
panels/2974_LeafPhotoA_2025-09-09 16_22_34.046-05_00.png,2974_LeafPhotoA_2025-09-09 16_22_34.046-05_00.jpg,1543,864,406,242
