label,start,end,mid
"6c, 9b",1,1,1
9b,2,90,46
"6a, 6b",91,92,91.5
6b,93,110,101.5
6a,111,170,140.5
"6a, 9b",171,181,176
"6a, 6c",182,182,182
"4d, 6c",183,184,183.5
6c,185,204,194.5
"4d, 4e",205,205,205
4d,206,216,211
"4b, 4c, 4d",217,217,217
"4b, 4c, 4d, 9b",218,218,218
"4c, 4d, 4e",219,219,219
"4c, 4d",220,220,220
4c,221,235,228
"4c, 6c",236,236,236
"4c, 4d, 6c",237,240,238.5
4b,241,248,244.5
"4a, 6c",249,249,249
4a,250,259,254.5
"2, 9a, 9c",260,260,260
"2, 9a",261,262,261.5
9a,263,268,265.5
"9a, 9c",269,270,269.5
4e,271,282,276.5
"4e, 9b",283,285,284
"2, 4e, 9b",286,286,286
"2, 4a, 4e, 9b",287,287,287
"2, 6a",288,288,288
2,289,313,301
"2, 9a, 9b",314,314,314
"2, 9b, 9c",315,318,316.5
"2, 9b",319,320,319.5
"4a, 9b, 9c",321,321,321
"9b, 9c",322,346,334
9c,347,365,356
"2, 4a, 9c",366,366,366
"2, 9c",367,367,367
