feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_std_274,0.023487683170142125,0.002887595100081843,0.01959456334324625,0.026248489192263122,1
embedding_std_633,0.017545183641365685,0.0015430534579743789,0.014836943010928036,0.018660680090401695,2
embedding_std_343,0.016581983739625904,0.0037374296424509297,0.011468872851402825,0.02138542174251394,3
embedding_std_743,0.015261480527509048,0.0014774417441129415,0.013233545080200044,0.017073476141836033,4
embedding_mean_534,0.014485629488230997,0.003347269827624268,0.010128281570532256,0.01805062186429197,5
embedding_std_438,0.013379768703188216,0.0017781635352583426,0.01065718728525253,0.015454219957665154,6
embedding_mean_1007,0.012171537823177083,0.0006403917798259154,0.011507863309158504,0.012832142531424548,7
embedding_std_111,0.011843627852369424,0.0023217509069682505,0.0091615304918535,0.014770783995757692,8
embedding_std_580,0.0105281517333896,0.0028167221518046997,0.006711848234774466,0.014536381803033155,9
embedding_std_136,0.010098053091843114,0.0005860203259943459,0.009443592087125894,0.010714438418079356,10
embedding_std_467,0.009930316336154101,0.002448707020767671,0.007843323859313123,0.013853771110020029,11
embedding_mean_168,0.009832406452866722,0.001435567059049562,0.008301774569454362,0.011919941351542432,12
embedding_mean_274,0.009788529564158118,0.0023790694781049525,0.007622692070076541,0.01302779698552679,13
embedding_mean_1010,0.00963022351046216,0.00169894918231261,0.008247108912205276,0.01231191349371553,14
embedding_mean_626,0.009338438748674604,0.0011576307607538616,0.007654459536074612,0.010791879614936795,15
embedding_std_3,0.008715596007120557,0.0003276223677365114,0.008460552098315768,0.009250383916651759,16
embedding_std_621,0.008659920325195157,0.002246218732552437,0.006234283645732928,0.012145795128365607,17
embedding_std_496,0.008572576654398515,0.0029579472445070793,0.004616678359529191,0.012231176045524685,18
embedding_std_817,0.00807908198132078,0.0011088012398866006,0.006289463511757947,0.009305335970428041,19
embedding_std_161,0.008035313345316776,0.0012971367176829727,0.006511601983839568,0.009508932538683264,20
embedding_mean_26,0.007775829328473739,0.0016788069267860547,0.006212289498099214,0.010471962323971408,21
embedding_mean_865,0.007477536675071598,0.0012201822278677496,0.006089585357810858,0.008759690113249473,22
embedding_std_247,0.007091892134648545,0.00183392450533498,0.0038584686590613913,0.008220862113323858,23
embedding_mean_1017,0.006620150136076727,0.0009482692969800928,0.005306075613186756,0.0073281773044295215,24
embedding_std_18,0.005946596001310965,0.0020584340089628097,0.0044346100641460265,0.009449405437379661,25
embedding_mean_889,0.0058061226227126604,0.0006114631841179259,0.005173772641231169,0.006631445582465354,26
embedding_mean_111,0.005728251725485464,0.0011424666540275144,0.004309540528044991,0.007151671655164829,27
embedding_std_135,0.005723430756685873,0.0011970856528403147,0.004206439414510623,0.007130491707435705,28
embedding_std_29,0.005526468257658847,0.001082883160948891,0.004253706184531871,0.007017620896405317,29
embedding_std_794,0.005446777128773509,0.001786160741931228,0.0036012220627546997,0.00831866536950444,30
embedding_mean_717,0.005426381131779979,0.0017241162267614934,0.00373838023287414,0.00799489311221484,31
embedding_mean_595,0.0054097887919136774,0.0005929273070457589,0.004673770802461833,0.006274924129039024,32
embedding_std_216,0.005187421390654274,0.0008880806422348768,0.004165698707548428,0.006474581946568603,33
embedding_mean_204,0.005177239309641674,0.0005221004357125957,0.004461157466310061,0.005919031218455395,34
embedding_mean_426,0.005171930592897154,0.0010522809278154768,0.004033870106257188,0.006283590858051576,35
embedding_mean_359,0.004959976614679153,0.0018921720398977775,0.002435329338056917,0.006842389051194748,36
embedding_mean_440,0.004831613405430209,0.00143017654871285,0.003621879758459337,0.00685731773823148,37
embedding_mean_547,0.004788272289800831,0.0008147085489118175,0.003975117278735557,0.005957245264476665,38
embedding_mean_456,0.004437778212210788,0.00037797734102912295,0.003979938226266779,0.004857928061979156,39
embedding_mean_565,0.004351385522522252,0.0010817789671127504,0.002422072400166575,0.004918301674415116,40
embedding_mean_242,0.004129968243813795,0.00085107749790871,0.00325875137645341,0.005159169626623771,41
embedding_mean_991,0.004116828660921902,0.0006544847806382838,0.0035939735829384205,0.00486202827746274,42
embedding_std_955,0.003955138185208938,0.0012401805832401044,0.002812645879296968,0.00576307222396975,43
embedding_mean_11,0.003807845421723867,0.0013365403404176897,0.0026658947674057533,0.0060850946441786,44
embedding_std_182,0.003767262957844917,0.0007297827443140635,0.003075890820387883,0.004989383432347605,45
embedding_mean_971,0.0037288489103138533,0.0005468888680634554,0.003165409754741765,0.004358887801069348,46
embedding_mean_374,0.003707751414383658,0.0007930003373300254,0.0027732148588899106,0.004960885832704592,47
embedding_mean_439,0.003618866778119173,0.0003510071104278063,0.003151624763769123,0.004035357905255342,48
embedding_mean_185,0.003557097036854378,0.0011732594483293674,0.0022820776320072846,0.0053079541404051885,49
embedding_std_2,0.0035452737397087875,0.000480682498988819,0.0027264581113709643,0.0039448381453726575,50
embedding_mean_283,0.0034600913162748047,0.0004255021320909205,0.003036581742575294,0.003981519689971181,51
embedding_mean_653,0.0034090975518101404,0.0005827362291575287,0.0030774293890241055,0.00444830736605584,52
embedding_mean_864,0.003340452250545207,0.00046513529264868056,0.002827100939898287,0.004046252280338601,53
embedding_std_815,0.003325418767976348,0.0010731942209458226,0.0019118385972408136,0.004657941641752308,54
embedding_mean_288,0.0031259774798533257,0.00037859104140416293,0.0025956802145979214,0.00346164057278621,55
embedding_mean_783,0.0031156975586136603,0.0010882352961722615,0.0014682767290628666,0.004419858078102536,56
embedding_mean_592,0.003043156843499998,0.00026371371676871193,0.0027464288374712455,0.003351530839204588,57
embedding_mean_422,0.0030203053542012083,0.0003343726603578036,0.0025365842189292447,0.00336649010718297,58
embedding_mean_107,0.0029996488580693046,0.0005168605359579897,0.002599487161422742,0.0039027709587042742,59
embedding_std_1007,0.0029865552079504894,0.00047349273997259313,0.002492195253135149,0.0035019068678530363,60
embedding_mean_384,0.0029681920384219433,0.0008420101266871866,0.002211120787752749,0.004081173294200754,61
embedding_std_691,0.002954734114247396,0.0006237889401867671,0.002245491040727752,0.0036583810238787593,62
embedding_std_336,0.002897520281416169,0.0006648320203588542,0.0019308087494207282,0.0036519424737438606,63
embedding_std_763,0.002878804625053886,0.0014547315434481798,0.0017691523237697263,0.005398668721786034,64
embedding_std_975,0.0028425443916747454,0.0004945909091849626,0.002175429778618459,0.0034735647465730874,65
embedding_std_828,0.0027689524332062715,0.0006157275827754485,0.001953732694551938,0.0035887933836731786,66
embedding_mean_629,0.0027621736521067893,0.0005982246536572582,0.0023437425647764173,0.0038029562275211735,67
embedding_mean_368,0.0027220444692412768,0.00032042578974969397,0.002343839061085362,0.003222379187385344,68
embedding_std_265,0.0026214047905900274,0.0006647383349891169,0.0018238381156473885,0.0036300782027898965,69
embedding_mean_691,0.0025959316353793504,0.00038948828466870404,0.002094190280933503,0.003093935698519994,70
embedding_mean_112,0.002582516525957839,0.0006664271781796424,0.0017502247435948709,0.0034935849149545966,71
embedding_mean_620,0.0025707510406323903,0.0002685183619358331,0.002321235048403506,0.003000939558346254,72
embedding_std_10,0.002515163594268374,0.000518300100225137,0.001946000300916529,0.0031576679246269044,73
embedding_std_386,0.002505137455474946,0.0010809915037781367,0.0017076636418229805,0.004388584483854818,74
embedding_std_50,0.002477111016215629,0.000303911419502052,0.0020566922979388274,0.002816487870505274,75
embedding_mean_974,0.002450640089562256,0.0007220940996655457,0.0017084208296487238,0.0034776691211655646,76
embedding_mean_633,0.002444640447551199,0.00047904358630341984,0.0017743781166632943,0.0030203002788078944,77
embedding_mean_826,0.00235164345877614,0.000851248825860441,0.0017631650408173243,0.0038093571198057406,78
embedding_mean_642,0.0023460982892300887,0.0006572834928628813,0.0016580845312700802,0.0033786862677623384,79
embedding_std_368,0.0023459947399748914,0.0005104964043362248,0.00166766333111858,0.0029493450973870085,80
embedding_mean_317,0.002337798731797429,0.000460805703808005,0.0018876546646538425,0.002990151674131685,81
embedding_std_626,0.002302468505730051,0.0006891003408522892,0.0014919784888596836,0.0033798103956022216,82
embedding_mean_710,0.0023013072996183647,0.00037317700434191483,0.0018167483380445266,0.002659195540782076,83
embedding_mean_376,0.002267511933266103,0.0004730231492873188,0.0017322138896125718,0.0029789390709325865,84
embedding_std_591,0.0022173315563835576,0.0009875443009780534,0.001011629830646467,0.003310450513914241,85
embedding_mean_467,0.002194057721402761,0.00019889331670673225,0.001951559223819031,0.0024288221997819707,86
embedding_mean_130,0.0021909159182340173,0.001009776209708096,0.0012270489249478415,0.003847751390925444,87
embedding_std_13,0.0021425029826316853,0.00045796106981747765,0.0017599491117947608,0.0029355180778270944,88
embedding_std_254,0.0021038582442340073,0.000264319194758162,0.0018049818058359368,0.0024052450019868155,89
embedding_std_110,0.0020523004045560392,0.000565973012480192,0.0012289031705566382,0.0026979164864475024,90
embedding_std_245,0.0020421728565068772,0.0005399794747077431,0.0014613335411127431,0.0028858770088054844,91
embedding_std_620,0.001961844735098625,0.0009629221103242485,0.0007242182296293658,0.003422436292608456,92
embedding_mean_97,0.001918824068152137,0.0004472568094415341,0.001376258156089949,0.0024972537886318595,93
embedding_mean_821,0.0019006509527839568,0.0004141232561357823,0.0015489505767772175,0.0023766844912346554,94
embedding_std_122,0.001839362021334658,0.00038177364643285415,0.0014941986384765901,0.002285139509302766,95
embedding_std_297,0.0018267377056114579,0.0002488948117305343,0.001566929287978948,0.0022386730638527153,96
embedding_std_547,0.0018207228281819422,0.0005262481085727221,0.0013566251909159252,0.0026785523957312952,97
embedding_mean_636,0.0017891510203758368,0.0006407220789817622,0.0012346766997627758,0.0028979664590050224,98
embedding_std_909,0.0017603399898694437,0.0004751962686751473,0.0012590958690098899,0.002395352085568925,99
embedding_std_204,0.0017595803370629045,0.00035020385182538204,0.0012663669892372393,0.0022222652258787365,100
embedding_mean_986,0.001738818703070436,0.00015617934500438145,0.0015738723199449527,0.0019425065135568959,101
embedding_std_288,0.0017360182038484745,0.0002266489614036143,0.0014607339154355922,0.002054335183465329,102
embedding_std_598,0.0016836263674496227,0.0004331953789998136,0.001224599699596487,0.0022964663680249803,103
embedding_mean_362,0.0016804947463763917,0.00038092553331726795,0.001098103789509829,0.002116259933365321,104
embedding_std_715,0.001668372559841405,0.000353010254724855,0.0012969427233469899,0.0022363251625327992,105
embedding_std_904,0.0016381723179845077,0.0002477670691268397,0.0012602816170655074,0.0018618408044687206,106
embedding_std_510,0.0016369040914454979,0.0003581741983216094,0.001362479325913947,0.0022541187715761097,107
embedding_mean_438,0.001617335291378997,0.00023972917656567286,0.0012746635218394114,0.0018996287847759643,108
embedding_mean_18,0.0016107701066444247,0.0002870386552077746,0.00136131144390886,0.0019677555837120096,109
embedding_std_667,0.001570498653876844,0.00030120109906828604,0.0011896042448371294,0.0020175629415943603,110
embedding_mean_755,0.0015367499255999931,0.00039488886025782616,0.0010602715252566997,0.002053663585471207,111
embedding_mean_600,0.001519722926507545,0.0003851519460510389,0.0011690283064379355,0.002085300783577182,112
embedding_mean_917,0.0014949936248388111,0.0003224177735666059,0.0009562531089320462,0.0017559685167681763,113
embedding_std_545,0.0014846217250070162,0.00030157547071878133,0.0011194814098304815,0.0018524599266086105,114
embedding_mean_487,0.0014758567460968464,0.00025704337628894747,0.0011697686734704878,0.0018310384098941446,115
embedding_std_168,0.0014689690369349613,0.000243049841419715,0.0012467709003483546,0.001845754581039606,116
embedding_mean_836,0.0014683298753166703,0.0002620234603794695,0.0011933561135493629,0.0017941612648958865,117
embedding_std_1019,0.00145095476936682,0.0004563815012213181,0.0009772778897572788,0.002032756931552091,118
embedding_mean_662,0.0014390272784790797,0.00019096588777790298,0.001248241951058522,0.001703336121073284,119
embedding_mean_689,0.0013945664976467006,0.0005072546662317766,0.0008353705940441588,0.0022114096744826088,120
embedding_std_921,0.001377714737539296,0.0006668387881940362,0.0007536007214279632,0.0023079313359758926,121
embedding_mean_843,0.0013621696804283834,0.0006917976372670724,0.0006169797658153998,0.0022598283842762456,122
embedding_mean_910,0.001322339195358128,0.000647836159309566,0.0003493531891662578,0.0021672532750745457,123
