feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_std_552,0.02110299038796548,0.002244483859452188,0.019326972786988177,0.02404599373991339,1
embedding_std_930,0.01866270261490382,0.0014704706303618573,0.016823284002645846,0.02053272560816093,2
embedding_std_132,0.01623567405876461,0.0018049726815333336,0.014121159501534154,0.018158637299451802,3
embedding_mean_792,0.015566475830802414,0.0014545113952819716,0.014244958761408797,0.017888011206431773,4
embedding_std_976,0.013704668555553806,0.0022129731504964526,0.010198281408171231,0.015672826520878338,5
embedding_mean_586,0.012858343896644132,0.002610207460497953,0.009881668253123527,0.01682023269735737,6
embedding_mean_81,0.012017430481074972,0.0017173209318647857,0.009363726305581679,0.013963514397520123,7
embedding_std_918,0.011352264363569915,0.0017208457816721662,0.009982821916169015,0.013625566447485415,8
embedding_mean_210,0.011086998300488477,0.0017494060279658738,0.008849898062203996,0.013123276123698534,9
embedding_std_500,0.010784800857109192,0.0013699219725302803,0.009587137112098238,0.012698415621304816,10
embedding_mean_109,0.009992933014839759,0.0016306055235627592,0.007884987700604739,0.01242487413340974,11
embedding_mean_984,0.009476883939961059,0.0017689315522339006,0.0076494227036571025,0.012368369403548643,12
embedding_mean_437,0.009406628438188229,0.0011907665231168873,0.0073055987222874885,0.01007680719640421,13
embedding_mean_334,0.008625548393136196,0.0016987246518021847,0.006576192727089658,0.011036996090540518,14
embedding_std_981,0.008430306415887179,0.0009809555148345196,0.007420939010122216,0.0099814488774865,15
embedding_std_0,0.008384850679471728,0.0008945261355431509,0.006877476122456194,0.009085709407771063,16
embedding_std_383,0.007938201801719948,0.002467825328219663,0.004554936064394668,0.011492762341307404,17
embedding_std_968,0.007937374760069768,0.0012673228493822704,0.006443635197395793,0.009943734632958771,18
embedding_mean_661,0.0077851011295957066,0.0010705739825471647,0.006869772907980864,0.009449852621508081,19
embedding_mean_817,0.007507132153714645,0.0015578491694326552,0.006036741329353036,0.009897168353340697,20
embedding_mean_637,0.007068532492048853,0.0014343087457365361,0.005031291454930935,0.009000387628345667,21
embedding_mean_365,0.006373309266690272,0.0007787185765507558,0.005289034507882108,0.0071904173031284765,22
