environment,genotype,human_score
Georgia2025,PI152651,2.297089961242356
Georgia2025,PI167093,2.6868506856514127
Georgia2025,PI195754,2.266059353105873
Georgia2025,PI24969,2.501970527961505
Georgia2025,PI257600,1.2970899612425475
Georgia2025,PI276837,2.6868506856514123
Georgia2025,PI329299,1.6868506856514127
Georgia2025,PI329435,1.74197032344698
Georgia2025,PI329614,2.5160593531058733
Georgia2025,PI533752,3.222014258405172
Georgia2025,PI533754,1.6134829890431641
Georgia2025,PI533757,2.2731356063569694
Georgia2025,PI533758,3.442097494645312
Georgia2025,PI533759,2.942591633765691
Georgia2025,PI533766,2.2773323129851066
Georgia2025,PI533776,3.219347579750114
Georgia2025,PI533789,3.4368506856514127
Georgia2025,PI533792,3.7661814201697377
Georgia2025,PI533799,2.2084596233334475
Georgia2025,PI533810,3.0160593531058733
Georgia2025,PI533814,2.245652523138895
Georgia2025,PI533824,2.9817170256411103
Georgia2025,PI533833,3.354417082782412
Georgia2025,PI533856,2.7970899612425475
Georgia2025,PI533877,2.047089961242548
Georgia2025,PI533878,3.4720142584051716
Georgia2025,PI533902,3.3544170827824114
Georgia2025,PI533903,3.02313560635697
Georgia2025,PI533912,2.802830909356826
Georgia2025,PI533915,2.2311898313367906
Georgia2025,PI533924,4.516181420169738
Georgia2025,PI533943,3.2773323129851066
Georgia2025,PI533949,2.919326953399863
Georgia2025,PI533967,3.05249002808364
Georgia2025,PI533976,2.5398070402243733
Georgia2025,PI533985,3.1256965127250784
Georgia2025,PI533989,2.442097494645312
Georgia2025,PI533991,2.545697887237503
Georgia2025,PI533996,2.0470899612425475
Georgia2025,PI533997,4.016059353105874
Georgia2025,PI534009,2.7463704674905443
Georgia2025,PI534028,2.4368506856514127
Georgia2025,PI534053,3.5160593531058746
Georgia2025,PI534070,2.7334671525017398
Georgia2025,PI534075,4.016059353105874
Georgia2025,PI534092,3.3522913962078347
Georgia2025,PI534097,2.7995977340956344
Georgia2025,PI534108,1.4695366726766417
Georgia2025,PI534117,2.7017607351810433
Georgia2025,PI534120,2.0160593531058733
Georgia2025,PI534128,2.002822057234626
Georgia2025,PI534138,2.766059353105874
Georgia2025,PI534139,2.941908411502042
Georgia2025,PI534144,3.527332312985107
Georgia2025,PI534167,4.184353169211141
Georgia2025,PI540816,2.806303149369773
Georgia2025,PI548797,2.1919084115020424
Georgia2025,PI552856,2.0110133503801406
Georgia2025,PI561472,1.363482989043164
Georgia2025,PI563196,2.6868506856514123
Georgia2025,PI563331,2.0160593531058733
Georgia2025,PI564163,3.266059353105874
Georgia2025,PI564164,3.084633425980955
Georgia2025,PI565121,1.9876241446483631
Georgia2025,PI569418,1.0160593531058735
Georgia2025,PI569454,1.7815746571742104
Georgia2025,PI569886,2.1868506856514127
