image_id,ExG_P20_disease_pct,genotype,score_A,score_B,human_score
1001_LeafPhotoA_2025-09-08 10_30_44.491,0.93,PI533969,2,1.5,1.75
1001_LeafPhotoA_2025-09-08 10_31_01.387,0.01,PI533969,1,1.5,1.25
1001_LeafPhotoA_2025-09-08 10_31_16.660,0.1,PI533969,2.5,NA,2.5
1002_LeafPhotoA_2025-09-08 10_31_39.299,0.02,PI534049,2.5,NA,2.5
1002_LeafPhotoA_2025-09-08 10_31_52.212,0.03,PI534049,1.5,NA,1.5
1002_LeafPhotoA_2025-09-08 10_32_08.178,0.02,PI534049,1.5,NA,1.5
1003_LeafPhotoA_2025-09-08 09_16_15.481,0.05,PI533981,1.5,NA,1.5
1003_LeafPhotoA_2025-09-08 09_18_47.237,0.16,PI533981,2.5,NA,2.5
1003_LeafPhotoA_2025-09-08 09_20_11.247,0.11,PI533981,2,NA,2
1004_LeafPhotoA_2025-09-08 09_21_46.459,0.1,NA,2,NA,2
1004_LeafPhotoA_2025-09-08 09_22_28.681,0.12,NA,2.5,NA,2.5
1004_LeafPhotoA_2025-09-08 09_23_15.296,0.04,NA,1.5,1.5,1.5
1005_LeafPhotoA_2025-09-08 09_35_15.574,0.12,PI533902,1.5,2.5,2
1005_LeafPhotoA_2025-09-08 09_35_34.267,0.08,PI533902,2.5,NA,2.5
1005_LeafPhotoA_2025-09-08 09_36_05.265,0.02,PI533902,2.5,NA,2.5
1006_LeafPhotoA_2025-09-08 09_30_50.026,0.65,PI597965,1.5,NA,1.5
1006_LeafPhotoA_2025-09-08 09_31_43.387,0.34,PI597965,2.5,NA,2.5
1006_LeafPhotoA_2025-09-08 09_36_28.687,0,PI597965,1.5,NA,1.5
1007_LeafPhotoA_2025-09-08 09_36_58.125,1.98,PI533912,3.5,NA,3.5
1007_LeafPhotoA_2025-09-08 09_37_28.704,0.46,PI533912,3,NA,3
1007_LeafPhotoA_2025-09-08 09_37_48.595,0.23,PI533912,3,NA,3
1008_LeafPhotoA_2025-09-08 09_38_43.510,0.02,PI655975,1,1,1
1008_LeafPhotoA_2025-09-08 09_39_01.597,0.01,PI655975,1,NA,1
1008_LeafPhotoA_2025-09-08 09_39_17.372,0,PI655975,1,NA,1
1009_LeafPhotoA_2025-09-08 09_39_52.913,0.61,PI533950,3,NA,3
1009_LeafPhotoA_2025-09-08 09_40_11.883,0.61,PI533950,3,NA,3
1009_LeafPhotoA_2025-09-08 09_40_30.501,0.58,PI533950,3,NA,3
1010_LeafPhotoA_2025-09-08 09_41_20.962,0.98,PI576431,3,NA,3
1010_LeafPhotoA_2025-09-08 09_41_44.218,0.13,PI576431,1.5,2.5,2
1010_LeafPhotoA_2025-09-08 09_42_09.670,0.12,PI576431,3,NA,3
1011_LeafPhotoA_2025-09-08 09_42_35.227,0.02,PI576379,2,2.5,2.25
1011_LeafPhotoA_2025-09-08 09_43_02.719,1.15,PI576379,2,3,2.5
1011_LeafPhotoA_2025-09-08 09_43_19.114,0.02,PI576379,2.5,NA,2.5
1012_LeafPhotoA_2025-09-08 09_43_43.769,0.45,SC0540,2.5,NA,2.5
1012_LeafPhotoA_2025-09-08 09_44_03.312,3.74,SC0540,3.5,NA,3.5
1012_LeafPhotoA_2025-09-08 09_44_21.398,6.67,SC0540,3.5,NA,3.5
1013_LeafPhotoA_2025-09-08 09_44_55.247,0,PI533993,1,NA,1
1013_LeafPhotoA_2025-09-08 09_45_15.101,0,PI533993,1.5,1,1.25
1013_LeafPhotoA_2025-09-08 09_45_36.458,0,PI533993,1.5,NA,1.5
1014_LeafPhotoA_2025-09-08 09_46_05.675,15.35,SC0834,4,3.5,3.75
1014_LeafPhotoA_2025-09-08 09_46_27.231,1.62,SC0834,3,NA,3
1014_LeafPhotoA_2025-09-08 09_46_45.331,6.6,SC0834,3,NA,3
1015_LeafPhotoA_2025-09-08 09_47_54.758,0.03,PI597959,1.5,NA,1.5
1015_LeafPhotoA_2025-09-08 09_48_10.333,0.23,PI597959,2.5,NA,2.5
1015_LeafPhotoA_2025-09-08 09_48_38.527,0.14,PI597959,2.5,NA,2.5
