genotype,tpm
BTx3197,3.18
BTx378,2.46
BTx399,2.67
BTx645,1.57
Comb7078,5.47
Day,3.53
ElMota,2.37
FeteritaGishesh,5.42
PI152651,3.32
PI153844,6.47
PI153846,4.36
PI22326,5.47
PI24969,2.04
PI260213,5.21
PI276837,1.54
PI34911,1.79
PI533745,4.56
PI533746,2.18
PI533747,2.5
PI533749,3.18
PI533750,3.27
PI533751,3.36
PI533752,2.56
PI533753,4.67
PI533754,4.33
PI533755,5.31
PI533756,8.09
PI533757,2.55
PI533758,1.21
PI533759,2.52
PI533760,4.47
PI533761,5.53
PI533762,7.99
PI533764,2.35
PI533765,2.75
PI533766,5.46
PI533767,1.67
PI533769,5.49
PI533770,5.62
PI533771,6.28
PI533773,8.7
PI533774,7.79
PI533775,2.18
PI533776,4.51
PI533777,9.22
PI533778,1.35
PI533783,2.86
PI533784,4.39
PI533785,2.71
PI533786,1.46
PI533789,4.64
PI533790,5.1
PI533791,6.31
PI533792,3.89
PI533793,4.41
PI533794,6.61
PI533795,4.64
PI533796,3.81
PI533797,7.1
PI533798,1.3
PI533799,5.94
PI533800,4.17
PI533801,1.98
PI533802,3.06
PI533803,3.34
PI533804,3.72
PI533805,9.94
PI533807,0.88
PI533808,4.47
PI533809,8.07
PI533810,3.08
PI533811,7.3
PI533812,6.79
PI533813,2.4
PI533814,2.8
PI533815,4.9
PI533816,2.78
PI533817,3.83
PI533818,9.66
PI533819,9.16
PI533821,1.41
PI533822,7.64
PI533823,1.55
PI533824,14.39
PI533825,8.64
PI533827,2.41
PI533828,5.17
PI533829,4.44
PI533831,2.04
PI533833,5.19
PI533835,3.4
PI533836,4.5
PI533837,12.05
PI533838,5.71
PI533840,3.6
PI533842,6.99
PI533843,5.15
PI533844,7.57
PI533845,3.78
PI533846,5.99
PI533847,2.93
PI533848,7.24
PI533850,2.4
PI533851,13.74
PI533852,3.95
PI533853,3.81
PI533855,8.14
PI533857,3.73
PI533859,6.37
PI533860,7.08
PI533861,4.9
PI533864,3.38
PI533865,2.22
PI533866,4.92
PI533867,10.03
PI533869,5.03
PI533870,4.1
PI533871,1.99
PI533872,3.9
PI533873,1.89
PI533874,1.92
PI533877,6.03
PI533878,2.15
PI533880,1.89
PI533881,1.95
PI533882,4.96
PI533883,3.39
PI533884,3.39
PI533885,3.04
PI533886,1.43
PI533887,1.67
PI533888,4.08
PI533889,3.89
PI533891,3.46
PI533893,3.38
PI533894,8.38
PI533897,10.75
PI533898,3.18
PI533899,0.59
PI533900,4.12
PI533901,3.42
PI533903,2.88
PI533904,3.22
PI533905,5.17
PI533906,4.08
PI533907,7.5
PI533908,2.94
PI533909,4.95
PI533911,0.85
PI533912,4.4
PI533913,7.35
PI533914,1.67
PI533915,3.75
PI533916,4.98
PI533917,1.6
PI533918,2.31
PI533919,9.18
PI533920,5.56
PI533921,1.53
PI533922,5.33
PI533923,3.32
PI533924,3.84
PI533925,9.5
PI533926,1.76
PI533928,3.18
PI533929,8.42
PI533930,5.91
PI533931,4.43
PI533933,2.47
PI533934,2.95
PI533935,10.94
PI533936,4.04
PI533937,5.68
PI533939,3.94
PI533940,3.47
PI533941,4.5
PI533942,6.62
PI533944,2.93
PI533946,3.24
PI533947,7.57
PI533949,1.72
PI533950,1.55
PI533951,2.74
PI533953,6.86
PI533955,9.26
PI533956,6.1
PI533957,3.5
PI533958,7.58
PI533960,3.55
PI533961,5.63
PI533962,6.84
PI533963,5.65
PI533964,5.17
PI533965,11.11
PI533966,5.99
PI533967,6.25
PI533968,4.99
PI533969,4.72
PI533970,2.09
PI533971,3.47
PI533974,5.23
PI533975,5.95
PI533976,2.87
PI533977,4.02
PI533978,4.85
PI533979,6.57
PI533980,0.39
PI533981,3.27
PI533982,1.27
PI533983,11.48
PI533984,11.74
PI533985,3.52
PI533986,2.81
PI533987,4.04
PI533988,4.5
PI533989,4.27
PI533990,3.44
PI533991,6.7
PI533992,4.1
PI533993,2.23
