trait,environment,broad_sense_h2,genotype_vcov,residual_vcov,phenotypic_v_for_h2,total_vcov,mean_environments_per_genotype_harmonic,mean_plot_reps_per_genotype_environment_harmonic,mean_plot_reps_per_genotype_harmonic,genotype_x_environment_vcov,n_plot_means,n_genotypes,model,heritability_method,converged,has_warning,boundary_solution,boundary_vcov_sources,genotype_boundary,singular,h2_reliable,status,warning,error
embedding_mean_0,Nebraska2025,0.2103957162326166,0.00039835861042830526,0.002639314802583745,0.0018933779525618958,0.003987197369438869,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_1,Nebraska2025,0.31532514451983035,0.0009381447039937595,0.0035961681358755646,0.00297516617465551,0.006932739223120963,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_2,Nebraska2025,0.31223124265770547,0.0014154995283739771,0.005504529418779004,0.004533497405081171,0.010829228291722568,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_3,Nebraska2025,0.4115059646922129,0.0015433830668459517,0.003896584009146484,0.0037505727723784747,0.005911129293966438,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_4,Nebraska2025,0.08809338185697317,0.00025733300662810074,0.004702696606630952,0.0029211389233064293,0.005540109056462732,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_5,Nebraska2025,0.15161453037616476,0.00018415482972223172,0.00181919767385529,0.0012146252029098564,0.003076787207843815,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_6,Nebraska2025,0.34553677877012556,0.0008986073888201348,0.0030047291663336784,0.002600612855217792,0.004703312767550738,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_7,Nebraska2025,0.3224511438519952,0.0006693905910202043,0.0024831369943775178,0.0020759442283989973,0.003864528490119453,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_8,Nebraska2025,0.4017488048487464,0.0015166056460044126,0.0039869981293729675,0.0037750097267256247,0.006678485787637306,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_9,Nebraska2025,0.31287063377008095,0.0009656806075692953,0.003744135866057759,0.003086517248144626,0.0073489086132577245,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
