trait,environment,broad_sense_h2,genotype_vcov,residual_vcov,phenotypic_v_for_h2,total_vcov,mean_environments_per_genotype_harmonic,mean_plot_reps_per_genotype_environment_harmonic,mean_plot_reps_per_genotype_harmonic,genotype_x_environment_vcov,n_plot_means,n_genotypes,model,heritability_method,converged,has_warning,boundary_solution,boundary_vcov_sources,genotype_boundary,singular,h2_reliable,status,warning,error
embedding_mean_0,Nebraska2025,0.6098678904134064,0.0022527890899954103,0.0025441390503316424,0.0036938968675139295,0.00572726573196366,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_1,Nebraska2025,0.5493241703666122,0.0023044965261549344,0.0033377668592699827,0.004195148603450203,0.007527209837966446,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_2,Nebraska2025,0.33310711812503063,0.0004040268373527782,0.0014279952563700667,0.001212903643809641,0.0021070963061680303,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_3,Nebraska2025,0.4401444672680727,0.0009143188499751768,0.002053159944356557,0.0020773153316006703,0.003463462504229995,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_4,Nebraska2025,0.4759586807356785,0.0008651742563310354,0.0016816834477099798,0.0018177507656625892,0.0032380368683842453,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_5,Nebraska2025,0.47201459394623574,0.0007787466258037239,0.001537825478175749,0.0016498359071762643,0.002769384214473482,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_6,Nebraska2025,0.4191083835167167,0.0005629669534675977,0.0013775140741654284,0.0013432490868919662,0.0022726305865812275,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_7,Nebraska2025,0.4393768676698155,0.0008107772451475934,0.001826332126270571,0.0018452888734162471,0.002998696280003298,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_8,Nebraska2025,0.5885057607510484,0.0023910974919486823,0.002951581007833066,0.004062997597333923,0.006324151418257891,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_9,Nebraska2025,0.5445647969316019,0.0011437348849270672,0.0016886777574307025,0.002100273266600305,0.0035903911258901417,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_10,Nebraska2025,0.7288774816298094,0.0059500746068199975,0.003907309831392215,0.008163339870941424,0.012031852910182758,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_11,Nebraska2025,0.5262419889877122,0.0007003313048552941,0.0011130610639627433,0.0013308160874856507,0.0022541059299561,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_12,Nebraska2025,0.49402480921290914,0.002533334777112459,0.004580547918841677,0.005127950519627996,0.008596959022663482,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_13,Nebraska2025,0.4983457045489601,0.001549844400813018,0.0027542686363806876,0.0031099784480248353,0.004632126233203283,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_14,Nebraska2025,0.3649309782468763,0.0006347651345972977,0.0019501483229293866,0.0017394114844585164,0.004356521011418862,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_15,Nebraska2025,0.37777293928571437,0.0008231321916392922,0.0023934922093327396,0.002178907237759418,0.004467610118726909,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_16,Nebraska2025,0.6660672512435237,0.0017629688564327656,0.001560378485749943,0.002646833113535256,0.0036363711558816186,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_17,Nebraska2025,0.4833905121091968,0.0009511951362256237,0.0017946437841212394,0.001967757149546102,0.0031673692771568077,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_18,Nebraska2025,0.3171023590420158,0.0024146535754357963,0.009180267877071609,0.00761474491306404,0.012238926986587361,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_19,Nebraska2025,0.462664710677086,0.0008206415244313682,0.0016825844028980862,0.0017737283728218685,0.0026726807992069456,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_20,Nebraska2025,0.4887531897013872,0.0012219045303035502,0.002256434149032211,0.0025000441041624615,0.005751337960022784,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_21,Nebraska2025,0.49459574109501164,0.0008527306164738,0.0015383131874408152,0.0017240961569662825,0.0025776051821202123,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
