genotype,total_plot_dry_weight_g
PI152651,7169.3857
PI17548,8703.45
PI24969,12754.4054
PI276837,7819.3333
PI329435,5020.3946
PI329440,3553.55
PI34911,8001.1232
PI35038,12029.7048
PI48770,9404.85
PI533750,7372.8667
PI533752,6807.271
PI533754,5894.4928
PI533755,8992.4281
PI533757,5956.3886
PI533758,5722.1755
PI533759,5925.2344
PI533760,3540.4
PI533761,2800.8229
PI533762,5566.9645
PI533766,4975.3455
PI533769,4625.36
PI533776,8533.3568
PI533785,6471.3
PI533788,6009.908
PI533789,8980.2
PI533792,4634.975
PI533794,7050.3038
PI533799,2902.0997
PI533800,7124.0625
PI533807,7014.0915
PI533810,14065.0562
PI533814,5755.1592
PI533821,7230.8829
PI533822,4492.26
PI533824,5155.5769
PI533830,6656.7526
PI533831,5433.012
PI533833,5508.1796
PI533838,3819.2
PI533839,6053.6
PI533841,7324.8623
PI533842,6129.5723
PI533843,9423.997
PI533845,7853.2424
PI533852,5892.1577
PI533855,11310.4
PI533856,6367.387
PI533863,9190.0625
PI533866,5958.5065
PI533869,7265.4064
PI533871,7298.2919
PI533876,6597.5661
PI533877,5195.85
PI533878,3085.8
PI533882,4194.8789
PI533901,6047.8887
PI533902,5854.9787
PI533903,7871.7692
PI533910,7091.8953
PI533911,7675.0776
PI533912,3766.819
PI533913,3560.6536
PI533915,8420.8721
PI533919,9731.1862
PI533921,9731.4988
PI533924,3075.9548
PI533927,2222.3214
PI533936,5562.7676
PI533937,6536.6053
PI533938,4933.8553
PI533939,6571.5704
PI533940,7039.4593
PI533943,5302.2717
PI533948,5821.9535
PI533949,5457
PI533954,6027
PI533955,7123.146
PI533956,7038.13
PI533957,5105.2862
PI533961,4399.3143
PI533962,7188.9797
PI533964,5944.7746
PI533965,6034.4681
PI533967,6072.39
PI533970,7793.6667
PI533972,12152.5403
PI533976,6764.3154
PI533979,5878.45
PI533980,5681.68
PI533985,7803
PI533986,9248.5976
PI533987,5910.878
PI533989,5277.4634
PI533991,6757.3898
PI533996,7131.4056
PI533997,6560.8696
PI533998,7226.0032
PI534009,5556.8229
PI534021,5444.25
PI534028,6576.1662
PI534037,7480.0803
PI534046,6073.452
PI534047,7263.7071
PI534053,7035.875
PI534054,5786.46
PI534063,5616.6667
PI534070,4352.1533
PI534075,7878.6909
PI534079,5179.7903
PI534088,7735.372
PI534092,5883.9061
PI534096,4960.6452
PI534097,6091.2
PI534099,7289.8615
PI534101,6640.8174
PI534104,8797.05
PI534105,9037.409
PI534108,7513.1714
PI534112,7566.6878
PI534114,6560.8917
PI534115,4430.9225
PI534116,6741.108
PI534117,6946.0511
PI534123,7200.6474
PI534124,6503.0304
PI534127,11699.1682
PI534128,9607.1821
PI534132,5404.0775
PI534133,8144.013
PI534135,5127.1672
PI534137,6342.5393
PI534138,5651.3333
PI534139,7611.275
PI534144,6786.4
PI534145,5265.3971
PI534148,8043.5673
PI534155,5359.4286
PI534157,6813.4
PI534163,7870.4514
PI534167,6834.4976
PI540816,4862.1378
PI542406,6745.4789
PI542718,6348.6783
PI548797,7447.4514
PI552856,7511.7143
PI552861,6718.8818
PI561071,6469.3265
PI561072,5191.9971
PI561073,8233.7538
PI561472,9144.3257
PI564163,5978.336964893617
PI564164,6882.0894
PI564165,7536.5685
PI565121,6008.8853
PI566819,14870.3929
PI574455,7993.76
PI576130,9970.4919
PI576332,7034.3648
PI576333,7283.3091
PI576337,5965.4214
PI576339,5087.0065
PI576340,7549.0556
PI576345,8771.3681
PI576347,4825.7891
PI576348,6799.1902
PI576349,4553.3727
PI576350,5241.7697
PI576352,6675.7277
PI576359,6762.8846
PI576364,6854.2941
PI576366,3499.15
PI576373,7690.407
PI576375,8825.2725
PI576376,6958.6426
PI576380,5826.3662
PI576381,7848.7311
PI576385,7111.4286
PI576386,9021.5434
PI576390,5550.5273
PI576391,6617.9492
PI576393,6127.6111
PI576394,17510.2367
PI576396,4314.53
PI576399,7901.4519
PI576401,6759.9
PI576418,7876.0865
PI576422,9007.8519
PI576425,6899.8711
PI576426,6404.3368
PI576428,6357.9348
PI576434,5401.25
PI576435,3737.7261
PI576437,9606.025
PI585291,6337.1933
PI585295,5274.7258
PI595699,4921.6067
PI595702,9001.9717
PI595714,5871.775
PI595718,4009.4061
PI595720,6128.1333
PI595739,5601.4686
PI595740,8723.9982
PI595741,5659.68
PI595743,6968.0338
PI595744,5679.8384
PI595745,4968.6
PI597945,5905.25
PI597946,5228.663
PI597949,5694.54
PI597950,7378.4204
PI597951,4551.3143
PI597952,4636.45
PI597957,6274.5521
PI597958,6963.2195
PI597960,8342.1148
PI597961,4658.0083
PI597964,6237.3161
PI597965,5941.8462
PI597966,5847.41
PI597967,5109.6364
PI597968,6240.25
PI597971,7058.2355
PI597972,6724.381
PI597973,7975.0667
PI597976,8394.7605
PI597980,6426.0651
PI597982,5968.0625
PI598070,6470.772
PI601816,9314.7353
PI607931,8093.2831
PI609456,7403.7417
PI613536,6730.6433
PI629034,6579.3506
PI629059,8804.8667
PI641824,9741
PI641836,13089.5
PI641849,9325.3721
PI641874,6332.464
PI642791,8999.9562
PI642793,5344.9654
PI642998,11807.1385
PI651492,11510.7
PI651496,11233.25
PI653616,7075.6118
PI653617,9714.0506
PI655970,9034.1125
PI655971,5641.3889
PI655972,10583.5092
PI655973,9946.3052
PI655974,8223.825
PI655975,5603.2
PI655976,6281.0087
PI655977,4488.4375
PI655979,7447.3412
PI655980,10342.5951
PI655981,8915.0417
PI655982,3611.2429
PI655983,13250.2552
PI655984,8511.6046
PI655985,6571.675
PI655986,7049.8979
PI655987,8618.8627
PI655988,9271.3152
PI655989,8352.1625
PI655990,8072.7419
PI655991,7266.0176
PI655992,8973.2323
PI655993,6296.5217
PI655994,9290.5773
PI655996,8065.3146
PI655997,4829.7
PI655998,6437.2
PI655999,6334.2632
PI656000,7025.92
PI656001,9321.6127
PI656002,8720.5716
PI656003,7894.9333
PI656004,7182.4
PI656005,4329.4364
PI656006,7722.7956
PI656007,4234
PI656008,7641.7779
PI656009,4114.15
PI656010,7494.2237
PI656011,7582.3705
PI656012,8205.8261
PI656013,10521.6
PI656014,8126.14
PI656015,9342.9167
PI656016,5435.641
