trait,source,proportion_variance,broad_sense_h2,heritability_method,model
IC0,Genotype,0.020555080061428,0.1008679456789015,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC0,Genotype x Environment,6.57184224547082e-13,0.1008679456789015,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC0,Environment,0.0,0.1008679456789015,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC0,Spatial,0.0710251888507107,0.1008679456789015,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC0,Device,0.1406410070202416,0.1008679456789015,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC0,Residual,0.7677787240669623,0.1008679456789015,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC1,Genotype,0.2705156780532169,0.6322819400486648,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC1,Genotype x Environment,0.1771863435471313,0.6322819400486648,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC1,Environment,0.0626927944724664,0.6322819400486648,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC1,Spatial,0.0707606544636525,0.6322819400486648,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
IC1,Device,0.049776708939822,0.6322819400486648,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|device) + (1|genotype) + (1|genotype_x_environment)
