trait,source,proportion_variance,broad_sense_h2,heritability_method,model
IC0,Genotype,0.0282739033499033,0.0651289704936311,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC0,Spatial Factors,0.2310082581616655,0.0651289704936311,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC0,Residual,0.740717838488431,0.0651289704936311,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC1,Genotype,0.4554601591419227,0.6776010739675424,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC1,Spatial Factors,0.1490280450496492,0.6776010739675424,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC1,Residual,0.395511795808428,0.6776010739675424,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC2,Genotype,0.0605044081055098,0.2254190020158612,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC2,Spatial Factors,0.5600470582502942,0.2254190020158612,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC2,Residual,0.3794485336441958,0.2254190020158612,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC3,Genotype,0.1329897846206833,0.2290275115837596,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC3,Spatial Factors,0.0499406099694016,0.2290275115837596,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC3,Residual,0.817069605409915,0.2290275115837596,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC4,Genotype,0.1267412926298051,0.3774424119030649,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC4,Spatial Factors,0.4917218391738063,0.3774424119030649,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC4,Residual,0.3815368681963884,0.3774424119030649,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC5,Genotype,0.2742107578403306,0.4707389941088645,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC5,Spatial Factors,0.1631062890490054,0.4707389941088645,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC5,Residual,0.5626829531106639,0.4707389941088645,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC6,Genotype,0.2917508845075093,0.5498683211818738,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC6,Spatial Factors,0.2723533944151249,0.5498683211818738,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC6,Residual,0.4358957210773655,0.5498683211818738,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC7,Genotype,0.2146993288038917,0.4767764231685239,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC7,Spatial Factors,0.35527659939185874,0.4767764231685239,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC7,Residual,0.4300240718042494,0.4767764231685239,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC8,Genotype,0.2898362257083512,0.4514601537786231,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC8,Spatial Factors,0.06743022896210729,0.4514601537786231,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC8,Residual,0.6427335453295414,0.4514601537786231,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC9,Genotype,0.3107285853856414,0.5050131038864698,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC9,Spatial Factors,0.1334160405562255,0.5050131038864698,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC9,Residual,0.555855374058133,0.5050131038864698,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC10,Genotype,0.3528260219322006,0.5298943674381934,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC10,Spatial Factors,0.0758843941444276,0.5298943674381934,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC10,Residual,0.5712895839233717,0.5298943674381934,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC11,Genotype,0.2984562471452011,0.4943131848393996,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC11,Spatial Factors,0.14429429357968498,0.4943131848393996,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC11,Residual,0.5572494592751138,0.4943131848393996,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC12,Genotype,0.5284175303342583,0.7166488438775697,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC12,Spatial Factors,0.0902661896624659,0.7166488438775697,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC12,Residual,0.3813162800032755,0.7166488438775697,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC13,Genotype,0.2023673192775272,0.3501352672849617,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC13,Spatial Factors,0.11211756303442941,0.3501352672849617,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC13,Residual,0.6855151176880433,0.3501352672849617,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC14,Genotype,0.184521577928315,0.5012704254467188,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC14,Spatial Factors,0.4804128964921791,0.5012704254467188,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC14,Residual,0.3350655255795057,0.5012704254467188,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC15,Genotype,0.4070853077237389,0.6350928947944978,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC15,Spatial Factors,0.1660207026954377,0.6350928947944978,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC15,Residual,0.4268939895808233,0.6350928947944978,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC16,Genotype,0.2168163816357899,0.3585303568376708,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC16,Spatial Factors,0.0751859720982463,0.3585303568376708,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC16,Residual,0.7079976462659637,0.3585303568376708,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
IC17,Genotype,0.1595502293191599,0.5033652584382269,lme4_2.0.1_reml_line_mean,trait ~ log_estimated_leaf_area_scaled + (1|row) + (1|column) + (1|device) + (1|genotype)
