gene_id,start,end,strand
Sobic.009G248000,62120763,62121919,+
Sobic.009G248100,62134735,62136730,-
Sobic.009G248200,62142233,62143828,+
Sobic.009G248300,62143952,62149787,-
Sobic.009G248500,62170729,62173131,-
Sobic.009G248600,62212543,62215125,+
Sobic.009G248700,62219851,62221401,+
Sobic.009G248802,62224278,62225147,-
Sobic.009G248900,62229293,62232477,+
Sobic.009G249000,62232406,62237451,-
Sobic.009G249100,62236066,62242580,-
Sobic.009G249200,62253093,62258489,+
Sobic.009G249400,62263243,62265854,+
Sobic.009G249500,62266072,62271442,-
Sobic.009G249600,62274496,62277437,-
Sobic.009G249700,62290262,62296360,+
Sobic.009G249800,62301245,62309636,-
Sobic.009G249900,62325155,62331431,+
Sobic.009G250000,62331747,62337155,-
Sobic.009G250100,62343576,62348750,+
Sobic.009G250200,62349111,62353243,+
Sobic.009G250300,62355175,62357219,+
Sobic.009G250400,62373942,62377839,+
Sobic.009G250500,62377854,62378941,+
Sobic.009G250600,62379821,62380603,+
Sobic.009G250650,62380604,62381297,+
Sobic.009G250700,62383850,62386826,+
Sobic.009G250800,62386827,62389039,-
Sobic.009G250900,62391709,62397674,-
Sobic.009G251000,62399542,62405414,+
Sobic.009G251100,62402346,62411399,-
Sobic.009G251200,62428208,62430745,-
Sobic.009G251300,62431311,62434200,-
Sobic.009G251400,62442909,62446141,-
Sobic.009G251500,62453010,62464397,-
Sobic.009G251600,62465473,62468108,+
Sobic.009G251700,62468311,62471140,-
Sobic.009G251800,62473289,62478526,+
Sobic.009G251901,62479704,62480222,+
