gene_id,strand,seg_start,seg_end,kind
Sobic.009G248000,+,62120763,62120841,UTR
Sobic.009G248000,+,62120842,62121600,CDS
Sobic.009G248000,+,62121601,62121919,UTR
Sobic.009G248100,-,62134735,62135817,UTR
Sobic.009G248100,-,62135818,62136633,CDS
Sobic.009G248100,-,62136634,62136730,UTR
Sobic.009G248200,+,62142233,62142791,UTR
Sobic.009G248200,+,62142792,62143145,CDS
Sobic.009G248200,+,62143146,62143828,UTR
Sobic.009G248300,-,62149362,62149570,CDS
Sobic.009G248300,-,62149571,62149787,UTR
Sobic.009G248300,-,62148779,62148900,CDS
Sobic.009G248300,-,62148536,62148624,CDS
Sobic.009G248300,-,62148423,62148458,CDS
Sobic.009G248300,-,62148028,62148121,CDS
Sobic.009G248300,-,62147751,62147793,CDS
Sobic.009G248300,-,62147566,62147663,CDS
Sobic.009G248300,-,62147116,62147174,CDS
Sobic.009G248300,-,62146543,62147039,CDS
Sobic.009G248300,-,62146386,62146458,CDS
Sobic.009G248300,-,62146229,62146309,CDS
Sobic.009G248300,-,62145512,62146077,CDS
Sobic.009G248300,-,62145214,62145352,CDS
Sobic.009G248300,-,62145042,62145110,CDS
Sobic.009G248300,-,62144670,62144909,CDS
Sobic.009G248300,-,62143952,62144472,UTR
Sobic.009G248300,-,62144473,62144586,CDS
Sobic.009G248500,-,62171589,62173022,CDS
Sobic.009G248500,-,62173023,62173131,UTR
Sobic.009G248500,-,62170729,62171069,UTR
Sobic.009G248500,-,62171070,62171504,CDS
Sobic.009G248600,+,62212543,62212634,UTR
Sobic.009G248600,+,62212635,62214137,CDS
Sobic.009G248600,+,62214241,62214666,CDS
Sobic.009G248600,+,62214667,62215125,UTR
Sobic.009G248700,+,62219851,62221401,CDS
Sobic.009G248802,-,62225111,62225147,CDS
Sobic.009G248802,-,62224946,62225009,CDS
Sobic.009G248802,-,62224278,62224623,CDS
Sobic.009G248900,+,62229293,62229864,UTR
Sobic.009G248900,+,62229865,62229993,CDS
Sobic.009G248900,+,62230140,62230222,CDS
Sobic.009G248900,+,62230845,62230995,CDS
Sobic.009G248900,+,62231080,62231179,CDS
Sobic.009G248900,+,62231273,62231353,CDS
Sobic.009G248900,+,62231452,62231521,CDS
Sobic.009G248900,+,62231637,62231671,CDS
Sobic.009G248900,+,62231786,62231874,CDS
Sobic.009G248900,+,62231987,62232142,CDS
Sobic.009G248900,+,62232143,62232477,UTR
Sobic.009G249000,-,62235755,62236484,CDS
Sobic.009G249000,-,62236485,62237451,UTR
Sobic.009G249000,-,62235225,62235368,CDS
Sobic.009G249000,-,62234936,62235088,CDS
Sobic.009G249000,-,62234600,62234715,CDS
Sobic.009G249000,-,62234327,62234494,CDS
Sobic.009G249000,-,62233917,62234044,CDS
Sobic.009G249000,-,62233723,62233822,CDS
Sobic.009G249000,-,62232406,62233241,UTR
Sobic.009G249000,-,62233242,62233328,CDS
Sobic.009G249100,-,62242018,62242580,UTR
Sobic.009G249100,-,62236066,62238418,UTR
Sobic.009G249100,-,62238419,62240383,CDS
Sobic.009G249100,-,62240384,62240618,UTR
Sobic.009G249200,+,62253093,62253367,UTR
Sobic.009G249200,+,62254493,62254624,UTR
Sobic.009G249200,+,62254625,62254777,CDS
Sobic.009G249200,+,62254874,62254930,CDS
Sobic.009G249200,+,62255015,62255123,CDS
Sobic.009G249200,+,62255991,62256175,CDS
Sobic.009G249200,+,62256257,62256345,CDS
Sobic.009G249200,+,62256920,62257181,CDS
Sobic.009G249200,+,62257256,62257507,CDS
Sobic.009G249200,+,62257651,62257971,CDS
Sobic.009G249200,+,62257972,62258489,UTR
Sobic.009G249400,+,62263243,62263447,UTR
Sobic.009G249400,+,62263448,62265718,CDS
Sobic.009G249400,+,62265719,62265854,UTR
Sobic.009G249500,-,62270849,62271015,CDS
Sobic.009G249500,-,62271016,62271442,UTR
Sobic.009G249500,-,62269384,62269432,CDS
Sobic.009G249500,-,62268726,62268889,CDS
Sobic.009G249500,-,62268467,62268504,CDS
Sobic.009G249500,-,62267390,62267502,CDS
Sobic.009G249500,-,62267148,62267261,CDS
Sobic.009G249500,-,62266698,62267036,CDS
Sobic.009G249500,-,62266072,62266424,UTR
Sobic.009G249500,-,62266425,62266508,CDS
Sobic.009G249600,-,62277093,62277219,CDS
Sobic.009G249600,-,62277220,62277435,UTR
Sobic.009G249600,-,62274496,62276230,UTR
Sobic.009G249600,-,62276231,62276994,CDS
Sobic.009G249700,+,62290262,62290614,UTR
Sobic.009G249700,+,62290615,62290662,CDS
Sobic.009G249700,+,62290936,62291079,CDS
Sobic.009G249700,+,62291931,62292083,CDS
Sobic.009G249700,+,62292635,62293144,CDS
Sobic.009G249700,+,62293240,62294772,CDS
Sobic.009G249700,+,62294843,62294911,CDS
Sobic.009G249700,+,62295597,62295713,CDS
Sobic.009G249700,+,62295714,62296360,UTR
Sobic.009G249800,-,62309063,62309144,CDS
Sobic.009G249800,-,62309145,62309636,UTR
Sobic.009G249800,-,62308891,62308976,CDS
Sobic.009G249800,-,62308090,62308167,CDS
Sobic.009G249800,-,62307851,62307982,CDS
Sobic.009G249800,-,62307471,62307521,CDS
Sobic.009G249800,-,62307232,62307372,CDS
Sobic.009G249800,-,62307027,62307149,CDS
Sobic.009G249800,-,62306849,62306926,CDS
Sobic.009G249800,-,62306594,62306683,CDS
Sobic.009G249800,-,62306370,62306489,CDS
Sobic.009G249800,-,62306163,62306246,CDS
Sobic.009G249800,-,62305779,62305877,CDS
Sobic.009G249800,-,62305503,62305691,CDS
Sobic.009G249800,-,62304529,62304604,CDS
Sobic.009G249800,-,62304172,62304275,CDS
Sobic.009G249800,-,62303795,62304051,CDS
Sobic.009G249800,-,62302912,62302998,CDS
Sobic.009G249800,-,62302328,62302555,CDS
Sobic.009G249800,-,62301987,62302065,CDS
Sobic.009G249800,-,62301848,62301911,CDS
Sobic.009G249800,-,62301245,62301635,UTR
Sobic.009G249800,-,62301636,62301745,CDS
Sobic.009G249900,+,62326263,62327834,UTR
Sobic.009G249900,+,62327835,62327973,CDS
Sobic.009G249900,+,62328568,62328877,CDS
Sobic.009G249900,+,62328972,62329073,CDS
Sobic.009G249900,+,62329268,62330085,CDS
Sobic.009G249900,+,62330662,62331206,CDS
Sobic.009G249900,+,62331207,62331431,UTR
Sobic.009G250000,-,62336462,62336551,CDS
Sobic.009G250000,-,62336552,62337155,UTR
Sobic.009G250000,-,62335616,62336284,CDS
Sobic.009G250000,-,62332252,62332776,CDS
Sobic.009G250000,-,62331747,62332093,UTR
Sobic.009G250000,-,62332094,62332183,CDS
Sobic.009G250100,+,62343642,62344162,UTR
Sobic.009G250100,+,62344163,62346201,CDS
Sobic.009G250100,+,62347418,62347478,CDS
Sobic.009G250100,+,62347559,62347782,CDS
Sobic.009G250100,+,62347957,62348011,CDS
Sobic.009G250100,+,62348012,62348742,UTR
Sobic.009G250200,+,62349111,62349679,UTR
Sobic.009G250200,+,62349680,62349881,CDS
Sobic.009G250200,+,62349986,62350216,CDS
Sobic.009G250200,+,62350338,62350435,CDS
Sobic.009G250200,+,62350920,62351864,CDS
Sobic.009G250200,+,62351865,62353243,UTR
Sobic.009G250300,+,62355175,62355195,UTR
Sobic.009G250300,+,62355196,62355387,CDS
Sobic.009G250300,+,62355492,62355701,CDS
Sobic.009G250300,+,62355816,62355927,CDS
Sobic.009G250300,+,62356018,62356922,CDS
Sobic.009G250300,+,62356923,62357219,UTR
Sobic.009G250400,+,62373942,62374310,UTR
Sobic.009G250400,+,62374311,62374694,CDS
Sobic.009G250400,+,62374802,62375077,CDS
Sobic.009G250400,+,62375180,62375326,CDS
Sobic.009G250400,+,62375426,62375929,CDS
Sobic.009G250400,+,62376046,62376240,CDS
