trait,POS,p_value
embedding_mean_151,1650016,0.7861624360084534
embedding_mean_151,1650028,0.42972713708877563
embedding_mean_151,1650029,0.6687050461769104
embedding_mean_151,1650058,0.7087189555168152
embedding_mean_151,1650104,0.2706426978111267
embedding_mean_151,1650130,0.6625294089317322
embedding_mean_151,1650131,0.6625294089317322
embedding_mean_151,1650234,0.9688076972961426
embedding_mean_151,1650295,0.8398188948631287
embedding_mean_151,1650316,0.8398188948631287
embedding_mean_151,1650358,0.8332551717758179
embedding_mean_151,1650361,0.7799742221832275
embedding_mean_151,1650365,0.8782302141189575
embedding_mean_151,1650367,0.8782302141189575
embedding_mean_151,1650604,0.4862869381904602
embedding_mean_151,1650678,0.859653651714325
embedding_mean_151,1650689,0.859653651714325
embedding_mean_151,1650692,0.8157212138175964
embedding_mean_151,1650694,0.8157212138175964
embedding_mean_151,1650733,0.3389706611633301
embedding_mean_151,1650776,0.8128455877304077
embedding_mean_151,1650804,0.959350049495697
embedding_mean_151,1650830,0.9416285753250122
embedding_mean_151,1650832,0.70548415184021
embedding_mean_151,1650874,0.5877025127410889
embedding_mean_151,1650964,0.4161866307258606
embedding_mean_151,1650991,0.8332188725471497
embedding_mean_151,1651004,0.6490825414657593
embedding_mean_151,1651089,0.778501570224762
embedding_mean_151,1651101,0.4892967939376831
embedding_mean_151,1651113,0.8131511807441711
embedding_mean_151,1651134,0.7189419865608215
embedding_mean_151,1651140,0.8105140924453735
embedding_mean_151,1651174,0.5408428311347961
embedding_mean_151,1651311,0.9312072396278381
embedding_mean_151,1651323,0.5356873273849487
embedding_mean_151,1651398,0.8160203099250793
embedding_mean_151,1651709,0.1624157726764679
embedding_mean_151,1651863,0.8318461179733276
embedding_mean_151,1651865,0.8318461179733276
embedding_mean_151,1651873,0.42232099175453186
embedding_mean_151,1651900,0.19229836761951447
embedding_mean_151,1651903,0.2082577645778656
embedding_mean_151,1651907,0.2612556517124176
embedding_mean_151,1651908,0.19229836761951447
embedding_mean_151,1651911,0.9490402340888977
embedding_mean_151,1651938,0.3735189437866211
embedding_mean_151,1652151,0.011282249353826046
embedding_mean_151,1652190,0.2061927169561386
embedding_mean_151,1652221,0.004287155345082283
embedding_mean_151,1652262,0.004580341745167971
embedding_mean_151,1652414,0.26090681552886963
embedding_mean_151,1652452,0.48338738083839417
embedding_mean_151,1652473,0.9765682816505432
embedding_mean_151,1652478,0.8128694891929626
embedding_mean_151,1652539,0.15883369743824005
embedding_mean_151,1652657,0.012316981330513954
embedding_mean_151,1652672,0.0061774300411343575
embedding_mean_151,1652698,0.006561103276908398
embedding_mean_151,1652705,0.0017474287888035178
embedding_mean_151,1652708,0.0017474287888035178
embedding_mean_151,1652764,0.05776026099920273
embedding_mean_151,1652767,0.05776026099920273
embedding_mean_151,1652884,0.2631421983242035
embedding_mean_151,1652890,0.2924157381057739
embedding_mean_151,1652941,0.9388683438301086
embedding_mean_151,1653046,0.09087933599948883
embedding_mean_151,1653085,0.366914302110672
embedding_mean_151,1653232,0.7936383485794067
embedding_mean_151,1653301,0.8203663229942322
embedding_mean_151,1653331,0.7511141896247864
embedding_mean_151,1653361,0.895880937576294
embedding_mean_151,1653467,0.6131229996681213
embedding_mean_151,1653480,0.22875261306762695
embedding_mean_151,1653508,0.13731642067432404
embedding_mean_151,1653510,0.20247964560985565
embedding_mean_151,1653540,0.0012691282900050282
embedding_mean_151,1653580,0.010611424222588539
embedding_mean_151,1653648,0.04055716097354889
embedding_mean_151,1653651,0.01758359558880329
embedding_mean_151,1653654,0.018521741032600403
embedding_mean_151,1653658,0.018633438274264336
embedding_mean_151,1653675,0.0020472132600843906
embedding_mean_151,1653681,0.023621192201972008
embedding_mean_151,1653682,0.023621192201972008
embedding_mean_151,1653697,0.04178731143474579
embedding_mean_151,1653911,0.03054255060851574
embedding_mean_151,1653919,0.029458602890372276
embedding_mean_151,1653926,0.04174905642867088
embedding_mean_151,1653927,0.04174905642867088
embedding_mean_151,1653942,0.021522244438529015
embedding_mean_151,1653946,0.0209321528673172
embedding_mean_151,1653947,0.0209321528673172
embedding_mean_151,1653971,0.005035472568124533
embedding_mean_151,1653989,0.0036647797096520662
embedding_mean_151,1653990,0.0036647797096520662
embedding_mean_151,1653998,0.004560967907309532
embedding_mean_151,1654192,0.010851631872355938
embedding_mean_151,1654236,0.9989175796508789
embedding_mean_151,1654237,0.008503572084009647
embedding_mean_151,1654266,5.888263694941998e-4
embedding_mean_151,1654267,0.291061133146286
embedding_mean_151,1654293,0.2954276204109192
embedding_mean_151,1654362,0.01087967213243246
embedding_mean_151,1654363,0.01087967213243246
embedding_mean_151,1654405,0.015593897551298141
embedding_mean_151,1654489,0.7998332381248474
embedding_mean_151,1654510,0.8642359972000122
embedding_mean_151,1654876,0.07206293195486069
embedding_mean_151,1654950,0.0017353299772366881
embedding_mean_151,1654959,0.36891043186187744
embedding_mean_151,1654969,0.3297261595726013
embedding_mean_151,1654979,0.32805851101875305
embedding_mean_151,1654998,0.27469801902770996
embedding_mean_151,1655035,0.19062644243240356
embedding_mean_151,1655048,0.3156262934207916
embedding_mean_151,1655087,0.02199173904955387
embedding_mean_151,1655106,0.02615327574312687
embedding_mean_151,1655125,0.07825460284948349
embedding_mean_151,1655137,0.656700074672699
embedding_mean_151,1655142,0.012473581358790398
embedding_mean_151,1655149,0.023639272898435593
embedding_mean_151,1655151,0.051100198179483414
embedding_mean_151,1655197,0.9032597541809082
embedding_mean_151,1655198,0.01558913104236126
embedding_mean_151,1655210,0.03234194964170456
embedding_mean_151,1655226,0.49057891964912415
embedding_mean_151,1655237,0.009231467731297016
embedding_mean_151,1655251,0.9748955965042114
embedding_mean_151,1655579,0.6662686467170715
embedding_mean_151,1655610,0.5174728631973267
embedding_mean_151,1655684,0.6662686467170715
embedding_mean_151,1655718,0.6662686467170715
embedding_mean_151,1655761,0.12134683132171631
embedding_mean_151,1655820,0.00647190073505044
embedding_mean_151,1655837,0.6662686467170715
embedding_mean_151,1655929,0.9279407262802124
embedding_mean_151,1655948,0.831633985042572
embedding_mean_151,1655949,0.016656355932354927
embedding_mean_151,1657248,0.0347621850669384
embedding_mean_151,1657299,0.05866746976971626
