gene_id,strand,seg_start,seg_end,kind
Sobic.004G286000,+,65377186,65377311,UTR
Sobic.004G286000,+,65377312,65377917,CDS
Sobic.004G286000,+,65378447,65378594,CDS
Sobic.004G286000,+,65378904,65379055,CDS
Sobic.004G286000,+,65379147,65379749,CDS
Sobic.004G286000,+,65379750,65379995,UTR
Sobic.004G286100,-,65385516,65385745,UTR
Sobic.004G286100,-,65381571,65381865,UTR
Sobic.004G286100,-,65381866,65382177,CDS
Sobic.004G286100,-,65382178,65382229,UTR
Sobic.004G286200,-,65389990,65391175,CDS
Sobic.004G286200,-,65391176,65391514,UTR
Sobic.004G286200,-,65389741,65389901,CDS
Sobic.004G286200,-,65388865,65389088,CDS
Sobic.004G286200,-,65387246,65387630,UTR
Sobic.004G286200,-,65387631,65388360,CDS
Sobic.004G286251,+,65392173,65392234,UTR
Sobic.004G286251,+,65392235,65393059,CDS
Sobic.004G286251,+,65393060,65395963,UTR
Sobic.004G286251,+,65396040,65396226,UTR
Sobic.004G286301,+,65401163,65401588,CDS
Sobic.004G286351,+,65406770,65406811,CDS
Sobic.004G286351,+,65408202,65408663,CDS
Sobic.004G286351,+,65408664,65408735,UTR
Sobic.004G286351,+,65408896,65409061,UTR
Sobic.004G286400,-,65411512,65411737,UTR
Sobic.004G286400,-,65411738,65412862,CDS
Sobic.004G286400,-,65412863,65413183,UTR
Sobic.004G286450,-,65415262,65415704,UTR
Sobic.004G286450,-,65414936,65414943,CDS
Sobic.004G286450,-,65414944,65415112,UTR
Sobic.004G286450,-,65414464,65414611,UTR
Sobic.004G286450,-,65414612,65414819,CDS
Sobic.004G286500,-,65422585,65422804,CDS
Sobic.004G286500,-,65422350,65422464,CDS
Sobic.004G286500,-,65421654,65421728,CDS
Sobic.004G286500,-,65421466,65421537,CDS
Sobic.004G286500,-,65421206,65421340,CDS
Sobic.004G286500,-,65421025,65421058,CDS
Sobic.004G286500,-,65420339,65420448,CDS
Sobic.004G286500,-,65419351,65419437,CDS
Sobic.004G286500,-,65419147,65419230,CDS
Sobic.004G286500,-,65418534,65418599,CDS
