gene_id,strand,seg_start,seg_end,kind
Sobic.004G229700,+,60483519,60483626,CDS
Sobic.004G229700,+,60483752,60483979,CDS
Sobic.004G229800,-,60492285,60492810,CDS
Sobic.004G229800,-,60492811,60492964,UTR
Sobic.004G229800,-,60491081,60491217,UTR
Sobic.004G229800,-,60491218,60492155,CDS
Sobic.004G229900,+,60501519,60501800,CDS
Sobic.004G230000,+,60504774,60504960,CDS
Sobic.004G230000,+,60505035,60505231,CDS
Sobic.004G230000,+,60505317,60505925,CDS
Sobic.004G230100,-,60507495,60507776,CDS
Sobic.004G230200,+,60510698,60510892,UTR
Sobic.004G230200,+,60510893,60511406,CDS
Sobic.004G230200,+,60511562,60512502,CDS
Sobic.004G230200,+,60512503,60512700,UTR
Sobic.004G230300,+,60515288,60515602,UTR
Sobic.004G230300,+,60516192,60516310,UTR
Sobic.004G230300,+,60523421,60523429,UTR
Sobic.004G230300,+,60523430,60523588,CDS
Sobic.004G230300,+,60523697,60523970,CDS
Sobic.004G230300,+,60524092,60524194,CDS
Sobic.004G230300,+,60524292,60524422,CDS
Sobic.004G230300,+,60524498,60524579,CDS
Sobic.004G230300,+,60524697,60524823,CDS
Sobic.004G230300,+,60524984,60525135,CDS
Sobic.004G230300,+,60525238,60525649,CDS
Sobic.004G230300,+,60525739,60525797,CDS
Sobic.004G230300,+,60525909,60525972,CDS
Sobic.004G230300,+,60526063,60526127,CDS
Sobic.004G230300,+,60526246,60526348,CDS
Sobic.004G230300,+,60526473,60526567,CDS
Sobic.004G230300,+,60526658,60526733,CDS
Sobic.004G230300,+,60527167,60527508,UTR
Sobic.004G230500,+,60527937,60528095,UTR
Sobic.004G230500,+,60528176,60528268,UTR
Sobic.004G230500,+,60528352,60528427,UTR
Sobic.004G230500,+,60529014,60529053,UTR
Sobic.004G230500,+,60529054,60529069,CDS
Sobic.004G230500,+,60529153,60529446,CDS
Sobic.004G230500,+,60529585,60529701,CDS
Sobic.004G230500,+,60529815,60530236,CDS
Sobic.004G230500,+,60530373,60530891,CDS
Sobic.004G230500,+,60530974,60531030,CDS
Sobic.004G230500,+,60531031,60531312,UTR
Sobic.004G230550,-,60532126,60532322,CDS
Sobic.004G230550,-,60531761,60531893,CDS
Sobic.004G230600,+,60532914,60533297,UTR
Sobic.004G230600,+,60533689,60533734,UTR
Sobic.004G230600,+,60533735,60533742,CDS
Sobic.004G230600,+,60534107,60534792,CDS
Sobic.004G230600,+,60534886,60534951,CDS
Sobic.004G230600,+,60535092,60535171,CDS
Sobic.004G230600,+,60535172,60535455,UTR
Sobic.004G230650,+,60540547,60542502,CDS
Sobic.004G230700,-,60546213,60546302,CDS
Sobic.004G230700,-,60546303,60546576,UTR
Sobic.004G230700,-,60545960,60546133,CDS
Sobic.004G230700,-,60545491,60545883,CDS
