gene_id,strand,seg_start,seg_end,kind
Sobic.004G334800,-,69249735,69249973,UTR
Sobic.004G334800,-,69248507,69248602,CDS
Sobic.004G334800,-,69248603,69248700,UTR
Sobic.004G334800,-,69248383,69248422,CDS
Sobic.004G334800,-,69248206,69248290,CDS
Sobic.004G334800,-,69247420,69247605,UTR
Sobic.004G334800,-,69247606,69247804,CDS
Sobic.004G334900,+,69251603,69251835,UTR
Sobic.004G334900,+,69251836,69252076,CDS
Sobic.004G334900,+,69252299,69252489,CDS
Sobic.004G334900,+,69252652,69252815,CDS
Sobic.004G334900,+,69252970,69253060,CDS
Sobic.004G334900,+,69253061,69253193,UTR
Sobic.004G335000,-,69257088,69257219,CDS
Sobic.004G335000,-,69257220,69257408,UTR
Sobic.004G335000,-,69256874,69256990,CDS
Sobic.004G335000,-,69256278,69256385,CDS
Sobic.004G335000,-,69255768,69255959,CDS
Sobic.004G335000,-,69255473,69255664,CDS
Sobic.004G335000,-,69254907,69255025,CDS
Sobic.004G335000,-,69254349,69254436,CDS
Sobic.004G335000,-,69254039,69254158,CDS
Sobic.004G335000,-,69253324,69253685,UTR
Sobic.004G335000,-,69253686,69253904,CDS
Sobic.004G335400,+,69286299,69286982,CDS
Sobic.004G335500,+,69314054,69314329,UTR
Sobic.004G335500,+,69314330,69314789,CDS
Sobic.004G335500,+,69314911,69315003,CDS
Sobic.004G335500,+,69315545,69315631,CDS
Sobic.004G335500,+,69316946,69317301,CDS
Sobic.004G335500,+,69317705,69317841,CDS
Sobic.004G335500,+,69317964,69318059,CDS
Sobic.004G335500,+,69318137,69318251,CDS
Sobic.004G335500,+,69318405,69318545,CDS
Sobic.004G335500,+,69318645,69318692,CDS
Sobic.004G335500,+,69318693,69319033,UTR
Sobic.004G335600,-,69322353,69322356,CDS
Sobic.004G335600,-,69322357,69322539,UTR
Sobic.004G335600,-,69321914,69322074,UTR
Sobic.004G335600,-,69322075,69322259,CDS
Sobic.004G335700,+,69322540,69322723,UTR
Sobic.004G335700,+,69322724,69322819,CDS
Sobic.004G335700,+,69322905,69322980,CDS
Sobic.004G335700,+,69323182,69323265,CDS
Sobic.004G335700,+,69323406,69323461,CDS
Sobic.004G335700,+,69323934,69323990,CDS
Sobic.004G335700,+,69324092,69324141,CDS
Sobic.004G335700,+,69324220,69324372,CDS
Sobic.004G335700,+,69324700,69324844,CDS
Sobic.004G335700,+,69325403,69325567,CDS
Sobic.004G335700,+,69325568,69325842,UTR
Sobic.004G335800,-,69328225,69328368,CDS
Sobic.004G335800,-,69328369,69328465,UTR
Sobic.004G335800,-,69327444,69327571,CDS
Sobic.004G335800,-,69327065,69327110,CDS
Sobic.004G335800,-,69326726,69326823,CDS
Sobic.004G335800,-,69326592,69326639,CDS
Sobic.004G335800,-,69326323,69326379,UTR
Sobic.004G335800,-,69326380,69326500,CDS
Sobic.004G335800,-,69325892,69326233,UTR
Sobic.004G335900,+,69328577,69328598,UTR
Sobic.004G335900,+,69328599,69328838,CDS
Sobic.004G335900,+,69329590,69329772,CDS
Sobic.004G335900,+,69329773,69329955,UTR
Sobic.004G336000,-,69338081,69338386,CDS
Sobic.004G336000,-,69338387,69338467,UTR
Sobic.004G336000,-,69336456,69336524,CDS
Sobic.004G336000,-,69335464,69335556,CDS
Sobic.004G336000,-,69335152,69335273,CDS
Sobic.004G336000,-,69334222,69334417,CDS
Sobic.004G336000,-,69333293,69333468,CDS
Sobic.004G336000,-,69332191,69332320,CDS
Sobic.004G336000,-,69331525,69331685,CDS
Sobic.004G336000,-,69331311,69331405,CDS
Sobic.004G336000,-,69331022,69331121,CDS
Sobic.004G336000,-,69329937,69330353,UTR
Sobic.004G336000,-,69330354,69330399,CDS
Sobic.004G336100,+,69344369,69344681,UTR
Sobic.004G336100,+,69344682,69344909,CDS
Sobic.004G336100,+,69345047,69345108,CDS
Sobic.004G336100,+,69345194,69345281,CDS
Sobic.004G336100,+,69345568,69345831,CDS
Sobic.004G336100,+,69345925,69346165,CDS
Sobic.004G336100,+,69346243,69346319,CDS
Sobic.004G336100,+,69346478,69346648,CDS
Sobic.004G336100,+,69346724,69346816,CDS
Sobic.004G336100,+,69346949,69347098,CDS
Sobic.004G336100,+,69347174,69347260,CDS
Sobic.004G336100,+,69347342,69347506,CDS
Sobic.004G336100,+,69347612,69347731,CDS
Sobic.004G336100,+,69348041,69348243,CDS
Sobic.004G336100,+,69348316,69348465,CDS
Sobic.004G336100,+,69348552,69348699,CDS
Sobic.004G336100,+,69348831,69348914,CDS
Sobic.004G336100,+,69349013,69349114,CDS
Sobic.004G336100,+,69349115,69349377,UTR
Sobic.004G336200,-,69353839,69353992,CDS
Sobic.004G336200,-,69353993,69354114,UTR
Sobic.004G336200,-,69353315,69353384,CDS
Sobic.004G336200,-,69352948,69353152,CDS
Sobic.004G336200,-,69352768,69352833,CDS
Sobic.004G336200,-,69351704,69351844,CDS
Sobic.004G336200,-,69351510,69351563,CDS
Sobic.004G336200,-,69351240,69351332,CDS
Sobic.004G336200,-,69350479,69351098,UTR
Sobic.004G336200,-,69351099,69351146,CDS
Sobic.004G336300,-,69365093,69365172,CDS
Sobic.004G336300,-,69365173,69365189,UTR
Sobic.004G336300,-,69364681,69364983,CDS
Sobic.004G336300,-,69364437,69364578,CDS
Sobic.004G336300,-,69364009,69364182,CDS
Sobic.004G336300,-,69363587,69363766,CDS
Sobic.004G336300,-,69362938,69363092,CDS
Sobic.004G336300,-,69362566,69362656,CDS
Sobic.004G336300,-,69360891,69361054,CDS
Sobic.004G336300,-,69360766,69360820,CDS
Sobic.004G336300,-,69360014,69360136,CDS
Sobic.004G336300,-,69359828,69359923,CDS
Sobic.004G336300,-,69359298,69359425,CDS
Sobic.004G336300,-,69358511,69358615,CDS
Sobic.004G336300,-,69358126,69358412,CDS
Sobic.004G336300,-,69357718,69357825,CDS
Sobic.004G336300,-,69357568,69357630,CDS
Sobic.004G336300,-,69357405,69357479,CDS
Sobic.004G336300,-,69357152,69357327,CDS
Sobic.004G336300,-,69356663,69356767,CDS
Sobic.004G336300,-,69354917,69355367,UTR
Sobic.004G336300,-,69355368,69355463,CDS
Sobic.004G336401,-,69385375,69385629,CDS
Sobic.004G336401,-,69384643,69384767,CDS
Sobic.004G336401,-,69384454,69384580,CDS
Sobic.004G336401,-,69383777,69384349,CDS
Sobic.004G336401,-,69383218,69383502,CDS
Sobic.004G336500,+,69387391,69387495,UTR
Sobic.004G336500,+,69387496,69387937,CDS
Sobic.004G336500,+,69388058,69388166,CDS
Sobic.004G336500,+,69388260,69388302,CDS
Sobic.004G336500,+,69388303,69388572,UTR
Sobic.004G336600,+,69395118,69395264,UTR
Sobic.004G336600,+,69395265,69395583,CDS
Sobic.004G336600,+,69395676,69395828,CDS
Sobic.004G336600,+,69395924,69396021,CDS
Sobic.004G336600,+,69396874,69397095,CDS
Sobic.004G336600,+,69397096,69397426,UTR
Sobic.004G336700,-,69400989,69401060,CDS
Sobic.004G336700,-,69401061,69401601,UTR
Sobic.004G336700,-,69400774,69400869,CDS
Sobic.004G336700,-,69400596,69400661,CDS
Sobic.004G336700,-,69400414,69400479,CDS
Sobic.004G336700,-,69399337,69399654,CDS
Sobic.004G336700,-,69399165,69399234,CDS
Sobic.004G336700,-,69398939,69399080,CDS
Sobic.004G336700,-,69397864,69398453,UTR
Sobic.004G336700,-,69398454,69398502,CDS
Sobic.004G336800,-,69412816,69412893,CDS
Sobic.004G336800,-,69412894,69413135,UTR
Sobic.004G336800,-,69412507,69412701,CDS
Sobic.004G336800,-,69412333,69412422,CDS
Sobic.004G336800,-,69412065,69412188,CDS
Sobic.004G336800,-,69410820,69411942,CDS
Sobic.004G336800,-,69410538,69410703,CDS
Sobic.004G336800,-,69410270,69410437,CDS
Sobic.004G336800,-,69409019,69409833,UTR
Sobic.004G336800,-,69409834,69410193,CDS
Sobic.004G336901,+,69413811,69413952,UTR
Sobic.004G336901,+,69413953,69415131,CDS
Sobic.004G336901,+,69415132,69415391,UTR
Sobic.004G337000,-,69417724,69418078,CDS
Sobic.004G337000,-,69418079,69418373,UTR
Sobic.004G337000,-,69416459,69417143,CDS
Sobic.004G337000,-,69415855,69415917,UTR
Sobic.004G337000,-,69415918,69416221,CDS
Sobic.004G337000,-,69415525,69415777,UTR
Sobic.004G337066,+,69419931,69420464,CDS
Sobic.004G337066,+,69420635,69420710,CDS
Sobic.004G337066,+,69420871,69421184,CDS
Sobic.004G337132,-,69421873,69422031,CDS
Sobic.004G337200,+,69424455,69424590,UTR
Sobic.004G337200,+,69424591,69424851,CDS
Sobic.004G337200,+,69424964,69425143,CDS
Sobic.004G337200,+,69425625,69425706,CDS
Sobic.004G337200,+,69425791,69425898,CDS
Sobic.004G337200,+,69426120,69426278,CDS
Sobic.004G337200,+,69426483,69426679,CDS
Sobic.004G337200,+,69426680,69427161,UTR
Sobic.004G337300,-,69429278,69429441,CDS
Sobic.004G337300,-,69429442,69429606,UTR
Sobic.004G337300,-,69428414,69428525,CDS
Sobic.004G337300,-,69428272,69428322,CDS
Sobic.004G337300,-,69427571,69428032,UTR
Sobic.004G337300,-,69428033,69428098,CDS
Sobic.004G337400,-,69436111,69436507,CDS
Sobic.004G337400,-,69436508,69436684,UTR
Sobic.004G337400,-,69435807,69436016,CDS
Sobic.004G337400,-,69435546,69435712,CDS
Sobic.004G337400,-,69435285,69435462,CDS
Sobic.004G337400,-,69435136,69435188,CDS
Sobic.004G337400,-,69434873,69435016,CDS
Sobic.004G337400,-,69434607,69434711,CDS
Sobic.004G337400,-,69434083,69434208,CDS
Sobic.004G337400,-,69433793,69433990,CDS
Sobic.004G337400,-,69433375,69433481,CDS
Sobic.004G337400,-,69433018,69433180,CDS
Sobic.004G337400,-,69432417,69432482,CDS
Sobic.004G337400,-,69432173,69432266,CDS
Sobic.004G337400,-,69431921,69432033,CDS
Sobic.004G337400,-,69431649,69431719,CDS
Sobic.004G337400,-,69430999,69431203,CDS
Sobic.004G337400,-,69429831,69430401,UTR
Sobic.004G337400,-,69430402,69430887,CDS
