category,trait,marker,ref_median,ref_n,ref_se,alt_median,alt_n,alt_se
NE,embedding_std_1020,chr9,0.7097972119539259,617,0.0006694048339904921,0.7188628410630017,241,0.0013200772479963349
NE shared,embedding_std_1020,chr9,0.706172815673904,232,0.0009717067178498133,0.716856461386846,121,0.0017086473043736892
GA,embedding_std_1020,chr9,0.722915944249857,213,0.0011794683822920037,0.7252804120447784,112,0.0017053207548936248
AL,embedding_std_1020,chr9,0.7442521674348201,183,0.001340140590189784,0.7440974393973153,88,0.0022568202715826133
NE,embedding_std_88,chr6_Dw2,0.9249018446622652,227,0.0017385725757397086,0.9014074049812284,627,0.0010312986245937308
NE shared,embedding_std_88,chr6_Dw2,0.9240476377747495,140,0.0023536494093904818,0.9036042587437828,215,0.0016921738533053736
GA,embedding_std_88,chr6_Dw2,0.8777519532198207,131,0.003190787213645365,0.8674692415653814,195,0.0020066395918713854
AL,embedding_std_88,chr6_Dw2,0.8457703465757401,99,0.0020002117109690575,0.8436872533641119,173,0.0015058467681964133
NE,embedding_mean_308,chr6_P,0.5870591288916239,793,0.001412681681209822,0.5486275516793601,74,0.005597800700576688
NE shared,embedding_mean_308,chr6_P,0.5885795076988807,320,0.002274278605767731,0.5436531249907556,33,0.008310985317187427
GA,embedding_mean_308,chr6_P,0.5181202612442739,293,0.003008921653777482,0.5622754369151253,32,0.008974794292535867
AL,embedding_mean_308,chr6_P,0.5380908314774893,247,0.0037786715836151245,0.5660849971761701,24,0.011280166133249616
