gene_id,start,end,strand
Sobic.004G057400,4662661,4668112,-
Sobic.004G057500,4671926,4673014,+
Sobic.004G057700,4695914,4700343,+
Sobic.004G057800,4706500,4709436,-
Sobic.004G057900,4709686,4715579,+
Sobic.004G058000,4723073,4724504,+
Sobic.004G058050,4728033,4732238,+
Sobic.004G058100,4737582,4739215,-
Sobic.004G058200,4739840,4744123,+
Sobic.004G058300,4744913,4746305,+
Sobic.004G058400,4748070,4752514,+
Sobic.004G058500,4752277,4755470,-
Sobic.004G058600,4757346,4768173,+
Sobic.004G058700,4774061,4777174,-
Sobic.004G058800,4789596,4791016,+
