gene_id,strand,seg_start,seg_end,kind
Sobic.004G057400,-,4667602,4667886,CDS
Sobic.004G057400,-,4667887,4668112,UTR
Sobic.004G057400,-,4666381,4666995,CDS
Sobic.004G057400,-,4665808,4666237,CDS
Sobic.004G057400,-,4665257,4665582,CDS
Sobic.004G057400,-,4664787,4664845,CDS
Sobic.004G057400,-,4664367,4664709,CDS
Sobic.004G057400,-,4664049,4664249,CDS
Sobic.004G057400,-,4663681,4663938,CDS
Sobic.004G057400,-,4662661,4663102,UTR
Sobic.004G057400,-,4663103,4663579,CDS
Sobic.004G057500,+,4671926,4672042,CDS
Sobic.004G057500,+,4672457,4672552,CDS
Sobic.004G057500,+,4672635,4672676,CDS
Sobic.004G057500,+,4672778,4673014,CDS
Sobic.004G057700,+,4695914,4696304,UTR
Sobic.004G057700,+,4696305,4696478,CDS
Sobic.004G057700,+,4698843,4698917,CDS
Sobic.004G057700,+,4699044,4699184,CDS
Sobic.004G057700,+,4699354,4699740,CDS
Sobic.004G057700,+,4699741,4700343,UTR
Sobic.004G057800,-,4709200,4709373,CDS
Sobic.004G057800,-,4709374,4709436,UTR
Sobic.004G057800,-,4708986,4709060,CDS
Sobic.004G057800,-,4708225,4708269,CDS
Sobic.004G057800,-,4707892,4708122,CDS
Sobic.004G057800,-,4707692,4707774,CDS
Sobic.004G057800,-,4707073,4707244,CDS
Sobic.004G057800,-,4706500,4706844,UTR
Sobic.004G057800,-,4706845,4706964,CDS
Sobic.004G057900,+,4709686,4709978,UTR
Sobic.004G057900,+,4709979,4710091,CDS
Sobic.004G057900,+,4710324,4710525,CDS
Sobic.004G057900,+,4710692,4710799,CDS
Sobic.004G057900,+,4711073,4711157,CDS
Sobic.004G057900,+,4711633,4711868,CDS
Sobic.004G057900,+,4712054,4712227,CDS
Sobic.004G057900,+,4712309,4712356,CDS
Sobic.004G057900,+,4712479,4712538,CDS
Sobic.004G057900,+,4712644,4712730,CDS
Sobic.004G057900,+,4712813,4712901,CDS
Sobic.004G057900,+,4713101,4713192,CDS
Sobic.004G057900,+,4714649,4714710,CDS
Sobic.004G057900,+,4714791,4714940,CDS
Sobic.004G057900,+,4715032,4715247,CDS
Sobic.004G057900,+,4715248,4715579,UTR
Sobic.004G058000,+,4723073,4723156,UTR
Sobic.004G058000,+,4723157,4723900,CDS
