gene_id,start,end,strand
Sobic.006G223101,58331888,58337018,+
Sobic.006G223200,58342184,58347462,+
Sobic.006G223300,58346771,58354051,-
Sobic.006G223401,58361569,58362115,-
Sobic.006G223500,58367789,58368962,-
Sobic.006G223601,58373405,58381624,-
Sobic.006G223700,58382429,58383053,-
Sobic.006G223800,58384775,58389340,+
Sobic.006G223850,58389675,58392908,+
Sobic.006G223900,58418211,58421140,+
Sobic.006G224000,58423232,58425496,-
Sobic.006G224100,58426099,58435512,-
Sobic.006G224200,58435736,58438350,-
Sobic.006G224300,58438497,58441387,-
Sobic.006G224400,58441511,58444028,+
Sobic.006G224500,58446620,58448961,+
Sobic.006G224600,58450241,58451069,+
Sobic.006G224800,58454908,58462776,-
Sobic.006G225000,58469159,58473202,+
Sobic.006G225100,58472653,58476294,-
Sobic.006G225200,58479033,58481484,+
Sobic.006G225300,58491481,58494683,+
Sobic.006G225400,58495699,58500032,-
Sobic.006G225500,58502259,58503186,+
Sobic.006G225550,58503290,58505210,-
Sobic.006G225600,58506928,58510646,-
Sobic.006G225700,58515362,58520111,-
Sobic.006G225750,58527629,58530040,-
Sobic.006G225800,58529217,58533071,-
Sobic.006G225900,58535357,58542448,-
Sobic.006G226000,58542228,58543545,-
Sobic.006G226100,58544065,58546641,-
Sobic.006G226200,58550552,58556544,-
Sobic.006G226300,58559630,58564801,+
Sobic.006G226400,58564802,58566746,+
Sobic.006G226500,58566705,58569008,-
Sobic.006G226566,58569964,58570650,-
Sobic.006G226632,58571753,58573327,-
Sobic.006G226700,58576538,58579301,+
Sobic.006G226800,58582314,58584616,+
Sobic.006G226900,58586802,58588833,+
Sobic.006G227000,58591359,58592995,+
Sobic.006G227100,58604809,58607141,+
Sobic.006G227200,58609242,58611389,+
Sobic.006G227250,58612686,58614732,+
Sobic.006G227300,58616323,58618031,+
