CHROM,window,window_start_bp,genome_pos_bp,n_embeddings
1,4,400000,450000,2
1,8,800000,850000,1
1,9,900000,950000,1
1,11,1100000,1150000,2
1,12,1200000,1250000,1
1,16,1600000,1650000,1
1,18,1800000,1850000,1
1,19,1900000,1950000,1
1,21,2100000,2150000,1
1,22,2200000,2250000,1
1,23,2300000,2350000,1
1,29,2900000,2950000,1
1,42,4200000,4250000,1
1,43,4300000,4350000,1
1,74,7400000,7450000,1
1,81,8100000,8150000,1
1,91,9100000,9150000,1
1,98,9800000,9850000,1
1,99,9900000,9950000,2
1,119,11900000,11950000,1
1,122,12200000,12250000,2
1,132,13200000,13250000,1
1,133,13300000,13350000,2
1,145,14500000,14550000,1
1,157,15700000,15750000,1
1,158,15800000,15850000,1
1,168,16800000,16850000,1
1,175,17500000,17550000,1
1,177,17700000,17750000,2
1,178,17800000,17850000,1
1,186,18600000,18650000,2
1,188,18800000,18850000,1
1,195,19500000,19550000,1
1,201,20100000,20150000,2
1,202,20200000,20250000,1
1,204,20400000,20450000,1
1,206,20600000,20650000,1
1,208,20800000,20850000,1
1,210,21000000,21050000,1
1,212,21200000,21250000,1
1,213,21300000,21350000,1
1,214,21400000,21450000,1
1,216,21600000,21650000,1
1,222,22200000,22250000,5
1,237,23700000,23750000,1
1,238,23800000,23850000,1
1,251,25100000,25150000,1
1,308,30800000,30850000,1
1,310,31000000,31050000,1
1,313,31300000,31350000,2
1,314,31400000,31450000,2
1,316,31600000,31650000,1
1,327,32700000,32750000,1
1,333,33300000,33350000,3
1,335,33500000,33550000,1
1,339,33900000,33950000,1
1,343,34300000,34350000,1
1,351,35100000,35150000,1
1,355,35500000,35550000,1
1,376,37600000,37650000,1
1,378,37800000,37850000,1
1,463,46300000,46350000,1
1,505,50500000,50550000,1
1,537,53700000,53750000,1
1,567,56700000,56750000,1
1,568,56800000,56850000,3
1,579,57900000,57950000,1
1,580,58000000,58050000,2
1,584,58400000,58450000,1
1,586,58600000,58650000,1
1,587,58700000,58750000,1
1,588,58800000,58850000,1
1,596,59600000,59650000,1
1,599,59900000,59950000,1
1,613,61300000,61350000,1
1,614,61400000,61450000,1
1,616,61600000,61650000,1
1,621,62100000,62150000,1
1,625,62500000,62550000,1
1,628,62800000,62850000,1
1,632,63200000,63250000,1
1,645,64500000,64550000,1
1,653,65300000,65350000,1
1,660,66000000,66050000,1
1,664,66400000,66450000,1
1,667,66700000,66750000,9
1,678,67800000,67850000,1
1,681,68100000,68150000,1
1,686,68600000,68650000,1
1,700,70000000,70050000,1
1,707,70700000,70750000,1
1,709,70900000,70950000,1
1,715,71500000,71550000,1
1,716,71600000,71650000,4
1,732,73200000,73250000,1
1,735,73500000,73550000,1
1,737,73700000,73750000,1
1,754,75400000,75450000,1
1,768,76800000,76850000,1
1,769,76900000,76950000,1
1,774,77400000,77450000,1
1,778,77800000,77850000,1
1,779,77900000,77950000,1
1,786,78600000,78650000,1
1,788,78800000,78850000,1
1,795,79500000,79550000,3
1,796,79600000,79650000,1
1,801,80100000,80150000,1
1,803,80300000,80350000,2
1,804,80400000,80450000,2
1,806,80600000,80650000,4
1,807,80700000,80750000,1
1,808,80800000,80850000,1
1,809,80900000,80950000,3
1,829,82900000,82950000,5
2,6,600000,88650000,3
2,12,1200000,89250000,1
2,19,1900000,89950000,3
2,21,2100000,90150000,1
2,25,2500000,90550000,3
2,29,2900000,90950000,1
2,32,3200000,91250000,2
2,41,4100000,92150000,1
2,46,4600000,92650000,1
2,68,6800000,94850000,1
2,69,6900000,94950000,1
2,70,7000000,95050000,1
