gene_id,start,end,strand
Sobic.004G334800,69247420,69249973,-
Sobic.004G334900,69251603,69253193,+
Sobic.004G335000,69253324,69257408,-
Sobic.004G335400,69286299,69286982,+
Sobic.004G335500,69314054,69319033,+
Sobic.004G335600,69321914,69322539,-
Sobic.004G335700,69322540,69325842,+
Sobic.004G335800,69325892,69328465,-
Sobic.004G335900,69328577,69329955,+
Sobic.004G336000,69329937,69338467,-
Sobic.004G336100,69344369,69349377,+
Sobic.004G336200,69350479,69354114,-
Sobic.004G336300,69354917,69365189,-
Sobic.004G336401,69383218,69385629,-
Sobic.004G336500,69387391,69388572,+
Sobic.004G336600,69395118,69397426,+
Sobic.004G336700,69397864,69401622,-
Sobic.004G336800,69409019,69413135,-
Sobic.004G336901,69413811,69415391,+
Sobic.004G337000,69415525,69418373,-
Sobic.004G337066,69419931,69421184,+
Sobic.004G337132,69421873,69422031,-
Sobic.004G337200,69424455,69427161,+
Sobic.004G337300,69427571,69429606,-
Sobic.004G337400,69429831,69436684,-
