gene_id,start,end,strand
Sobic.009G226400,60600082,60607132,-
Sobic.009G226600,60613543,60620799,+
Sobic.009G226700,60621655,60623080,-
Sobic.009G226800,60623081,60627786,+
Sobic.009G226900,60628371,60631344,+
Sobic.009G227000,60640004,60648674,+
Sobic.009G227100,60653051,60657177,-
Sobic.009G227201,60662025,60663478,-
Sobic.009G227300,60677531,60678852,+
Sobic.009G227400,60679220,60681216,+
Sobic.009G227500,60681230,60683415,-
Sobic.009G227600,60685955,60689990,-
Sobic.009G227650,60694731,60695982,-
Sobic.009G227700,60695992,60702291,+
Sobic.009G227800,60702292,60705674,-
Sobic.009G227900,60707301,60711223,-
Sobic.009G228000,60713576,60717865,-
Sobic.009G228100,60719517,60728376,-
Sobic.009G228150,60726498,60727765,-
Sobic.009G228201,60735156,60735996,+
Sobic.009G228300,60737573,60740757,-
Sobic.009G228400,60742678,60747442,-
Sobic.009G228500,60748120,60750358,-
Sobic.009G228600,60750052,60753073,+
Sobic.009G228700,60754628,60758451,+
Sobic.009G228800,60758576,60760951,+
Sobic.009G228900,60761793,60765839,-
Sobic.009G229000,60773784,60776399,-
Sobic.009G229100,60788509,60790088,-
Sobic.009G229150,60790089,60791924,+
Sobic.009G229200,60794812,60799531,-
Sobic.009G229300,60817174,60820993,+
Sobic.009G229400,60823297,60825611,+
Sobic.009G229500,60826440,60826919,+
Sobic.009G229600,60826850,60835534,-
Sobic.009G229650,60835565,60836197,-
Sobic.009G229700,60836501,60837068,+
Sobic.009G229801,60841561,60844934,+
Sobic.009G229900,60845973,60849220,-
Sobic.009G230000,60849815,60850728,-
Sobic.009G230100,60851365,60855096,-
Sobic.009G230200,60857262,60859637,+
Sobic.009G230400,60861467,60865544,-
Sobic.009G230500,60865038,60868644,+
Sobic.009G230650,60872172,60873464,-
Sobic.009G230700,60875387,60880041,+
Sobic.009G230800,60894509,60899170,-
Sobic.009G230900,60908793,60909543,+
Sobic.009G231000,60913333,60913817,+
Sobic.009G231100,60916369,60919739,-
Sobic.009G231200,60922559,60926826,+
Sobic.009G231300,60927646,60931126,-
Sobic.009G231400,60932612,60935291,-
Sobic.009G231500,60942762,60943812,-
Sobic.009G231600,60955901,60957841,+
Sobic.009G231700,60956410,60965282,-
Sobic.009G231800,60992167,60998030,+
Sobic.009G231900,60998878,61001870,-
Sobic.009G232000,61007357,61011213,-
Sobic.009G232100,61016382,61017521,+
Sobic.009G232200,61020096,61022614,+
Sobic.009G232266,61028966,61030215,+
Sobic.009G232332,61034320,61036112,-
Sobic.009G232400,61038628,61042985,-
Sobic.009G232500,61043140,61044518,+
Sobic.009G232700,61046839,61049488,+
Sobic.009G232733,61050141,61051700,-
Sobic.009G232766,61051992,61054601,+
Sobic.009G232800,61054602,61059754,+
Sobic.009G232900,61060522,61062531,-
Sobic.009G233000,61068278,61073021,+
Sobic.009G233100,61076208,61077068,-
Sobic.009G233200,61082811,61096405,-
Sobic.009G233300,61102814,61105338,+
Sobic.009G233400,61105574,61107744,+
Sobic.009G233500,61110968,61113187,+
Sobic.009G233600,61113892,61117768,-
Sobic.009G233700,61117879,61120792,+
Sobic.009G233800,61121665,61125442,-
Sobic.009G233900,61125525,61126808,-
Sobic.009G234000,61126809,61127936,-
Sobic.009G234100,61145852,61149188,+
