trait,POS,p_value
embedding_mean_266,4661230,0.516603410243988
embedding_mean_266,4661311,0.8888248801231384
embedding_mean_266,4661355,0.6440414190292358
embedding_mean_266,4661398,0.6882287263870239
embedding_mean_266,4661437,0.5447505712509155
embedding_mean_266,4661439,0.5202906131744385
embedding_mean_266,4661489,0.49289968609809875
embedding_mean_266,4661528,0.9411502480506897
embedding_mean_266,4661604,0.8646537661552429
embedding_mean_266,4661609,0.7472986578941345
embedding_mean_266,4661778,0.8944552540779114
embedding_mean_266,4661854,0.6747521162033081
embedding_mean_266,4662045,0.6338905096054077
embedding_mean_266,4662072,0.6804459691047668
embedding_mean_266,4662090,0.31190165877342224
embedding_mean_266,4662136,0.2586728632450104
embedding_mean_266,4662137,0.047681957483291626
embedding_mean_266,4662223,0.4444786012172699
embedding_mean_266,4662241,0.44771504402160645
embedding_mean_266,4662258,0.2011607587337494
embedding_mean_266,4662274,0.8903825879096985
embedding_mean_266,4662294,0.8082561492919922
embedding_mean_266,4662297,0.42292898893356323
embedding_mean_266,4662325,0.1352996826171875
embedding_mean_266,4662407,0.3563375174999237
embedding_mean_266,4662428,0.7736009359359741
embedding_mean_266,4662430,0.08090360462665558
embedding_mean_266,4662434,0.43882447481155396
embedding_mean_266,4662444,0.9902706146240234
embedding_mean_266,4662469,0.08297722041606903
embedding_mean_266,4662521,0.2113819718360901
embedding_mean_266,4662532,0.022441662847995758
embedding_mean_266,4662558,0.013542599976062775
embedding_mean_266,4662693,0.007892215624451637
embedding_mean_266,4662707,0.8610937595367432
embedding_mean_266,4662758,0.10946039855480194
embedding_mean_266,4662772,0.01075829192996025
embedding_mean_266,4662803,0.5391471982002258
embedding_mean_266,4662805,0.23249070346355438
embedding_mean_266,4662864,0.3047163188457489
embedding_mean_266,4662889,0.009530998766422272
embedding_mean_266,4662911,0.8249878287315369
embedding_mean_266,4662918,0.5482330918312073
embedding_mean_266,4662951,0.9943907856941223
embedding_mean_266,4663021,0.8087382912635803
embedding_mean_266,4663289,0.47206756472587585
embedding_mean_266,4663586,0.34433865547180176
embedding_mean_266,4663995,0.011521314270794392
embedding_mean_266,4663996,0.011521314270794392
embedding_mean_266,4664034,0.021164409816265106
embedding_mean_266,4664045,0.018891386687755585
embedding_mean_266,4664178,0.010705532506108284
embedding_mean_266,4664187,0.010705532506108284
embedding_mean_266,4664207,0.010650970973074436
embedding_mean_266,4664967,6.227531121112406e-4
embedding_mean_266,4665034,8.499579271301627e-4
embedding_mean_266,4665046,6.605707458220422e-4
embedding_mean_266,4665101,0.001146679394878447
embedding_mean_266,4665113,0.001146679394878447
embedding_mean_266,4665245,9.268929716199636e-4
embedding_mean_266,4665328,6.543229392264038e-5
embedding_mean_266,4665547,0.0010958831990137696
embedding_mean_266,4665665,0.001170138013549149
embedding_mean_266,4665728,0.0014728696551173925
embedding_mean_266,4666001,0.4286543130874634
embedding_mean_266,4666178,0.0011985901510342956
embedding_mean_266,4666258,0.0013934735907241702
embedding_mean_266,4666913,0.03792901709675789
embedding_mean_266,4667001,5.923018325120211e-4
embedding_mean_266,4667154,3.700250235851854e-4
embedding_mean_266,4667260,9.369529434479773e-4
embedding_mean_266,4667490,2.7292637969367206e-4
embedding_mean_266,4667577,0.0016548994462937117
embedding_mean_266,4667893,0.0026952694170176983
embedding_mean_266,4668013,0.7510710954666138
embedding_mean_266,4668119,0.001747093629091978
embedding_mean_266,4668136,0.0018131957622244954
embedding_mean_266,4668150,0.04216497018933296
embedding_mean_266,4668164,0.0023369842674583197
embedding_mean_266,4668178,0.005683267489075661
embedding_mean_266,4668186,0.19727402925491333
embedding_mean_266,4668240,0.1414089947938919
embedding_mean_266,4668266,0.0029806692618876696
embedding_mean_266,4668270,0.005608679261058569
embedding_mean_266,4668273,0.005608679261058569
embedding_mean_266,4668306,0.8601269721984863
embedding_mean_266,4668309,0.01656319573521614
embedding_mean_266,4668323,0.028458673506975174
embedding_mean_266,4668326,0.8543230891227722
embedding_mean_266,4668346,0.010609123855829239
embedding_mean_266,4668350,0.010609123855829239
embedding_mean_266,4668356,0.010609123855829239
embedding_mean_266,4668359,0.011445636861026287
embedding_mean_266,4668360,0.013769576326012611
embedding_mean_266,4668361,0.8661607503890991
embedding_mean_266,4668362,0.07318121939897537
embedding_mean_266,4668389,0.20877103507518768
embedding_mean_266,4668420,0.11946293711662292
embedding_mean_266,4668544,0.0027296862099319696
embedding_mean_266,4668559,6.854546372778714e-4
embedding_mean_266,4668563,0.0012943110195919871
embedding_mean_266,4668641,0.026549989357590675
embedding_mean_266,4668677,0.0032300353050231934
embedding_mean_266,4668687,0.0030339029617607594
embedding_mean_266,4668932,0.7231371402740479
embedding_mean_266,4669113,0.034977514296770096
embedding_mean_266,4669150,0.0889253169298172
embedding_mean_266,4669152,0.24686673283576965
embedding_mean_266,4669161,0.23982906341552734
embedding_mean_266,4669165,0.24686673283576965
embedding_mean_266,4669181,0.2254316359758377
embedding_mean_266,4669187,0.49661919474601746
embedding_mean_266,4669238,0.06024429574608803
embedding_mean_266,4669255,0.0010633878409862518
embedding_mean_266,4669296,0.41225025057792664
embedding_mean_266,4669336,0.003947719931602478
embedding_mean_266,4669413,0.5545639991760254
embedding_mean_266,4669419,0.10663426667451859
embedding_mean_266,4669449,0.10663426667451859
embedding_mean_266,4669509,0.7799322605133057
embedding_mean_266,4669522,0.9668706059455872
embedding_mean_266,4669535,0.9402298331260681
embedding_mean_266,4669565,0.8156688213348389
embedding_mean_266,4669572,0.5228826999664307
embedding_mean_266,4669642,0.6777061223983765
embedding_mean_266,4669667,0.22841334342956543
embedding_mean_266,4669722,0.7975164651870728
embedding_mean_266,4669725,0.7975164651870728
embedding_mean_266,4669773,0.9956046938896179
embedding_mean_266,4669959,0.45134347677230835
embedding_mean_266,4670150,0.18067418038845062
embedding_mean_266,4670229,0.06514179706573486
embedding_mean_266,4670327,0.7990530729293823
embedding_mean_266,4670360,9.256695630028844e-4
embedding_mean_266,4670373,0.001207986962981522
embedding_mean_266,4670440,5.363342934288085e-4
embedding_mean_266,4670467,8.527265745215118e-4
embedding_mean_266,4670481,0.14123517274856567
embedding_mean_266,4670488,6.534887943416834e-4
embedding_mean_266,4670498,0.0010491961147636175
embedding_mean_266,4670571,0.016246341168880463
embedding_mean_266,4670582,0.004240371286869049
embedding_mean_266,4670584,0.004389022011309862
embedding_mean_266,4670587,0.0035861157812178135
embedding_mean_266,4670605,0.007474408019334078
embedding_mean_266,4670608,0.0734873116016388
embedding_mean_266,4670610,5.27453375980258e-4
embedding_mean_266,4670615,5.27453375980258e-4
embedding_mean_266,4670623,6.189113482832909e-4
embedding_mean_266,4670631,0.06379258632659912
embedding_mean_266,4670647,0.061087433248758316
embedding_mean_266,4670651,0.0022901417687535286
embedding_mean_266,4670656,0.002270231256261468
embedding_mean_266,4670660,0.002691926434636116
embedding_mean_266,4670672,0.0025287242606282234
embedding_mean_266,4670683,9.921484161168337e-4
embedding_mean_266,4670716,8.73877084814012e-4
embedding_mean_266,4670819,0.08440238237380981
embedding_mean_266,4670841,0.001613225438632071
embedding_mean_266,4670967,0.0010810355888679624
embedding_mean_266,4670988,0.038604434579610825
embedding_mean_266,4671036,0.06554589420557022
embedding_mean_266,4671044,0.536461353302002
embedding_mean_266,4671083,0.5129756331443787
embedding_mean_266,4671161,0.9252628684043884
embedding_mean_266,4671210,0.043042752891778946
embedding_mean_266,4674920,0.6092796921730042
embedding_mean_266,4675190,0.6091349720954895
embedding_mean_266,4675515,0.017136109992861748
embedding_mean_266,4675541,0.6007477641105652
embedding_mean_266,4675561,0.01504344679415226
embedding_mean_266,4675603,0.27559220790863037
embedding_mean_266,4675611,0.04251796379685402
embedding_mean_266,4675628,0.2951647937297821
embedding_mean_266,4675664,0.024196604266762733
embedding_mean_266,4675665,0.024196604266762733
embedding_mean_266,4675709,0.7353960871696472
embedding_mean_266,4675710,0.5055088996887207
embedding_mean_266,4675771,0.01666775345802307
embedding_mean_266,4675772,0.040758296847343445
embedding_mean_266,4675796,0.197642982006073
embedding_mean_266,4675842,0.034042488783597946
embedding_mean_266,4675907,0.0053470847196877
embedding_mean_266,4675955,0.9491074681282043
embedding_mean_266,4675972,0.006769764702767134
embedding_mean_266,4676012,0.10163205862045288
embedding_mean_266,4676060,0.09259413927793503
embedding_mean_266,4676094,0.7796780467033386
embedding_mean_266,4676107,0.015175634063780308
embedding_mean_266,4676190,0.024262573570013046
embedding_mean_266,4676205,0.03374833986163139
embedding_mean_266,4676244,0.13246190547943115
embedding_mean_266,4676246,0.024039926007390022
embedding_mean_266,4676344,0.0355500653386116
embedding_mean_266,4676348,0.021638602018356323
embedding_mean_266,4676383,0.02492908574640751
embedding_mean_266,4676398,0.11625627428293228
embedding_mean_266,4676454,0.014374559745192528
embedding_mean_266,4676493,0.5630194544792175
embedding_mean_266,4676576,0.5222702622413635
embedding_mean_266,4676581,0.6007481813430786
embedding_mean_266,4676592,0.687964677810669
embedding_mean_266,4676597,0.889934778213501
embedding_mean_266,4676625,0.10125701129436493
embedding_mean_266,4676638,0.028739500790834427
embedding_mean_266,4676688,0.837275505065918
embedding_mean_266,4676696,0.43324771523475647
embedding_mean_266,4676698,0.29789990186691284
embedding_mean_266,4676730,0.07122480124235153
embedding_mean_266,4676733,0.34891438484191895
embedding_mean_266,4676740,0.024899033829569817
embedding_mean_266,4676774,0.04758685827255249
embedding_mean_266,4676801,0.03652271628379822
embedding_mean_266,4676810,0.021765239536762238
embedding_mean_266,4676812,0.5653386116027832
embedding_mean_266,4676831,0.20847919583320618
embedding_mean_266,4676880,0.12339124083518982
embedding_mean_266,4676986,0.02190754935145378
embedding_mean_266,4677020,0.2979698181152344
embedding_mean_266,4677077,0.005576622672379017
embedding_mean_266,4677134,0.8887392282485962
embedding_mean_266,4677143,0.02331448346376419
embedding_mean_266,4677171,0.026646634563803673
embedding_mean_266,4677202,0.9588794708251953
embedding_mean_266,4677212,0.04483836889266968
embedding_mean_266,4677246,0.08791864663362503
embedding_mean_266,4677269,0.6334993839263916
embedding_mean_266,4677279,0.6933152079582214
embedding_mean_266,4677330,0.10063724964857101
embedding_mean_266,4677334,0.10063724964857101
embedding_mean_266,4677339,0.10407966375350952
embedding_mean_266,4677389,0.06163208186626434
embedding_mean_266,4677396,0.08381384611129761
embedding_mean_266,4677408,0.02490323781967163
embedding_mean_266,4677474,0.3450305461883545
embedding_mean_266,4677484,0.06942112743854523
embedding_mean_266,4677489,0.7912149429321289
embedding_mean_266,4677508,0.7959750294685364
embedding_mean_266,4677513,0.7959750294685364
embedding_mean_266,4677543,0.04136972874403
embedding_mean_266,4677568,0.010163096711039543
embedding_mean_266,4677579,0.01414568442851305
embedding_mean_266,4677600,0.43322500586509705
embedding_mean_266,4677603,0.1362418681383133
embedding_mean_266,4677676,0.11262480914592743
embedding_mean_266,4677718,0.11941514164209366
