gene_id,strand,seg_start,seg_end,kind
Sobic.009G226400,-,60606673,60606801,CDS
Sobic.009G226400,-,60606802,60607132,UTR
Sobic.009G226400,-,60606153,60606216,CDS
Sobic.009G226400,-,60605946,60606050,CDS
Sobic.009G226400,-,60605508,60605609,CDS
Sobic.009G226400,-,60605226,60605276,CDS
Sobic.009G226400,-,60605082,60605143,CDS
Sobic.009G226400,-,60604747,60604837,CDS
Sobic.009G226400,-,60604039,60604103,CDS
Sobic.009G226400,-,60603522,60603716,CDS
Sobic.009G226400,-,60603327,60603446,CDS
Sobic.009G226400,-,60602866,60602936,CDS
Sobic.009G226400,-,60602114,60602339,CDS
Sobic.009G226400,-,60601406,60601456,CDS
Sobic.009G226400,-,60601078,60601306,CDS
Sobic.009G226400,-,60600847,60600986,CDS
Sobic.009G226400,-,60600082,60600439,UTR
Sobic.009G226400,-,60600440,60600568,CDS
Sobic.009G226600,+,60613543,60613823,UTR
Sobic.009G226600,+,60613824,60614174,CDS
Sobic.009G226600,+,60618408,60619022,CDS
Sobic.009G226600,+,60619114,60619180,CDS
Sobic.009G226600,+,60619310,60619398,CDS
Sobic.009G226600,+,60619514,60619729,CDS
Sobic.009G226600,+,60620183,60620320,CDS
Sobic.009G226600,+,60620406,60620594,CDS
Sobic.009G226600,+,60620595,60620799,UTR
Sobic.009G226700,-,60622487,60623015,CDS
Sobic.009G226700,-,60623016,60623080,UTR
Sobic.009G226700,-,60622248,60622361,CDS
Sobic.009G226700,-,60621655,60621995,UTR
Sobic.009G226700,-,60621996,60622144,CDS
Sobic.009G226800,+,60623081,60623145,UTR
Sobic.009G226800,+,60623146,60623636,CDS
Sobic.009G226800,+,60623727,60623910,CDS
Sobic.009G226800,+,60624023,60624226,CDS
Sobic.009G226800,+,60624319,60624499,CDS
Sobic.009G226800,+,60624583,60624782,CDS
Sobic.009G226800,+,60625244,60625509,CDS
Sobic.009G226800,+,60625599,60625694,CDS
Sobic.009G226800,+,60625772,60625805,CDS
Sobic.009G226800,+,60625925,60625969,CDS
Sobic.009G226800,+,60626058,60626108,CDS
Sobic.009G226800,+,60626182,60626283,CDS
Sobic.009G226800,+,60626383,60626449,CDS
Sobic.009G226800,+,60626527,60626756,CDS
Sobic.009G226800,+,60626846,60626892,CDS
Sobic.009G226800,+,60626975,60626996,CDS
Sobic.009G226800,+,60627079,60627147,CDS
Sobic.009G226800,+,60627227,60627268,CDS
Sobic.009G226800,+,60627463,60627510,CDS
Sobic.009G226800,+,60627511,60627786,UTR
Sobic.009G226900,+,60628371,60628745,UTR
Sobic.009G226900,+,60628746,60628913,CDS
Sobic.009G226900,+,60629578,60629974,CDS
Sobic.009G226900,+,60630347,60630894,CDS
Sobic.009G226900,+,60630895,60631344,UTR
Sobic.009G227000,+,60641189,60643153,UTR
Sobic.009G227000,+,60643154,60643242,CDS
Sobic.009G227000,+,60643833,60644498,CDS
Sobic.009G227000,+,60646019,60646376,CDS
Sobic.009G227000,+,60646513,60646590,CDS
Sobic.009G227000,+,60647990,60648049,CDS
Sobic.009G227000,+,60648050,60648674,UTR
Sobic.009G227100,-,60656752,60657177,UTR
Sobic.009G227100,-,60655610,60656297,CDS
Sobic.009G227100,-,60656298,60656357,UTR
Sobic.009G227100,-,60654292,60654720,CDS
Sobic.009G227100,-,60653051,60653628,UTR
Sobic.009G227100,-,60653629,60653792,CDS
Sobic.009G227201,-,60662025,60662368,UTR
Sobic.009G227201,-,60662369,60663478,CDS
Sobic.009G227300,+,60677531,60677630,UTR
Sobic.009G227300,+,60677631,60678668,CDS
Sobic.009G227300,+,60678669,60678852,UTR
Sobic.009G227400,+,60679220,60679363,UTR
Sobic.009G227400,+,60679364,60679366,CDS
Sobic.009G227400,+,60680118,60680157,CDS
Sobic.009G227400,+,60680255,60680343,CDS
Sobic.009G227400,+,60680684,60680766,CDS
Sobic.009G227400,+,60680859,60680922,CDS
Sobic.009G227400,+,60680923,60681216,UTR
Sobic.009G227500,-,60682781,60683364,CDS
Sobic.009G227500,-,60683365,60683415,UTR
Sobic.009G227500,-,60681230,60681850,UTR
Sobic.009G227500,-,60681851,60682667,CDS
Sobic.009G227600,-,60689134,60689696,CDS
Sobic.009G227600,-,60689697,60689990,UTR
Sobic.009G227600,-,60685955,60686262,UTR
Sobic.009G227600,-,60686263,60687100,CDS
Sobic.009G227650,-,60694811,60695101,CDS
Sobic.009G227650,-,60695102,60695982,UTR
Sobic.009G227650,-,60694731,60694781,CDS
Sobic.009G227700,+,60695992,60696307,UTR
Sobic.009G227700,+,60696308,60696380,CDS
Sobic.009G227700,+,60696947,60697010,CDS
Sobic.009G227700,+,60697427,60697535,CDS
Sobic.009G227700,+,60697724,60697786,CDS
Sobic.009G227700,+,60698296,60698393,CDS
Sobic.009G227700,+,60698493,60698559,CDS
Sobic.009G227700,+,60698638,60698709,CDS
Sobic.009G227700,+,60699368,60699529,CDS
Sobic.009G227700,+,60700122,60700195,CDS
Sobic.009G227700,+,60700285,60700382,CDS
Sobic.009G227700,+,60700572,60700679,CDS
Sobic.009G227700,+,60700770,60700864,CDS
Sobic.009G227700,+,60700975,60701112,CDS
Sobic.009G227700,+,60701221,60701268,CDS
Sobic.009G227700,+,60701391,60701505,CDS
Sobic.009G227700,+,60701726,60701823,CDS
Sobic.009G227700,+,60701915,60702004,CDS
Sobic.009G227700,+,60702005,60702291,UTR
Sobic.009G227800,-,60704480,60705006,CDS
Sobic.009G227800,-,60705007,60705674,UTR
Sobic.009G227800,-,60704148,60704370,CDS
Sobic.009G227800,-,60703901,60703966,CDS
Sobic.009G227800,-,60703609,60703792,CDS
Sobic.009G227800,-,60702292,60702579,UTR
Sobic.009G227800,-,60702580,60703448,CDS
Sobic.009G227900,-,60707999,60708403,UTR
Sobic.009G227900,-,60708404,60711109,CDS
Sobic.009G227900,-,60711110,60711223,UTR
Sobic.009G228000,-,60717601,60717620,CDS
Sobic.009G228000,-,60717621,60717865,UTR
Sobic.009G228000,-,60717369,60717480,CDS
Sobic.009G228000,-,60716170,60716307,CDS
Sobic.009G228000,-,60715636,60716079,CDS
Sobic.009G228000,-,60715493,60715556,CDS
Sobic.009G228000,-,60715106,60715245,CDS
Sobic.009G228000,-,60714699,60715010,CDS
Sobic.009G228000,-,60713576,60714178,UTR
Sobic.009G228000,-,60714179,60714472,CDS
Sobic.009G228100,-,60727515,60728376,UTR
Sobic.009G228100,-,60725264,60726007,UTR
Sobic.009G228100,-,60724532,60724643,UTR
Sobic.009G228100,-,60723048,60724445,CDS
Sobic.009G228100,-,60724446,60724456,UTR
Sobic.009G228100,-,60722727,60722852,CDS
Sobic.009G228100,-,60722457,60722597,CDS
Sobic.009G228100,-,60722178,60722384,CDS
Sobic.009G228100,-,60722016,60722079,CDS
Sobic.009G228100,-,60720913,60721052,CDS
Sobic.009G228100,-,60720507,60720818,CDS
Sobic.009G228100,-,60719532,60719961,UTR
Sobic.009G228100,-,60719962,60720189,CDS
Sobic.009G228150,-,60726498,60727202,UTR
Sobic.009G228150,-,60727203,60727508,CDS
Sobic.009G228150,-,60727509,60727765,UTR
Sobic.009G228201,+,60735156,60735340,UTR
Sobic.009G228201,+,60735341,60735940,CDS
Sobic.009G228201,+,60735941,60735996,UTR
Sobic.009G228300,-,60740267,60740689,CDS
Sobic.009G228300,-,60740690,60740757,UTR
Sobic.009G228300,-,60740098,60740178,CDS
Sobic.009G228300,-,60739380,60739481,CDS
Sobic.009G228300,-,60738418,60738492,CDS
Sobic.009G228300,-,60737573,60738167,UTR
Sobic.009G228300,-,60738168,60738239,CDS
Sobic.009G228400,-,60745562,60745631,CDS
Sobic.009G228400,-,60745632,60747442,UTR
Sobic.009G228400,-,60744943,60745153,CDS
