CHROM,window,window_start_bp,genome_pos_bp,n_embeddings
1,17,1700000,1750000,2
1,18,1800000,1850000,1
1,21,2100000,2150000,1
1,23,2300000,2350000,1
1,39,3900000,3950000,1
1,43,4300000,4350000,1
1,60,6000000,6050000,1
1,80,8000000,8050000,1
1,81,8100000,8150000,1
1,82,8200000,8250000,1
1,83,8300000,8350000,1
1,85,8500000,8550000,1
1,88,8800000,8850000,1
1,89,8900000,8950000,1
1,91,9100000,9150000,2
1,98,9800000,9850000,1
1,99,9900000,9950000,1
1,109,10900000,10950000,1
1,113,11300000,11350000,1
1,114,11400000,11450000,1
1,122,12200000,12250000,1
1,129,12900000,12950000,1
1,131,13100000,13150000,1
1,133,13300000,13350000,1
1,134,13400000,13450000,2
1,136,13600000,13650000,1
1,140,14000000,14050000,1
1,157,15700000,15750000,2
1,158,15800000,15850000,4
1,159,15900000,15950000,2
1,166,16600000,16650000,1
1,172,17200000,17250000,1
1,185,18500000,18550000,2
1,186,18600000,18650000,2
1,192,19200000,19250000,1
1,200,20000000,20050000,1
1,201,20100000,20150000,1
1,210,21000000,21050000,1
1,222,22200000,22250000,1
1,226,22600000,22650000,1
1,229,22900000,22950000,1
1,238,23800000,23850000,1
1,251,25100000,25150000,1
1,252,25200000,25250000,1
1,265,26500000,26550000,1
1,314,31400000,31450000,1
1,432,43200000,43250000,1
1,503,50300000,50350000,1
1,505,50500000,50550000,1
1,567,56700000,56750000,2
1,568,56800000,56850000,5
1,570,57000000,57050000,1
1,571,57100000,57150000,1
1,577,57700000,57750000,1
1,583,58300000,58350000,1
1,586,58600000,58650000,1
1,588,58800000,58850000,2
1,589,58900000,58950000,4
1,592,59200000,59250000,1
1,597,59700000,59750000,1
1,611,61100000,61150000,2
1,616,61600000,61650000,1
1,619,61900000,61950000,1
1,625,62500000,62550000,2
1,637,63700000,63750000,3
1,639,63900000,63950000,1
1,641,64100000,64150000,1
1,642,64200000,64250000,1
1,650,65000000,65050000,1
1,653,65300000,65350000,1
1,656,65600000,65650000,1
1,657,65700000,65750000,1
1,667,66700000,66750000,5
1,668,66800000,66850000,1
1,673,67300000,67350000,1
1,677,67700000,67750000,1
1,687,68700000,68750000,1
1,688,68800000,68850000,1
1,695,69500000,69550000,2
1,701,70100000,70150000,1
1,702,70200000,70250000,1
1,714,71400000,71450000,3
1,715,71500000,71550000,4
1,716,71600000,71650000,3
1,717,71700000,71750000,1
1,721,72100000,72150000,1
1,722,72200000,72250000,1
1,729,72900000,72950000,1
1,741,74100000,74150000,1
1,752,75200000,75250000,1
1,767,76700000,76750000,1
1,773,77300000,77350000,1
1,774,77400000,77450000,1
1,795,79500000,79550000,1
1,797,79700000,79750000,1
1,804,80400000,80450000,1
1,807,80700000,80750000,1
1,819,81900000,81950000,1
1,825,82500000,82550000,1
1,829,82900000,82950000,3
1,834,83400000,83450000,1
2,4,400000,88950000,1
2,6,600000,89150000,1
2,19,1900000,90450000,3
2,40,4000000,92550000,1
2,51,5100000,93650000,1
2,71,7100000,95650000,1
2,77,7700000,96250000,1
2,78,7800000,96350000,1
2,81,8100000,96650000,1
2,89,8900000,97450000,2
2,94,9400000,97950000,4
2,95,9500000,98050000,1
2,99,9900000,98450000,2
2,101,10100000,98650000,1
2,102,10200000,98750000,1
2,114,11400000,99950000,1
2,122,12200000,100750000,1
2,123,12300000,100850000,1
2,125,12500000,101050000,1
2,162,16200000,104750000,1
2,171,17100000,105650000,1
2,201,20100000,108650000,1
2,202,20200000,108750000,1
2,235,23500000,112050000,1
2,237,23700000,112250000,3
2,245,24500000,113050000,1
2,246,24600000,113150000,2
2,257,25700000,114250000,1
2,289,28900000,117450000,1
2,300,30000000,118550000,2
2,301,30100000,118650000,1
2,303,30300000,118850000,2
2,305,30500000,119050000,1
2,307,30700000,119250000,1
2,310,31000000,119550000,1
2,311,31100000,119650000,1
2,312,31200000,119750000,1
2,313,31300000,119850000,1
2,314,31400000,119950000,2
2,316,31600000,120150000,1
2,330,33000000,121550000,2
2,331,33100000,121650000,1
2,343,34300000,122850000,1
2,352,35200000,123750000,1
2,365,36500000,125050000,1
2,367,36700000,125250000,1
2,376,37600000,126150000,1
2,385,38500000,127050000,1
2,386,38600000,127150000,1
2,388,38800000,127350000,1
2,392,39200000,127750000,1
2,393,39300000,127850000,1
2,394,39400000,127950000,1
2,396,39600000,128150000,1
2,406,40600000,129150000,1
2,409,40900000,129450000,1
2,421,42100000,130650000,1
2,423,42300000,130850000,1
2,424,42400000,130950000,2
2,430,43000000,131550000,1
2,431,43100000,131650000,1
2,446,44600000,133150000,1
2,447,44700000,133250000,1
2,453,45300000,133850000,1
2,454,45400000,133950000,1
2,455,45500000,134050000,1
2,457,45700000,134250000,1
2,465,46500000,135050000,2
2,469,46900000,135450000,1
2,480,48000000,136550000,1
2,484,48400000,136950000,1
2,485,48500000,137050000,1
2,494,49400000,137950000,1
2,499,49900000,138450000,1
2,512,51200000,139750000,1
2,523,52300000,140850000,11
2,524,52400000,140950000,4
2,525,52500000,141050000,3
2,526,52600000,141150000,14
2,527,52700000,141250000,2
2,528,52800000,141350000,5
2,529,52900000,141450000,2
2,530,53000000,141550000,3
2,534,53400000,141950000,1
2,537,53700000,142250000,1
2,538,53800000,142350000,2
2,539,53900000,142450000,1
2,547,54700000,143250000,2
2,548,54800000,143350000,4
2,549,54900000,143450000,3
2,551,55100000,143650000,6
2,555,55500000,144050000,4
2,558,55800000,144350000,1
2,566,56600000,145150000,2
2,567,56700000,145250000,2
2,572,57200000,145750000,1
2,584,58400000,146950000,1
2,585,58500000,147050000,2
2,588,58800000,147350000,1
2,598,59800000,148350000,2
2,602,60200000,148750000,1
2,603,60300000,148850000,1
2,608,60800000,149350000,1
2,609,60900000,149450000,1
2,611,61100000,149650000,1
2,621,62100000,150650000,1
2,634,63400000,151950000,1
2,636,63600000,152150000,1
2,639,63900000,152450000,1
2,654,65400000,153950000,2
2,663,66300000,154850000,2
2,669,66900000,155450000,1
2,677,67700000,156250000,1
2,685,68500000,157050000,1
2,702,70200000,158750000,1
2,755,75500000,164050000,1
2,759,75900000,164450000,1
3,39,3900000,173450000,1
3,40,4000000,173550000,1
3,51,5100000,174650000,1
3,55,5500000,175050000,1
3,68,6800000,176350000,5
3,70,7000000,176550000,1
3,71,7100000,176650000,1
3,75,7500000,177050000,1
3,76,7600000,177150000,2
3,77,7700000,177250000,3
3,78,7800000,177350000,1
3,86,8600000,178150000,1
3,88,8800000,178350000,2
3,98,9800000,179350000,4
3,101,10100000,179650000,1
3,129,12900000,182450000,4
3,157,15700000,185250000,1
3,162,16200000,185750000,1
3,169,16900000,186450000,2
3,183,18300000,187850000,1
3,544,54400000,223950000,1
3,572,57200000,226750000,1
3,574,57400000,226950000,14
3,575,57500000,227050000,1
3,576,57600000,227150000,1
3,577,57700000,227250000,1
3,583,58300000,227850000,1
3,586,58600000,228150000,1
3,598,59800000,229350000,1
3,600,60000000,229550000,2
3,603,60300000,229850000,1
3,604,60400000,229950000,2
3,607,60700000,230250000,1
3,608,60800000,230350000,1
3,612,61200000,230750000,1
3,613,61300000,230850000,1
3,615,61500000,231050000,2
3,618,61800000,231350000,1
3,637,63700000,233250000,1
3,639,63900000,233450000,1
3,642,64200000,233750000,11
3,643,64300000,233850000,4
3,645,64500000,234050000,1
3,646,64600000,234150000,4
3,647,64700000,234250000,1
3,648,64800000,234350000,2
3,651,65100000,234650000,6
3,655,65500000,235050000,5
3,656,65600000,235150000,5
3,659,65900000,235450000,3
3,664,66400000,235950000,3
3,665,66500000,236050000,6
3,666,66600000,236150000,4
3,668,66800000,236350000,5
3,675,67500000,237050000,1
3,693,69300000,238850000,1
3,701,70100000,239650000,1
3,710,71000000,240550000,1
3,711,71100000,240650000,2
3,717,71700000,241250000,1
3,720,72000000,241550000,1
3,724,72400000,241950000,3
3,725,72500000,242050000,1
3,726,72600000,242150000,3
3,728,72800000,242350000,1
3,729,72900000,242450000,1
3,735,73500000,243050000,1
3,737,73700000,243250000,1
3,743,74300000,243850000,2
3,744,74400000,243950000,2
3,748,74800000,244350000,1
3,751,75100000,244650000,2
3,762,76200000,245750000,1
3,801,80100000,249650000,2
4,6,600000,255350000,1
4,23,2300000,257050000,4
4,24,2400000,257150000,1
4,25,2500000,257250000,2
4,26,2600000,257350000,1
4,29,2900000,257650000,1
4,31,3100000,257850000,1
4,35,3500000,258250000,1
4,37,3700000,258450000,3
4,38,3800000,258550000,2
4,39,3900000,258650000,1
4,42,4200000,258950000,4
4,43,4300000,259050000,7
4,46,4600000,259350000,1
4,47,4700000,259450000,15
4,61,6100000,260850000,2
4,65,6500000,261250000,1
4,69,6900000,261650000,1
4,73,7300000,262050000,1
4,78,7800000,262550000,1
4,88,8800000,263550000,13
4,93,9300000,264050000,1
4,101,10100000,264850000,9
4,102,10200000,264950000,11
4,103,10300000,265050000,6
4,104,10400000,265150000,5
4,105,10500000,265250000,1
4,112,11200000,265950000,1
4,125,12500000,267250000,4
4,131,13100000,267850000,1
4,168,16800000,271550000,1
4,169,16900000,271650000,1
4,170,17000000,271750000,7
4,171,17100000,271850000,2
4,172,17200000,271950000,1
4,174,17400000,272150000,1
4,175,17500000,272250000,1
4,176,17600000,272350000,1
4,177,17700000,272450000,3
4,178,17800000,272550000,1
4,179,17900000,272650000,2
4,180,18000000,272750000,2
4,181,18100000,272850000,1
4,182,18200000,272950000,3
4,183,18300000,273050000,1
4,184,18400000,273150000,2
4,185,18500000,273250000,2
4,186,18600000,273350000,4
4,187,18700000,273450000,1
4,190,19000000,273750000,1
4,191,19100000,273850000,1
4,192,19200000,273950000,2
4,193,19300000,274050000,3
4,194,19400000,274150000,1
4,195,19500000,274250000,1
4,196,19600000,274350000,1
4,197,19700000,274450000,1
4,198,19800000,274550000,2
4,201,20100000,274850000,1
4,202,20200000,274950000,1
4,203,20300000,275050000,1
4,204,20400000,275150000,2
4,205,20500000,275250000,1
4,206,20600000,275350000,1
4,207,20700000,275450000,1
4,213,21300000,276050000,1
4,216,21600000,276350000,3
4,219,21900000,276650000,1
4,226,22600000,277350000,1
4,261,26100000,280850000,2
4,265,26500000,281250000,1
4,267,26700000,281450000,3
4,275,27500000,282250000,2
4,282,28200000,282950000,1
4,284,28400000,283150000,1
4,355,35500000,290250000,1
4,361,36100000,290850000,1
4,373,37300000,292050000,4
4,385,38500000,293250000,1
4,386,38600000,293350000,2
4,388,38800000,293550000,1
4,395,39500000,294250000,1
4,398,39800000,294550000,1
4,399,39900000,294650000,2
4,400,40000000,294750000,1
4,401,40100000,294850000,3
4,402,40200000,294950000,1
4,403,40300000,295050000,2
4,404,40400000,295150000,1
4,405,40500000,295250000,1
4,438,43800000,298550000,4
4,441,44100000,298850000,2
4,442,44200000,298950000,1
4,444,44400000,299150000,1
4,445,44500000,299250000,7
4,446,44600000,299350000,3
4,447,44700000,299450000,2
4,448,44800000,299550000,4
4,449,44900000,299650000,1
4,450,45000000,299750000,3
4,451,45100000,299850000,2
4,452,45200000,299950000,5
4,453,45300000,300050000,3
4,454,45400000,300150000,2
4,455,45500000,300250000,5
4,456,45600000,300350000,3
4,457,45700000,300450000,5
4,458,45800000,300550000,4
4,459,45900000,300650000,4
4,513,51300000,306050000,1
4,514,51400000,306150000,1
4,528,52800000,307550000,1
4,529,52900000,307650000,1
4,569,56900000,311650000,1
4,570,57000000,311750000,1
4,571,57100000,311850000,1
4,573,57300000,312050000,4
4,574,57400000,312150000,1
4,576,57600000,312350000,4
4,578,57800000,312550000,1
4,579,57900000,312650000,4
4,580,58000000,312750000,6
4,589,58900000,313650000,7
4,590,59000000,313750000,4
4,592,59200000,313950000,2
4,593,59300000,314050000,2
4,594,59400000,314150000,1
4,598,59800000,314550000,5
4,603,60300000,315050000,1
4,604,60400000,315150000,1
4,605,60500000,315250000,3
4,606,60600000,315350000,3
4,607,60700000,315450000,2
4,609,60900000,315650000,1
4,623,62300000,317050000,1
4,626,62600000,317350000,1
4,644,64400000,319150000,14
4,645,64500000,319250000,10
4,646,64600000,319350000,13
4,647,64700000,319450000,1
4,648,64800000,319550000,5
4,649,64900000,319650000,22
4,650,65000000,319750000,7
4,651,65100000,319850000,2
4,654,65400000,320150000,35
4,655,65500000,320250000,1
4,664,66400000,321150000,1
4,670,67000000,321750000,1
4,679,67900000,322650000,9
4,680,68000000,322750000,2
4,683,68300000,323050000,2
4,684,68400000,323150000,2
4,685,68500000,323250000,4
4,686,68600000,323350000,1
4,687,68700000,323450000,3
4,688,68800000,323550000,1
4,690,69000000,323750000,3
4,691,69100000,323850000,5
4,692,69200000,323950000,3
4,693,69300000,324050000,5
4,694,69400000,324150000,20
4,695,69500000,324250000,2
4,696,69600000,324350000,2
4,706,70600000,325350000,5
4,708,70800000,325550000,4
5,16,1600000,332250000,3
5,17,1700000,332350000,2
5,18,1800000,332450000,4
5,19,1900000,332550000,1
5,20,2000000,332650000,3
5,21,2100000,332750000,2
5,37,3700000,334350000,1
5,63,6300000,336950000,1
5,83,8300000,338950000,1
5,86,8600000,339250000,2
5,88,8800000,339450000,1
5,90,9000000,339650000,5
5,91,9100000,339750000,5
5,95,9500000,340150000,2
5,107,10700000,341350000,1
5,126,12600000,343250000,1
5,186,18600000,349250000,1
5,195,19500000,350150000,1
5,225,22500000,353150000,1
5,440,44000000,374650000,2
5,478,47800000,378450000,1
5,479,47900000,378550000,1
5,483,48300000,378950000,2
5,515,51500000,382150000,1
5,523,52300000,382950000,1
5,531,53100000,383750000,1
5,600,60000000,390650000,2
5,623,62300000,392950000,1
5,626,62600000,393250000,1
5,666,66600000,397250000,1
5,670,67000000,397650000,1
5,706,70600000,401250000,1
5,707,70700000,401350000,1
5,709,70900000,401550000,1
5,710,71000000,401650000,1
5,721,72100000,402750000,1
5,739,73900000,404550000,1
5,764,76400000,407050000,1
6,55,5500000,417650000,1
6,148,14800000,426950000,1
6,415,41500000,453650000,1
6,422,42200000,454350000,1
6,426,42600000,454750000,1
6,434,43400000,455550000,2
6,435,43500000,455650000,10
6,436,43600000,455750000,1
6,437,43700000,455850000,22
6,438,43800000,455950000,5
6,439,43900000,456050000,5
6,440,44000000,456150000,16
6,441,44100000,456250000,39
6,442,44200000,456350000,14
6,443,44300000,456450000,18
6,444,44400000,456550000,16
6,445,44500000,456650000,22
6,446,44600000,456750000,13
6,448,44800000,456950000,1
6,449,44900000,457050000,12
6,450,45000000,457150000,1
6,451,45100000,457250000,1
6,453,45300000,457450000,2
6,454,45400000,457550000,1
6,468,46800000,458950000,1
6,480,48000000,460150000,1
6,481,48100000,460250000,1
6,495,49500000,461650000,1
6,503,50300000,462450000,1
6,505,50500000,462650000,1
6,506,50600000,462750000,1
6,507,50700000,462850000,1
6,508,50800000,462950000,2
6,509,50900000,463050000,2
6,510,51000000,463150000,1
6,511,51100000,463250000,3
6,512,51200000,463350000,2
6,513,51300000,463450000,4
6,514,51400000,463550000,2
6,515,51500000,463650000,1
6,516,51600000,463750000,8
6,517,51700000,463850000,2
6,518,51800000,463950000,1
6,519,51900000,464050000,3
6,520,52000000,464150000,11
6,521,52100000,464250000,14
6,522,52200000,464350000,7
6,523,52300000,464450000,7
6,524,52400000,464550000,2
6,525,52500000,464650000,1
6,526,52600000,464750000,1
6,527,52700000,464850000,1
6,540,54000000,466150000,1
6,542,54200000,466350000,1
6,556,55600000,467750000,1
6,561,56100000,468250000,1
6,563,56300000,468450000,2
6,564,56400000,468550000,1
6,574,57400000,469550000,1
6,576,57600000,469750000,6
6,579,57900000,470050000,12
6,580,58000000,470150000,10
6,582,58200000,470350000,14
6,583,58300000,470450000,6
6,584,58400000,470550000,21
6,585,58500000,470650000,38
6,586,58600000,470750000,23
6,588,58800000,470950000,2
6,595,59500000,471650000,1
6,596,59600000,471750000,3
6,597,59700000,471850000,2
6,598,59800000,471950000,3
6,599,59900000,472050000,4
6,604,60400000,472550000,1
6,622,62200000,474350000,2
6,624,62400000,474550000,1
7,3,300000,479950000,1
7,5,500000,480150000,2
7,8,800000,480450000,1
7,9,900000,480550000,1
7,10,1000000,480650000,1
7,21,2100000,481750000,1
7,23,2300000,481950000,1
7,34,3400000,483050000,3
7,35,3500000,483150000,2
7,40,4000000,483650000,4
7,42,4200000,483850000,1
7,48,4800000,484450000,1
7,51,5100000,484750000,1
7,54,5400000,485050000,1
7,57,5700000,485350000,1
7,58,5800000,485450000,1
7,142,14200000,493850000,1
7,157,15700000,495350000,1
7,187,18700000,498350000,1
7,221,22100000,501750000,1
7,233,23300000,502950000,1
7,234,23400000,503050000,1
7,258,25800000,505450000,1
7,334,33400000,513050000,1
7,479,47900000,527550000,1
7,506,50600000,530250000,1
7,564,56400000,536050000,1
7,576,57600000,537250000,1
7,580,58000000,537650000,2
7,587,58700000,538350000,1
7,596,59600000,539250000,5
7,602,60200000,539850000,3
7,629,62900000,542550000,1
7,631,63100000,542750000,2
7,633,63300000,542950000,4
7,637,63700000,543350000,2
7,645,64500000,544150000,1
7,649,64900000,544550000,1
7,654,65400000,545050000,1
7,655,65500000,545150000,1
7,659,65900000,545550000,2
7,660,66000000,545650000,1
7,662,66200000,545850000,1
7,663,66300000,545950000,1
7,664,66400000,546050000,1
7,665,66500000,546150000,2
7,670,67000000,546650000,1
7,674,67400000,547050000,2
7,675,67500000,547150000,1
7,682,68200000,547850000,1
7,684,68400000,548050000,1
8,14,1400000,554550000,1
8,17,1700000,554850000,1
8,32,3200000,556350000,1
8,36,3600000,556750000,1
8,68,6800000,559950000,1
8,75,7500000,560650000,2
8,520,52000000,605150000,1
8,521,52100000,605250000,1
