gene_id,start,end,strand
Sobic.009G017600,1652137,1654947,-
"Sobic.009G017667
",1662273,1662876,-
Sobic.009G017732,1665789,1669105,-
Sobic.009G017800,1670175,1673491,-
Sobic.009G018000,1676352,1682303,+
Sobic.009G018200,1688423,1691308,-
Sobic.009G018300,1693363,1702311,-
"Sobic.009G018401
",1706465,1714766,-
"Sobic.009G018501
",1710070,1711496,-
Sobic.009G018600,1716164,1718680,-
Sobic.009G018900,1725782,1729443,+
"Sobic.009G019001
",1738705,1741762,+
Sobic.009G019100,1748333,1757162,+
Sobic.009G019200,1762470,1765466,+
Sobic.009G019301,1768741,1770558,+
"Sobic.009G019425
",1786461,1787405,+
Sobic.009G019550,1789157,1789657,+
Sobic.009G019700,1799084,1799867,+
Sobic.009G019800,1803200,1809902,+
Sobic.009G019900,1810060,1811674,+
Sobic.009G020000,1822304,1822830,+
Sobic.009G020100,1825478,1830368,+
Sobic.009G020200,1830241,1838863,-
Sobic.009G020500,1844408,1853954,+
