gene_id,strand,seg_start,seg_end,kind
Sobic.002G164700,+,52318811,52318938,UTR
Sobic.002G164700,+,52318939,52319529,CDS
Sobic.002G164700,+,52319660,52320181,CDS
Sobic.002G164700,+,52320182,52320711,UTR
Sobic.002G164800,-,52348687,52348737,CDS
Sobic.002G164800,-,52348738,52349460,UTR
Sobic.002G164800,-,52348216,52348330,CDS
Sobic.002G164800,-,52347478,52347580,CDS
Sobic.002G164800,-,52346982,52347081,CDS
Sobic.002G164800,-,52345601,52345679,CDS
Sobic.002G164800,-,52345299,52345470,CDS
Sobic.002G164800,-,52345135,52345215,CDS
Sobic.002G164800,-,52344814,52344996,CDS
Sobic.002G164800,-,52344450,52344501,CDS
Sobic.002G164800,-,52344299,52344364,CDS
Sobic.002G164800,-,52339867,52339875,UTR
Sobic.002G164800,-,52339876,52339899,CDS
Sobic.002G164800,-,52338503,52339144,UTR
Sobic.002G164833,-,52368376,52368651,CDS
Sobic.002G164833,-,52368085,52368348,CDS
Sobic.002G164866,+,52373243,52373700,CDS
Sobic.002G164866,+,52373852,52373984,CDS
Sobic.002G164866,+,52374058,52374142,CDS
Sobic.002G164866,+,52375365,52375414,CDS
Sobic.002G164866,+,52375415,52375727,UTR
Sobic.002G164900,+,52479457,52479687,UTR
Sobic.002G164900,+,52479688,52479795,CDS
Sobic.002G164900,+,52481798,52481875,CDS
Sobic.002G164900,+,52482351,52482491,CDS
Sobic.002G164900,+,52482577,52482653,CDS
Sobic.002G164900,+,52482729,52482881,CDS
Sobic.002G164900,+,52482947,52483160,CDS
Sobic.002G164900,+,52483161,52483561,UTR
Sobic.002G164960,-,52522882,52523630,UTR
Sobic.002G164960,-,52523631,52524152,CDS
Sobic.002G165080,+,52586252,52586476,CDS
Sobic.002G165080,+,52587080,52587591,CDS
Sobic.002G165080,+,52587676,52587688,CDS
Sobic.002G165140,-,52602112,52602704,UTR
Sobic.002G165140,-,52599173,52599385,CDS
Sobic.002G165140,-,52599386,52599391,UTR
Sobic.002G165140,-,52598989,52599076,CDS
Sobic.002G165140,-,52598795,52598904,CDS
Sobic.002G165140,-,52598591,52598684,CDS
Sobic.002G165140,-,52597026,52597214,CDS
Sobic.002G165140,-,52596861,52596920,CDS
Sobic.002G165140,-,52596282,52596599,UTR
Sobic.002G165140,-,52596600,52596775,CDS
Sobic.002G165300,-,52633823,52634450,CDS
Sobic.002G165300,-,52634451,52634527,UTR
Sobic.002G165300,-,52632670,52633019,CDS
Sobic.002G165300,-,52631876,52632051,CDS
Sobic.002G165300,-,52631679,52631745,CDS
Sobic.002G165300,-,52631134,52631556,UTR
Sobic.002G165300,-,52631557,52631598,CDS
Sobic.002G165402,+,52637964,52638086,UTR
Sobic.002G165402,+,52638087,52638791,CDS
Sobic.002G165402,+,52638792,52639231,UTR
