gene_id,strand,seg_start,seg_end,kind
Sobic.009G017600,-,1654374,1654572,CDS
Sobic.009G017600,-,1654573,1654947,UTR
Sobic.009G017600,-,1652780,1653503,CDS
Sobic.009G017600,-,1652137,1652485,UTR
Sobic.009G017600,-,1652486,1652645,CDS
Sobic.009G017667,-,1662523,1662876,CDS
Sobic.009G017667,-,1662273,1662341,CDS
Sobic.009G017732,-,1668508,1668736,CDS
Sobic.009G017732,-,1668737,1669105,UTR
Sobic.009G017732,-,1668287,1668377,CDS
Sobic.009G017732,-,1667301,1667447,CDS
Sobic.009G017732,-,1666811,1666928,CDS
Sobic.009G017732,-,1666375,1666518,CDS
Sobic.009G017732,-,1665789,1666147,UTR
Sobic.009G017732,-,1666148,1666291,CDS
Sobic.009G017800,-,1673129,1673189,CDS
Sobic.009G017800,-,1673190,1673491,UTR
Sobic.009G017800,-,1672931,1673021,CDS
Sobic.009G017800,-,1671955,1672101,CDS
Sobic.009G017800,-,1671157,1671274,CDS
Sobic.009G017800,-,1670777,1670917,CDS
Sobic.009G017800,-,1670175,1670596,UTR
Sobic.009G017800,-,1670597,1670683,CDS
Sobic.009G018000,+,1676352,1676429,UTR
Sobic.009G018000,+,1676430,1676784,CDS
Sobic.009G018000,+,1676898,1676989,CDS
Sobic.009G018000,+,1677312,1677404,CDS
Sobic.009G018000,+,1677519,1679402,CDS
Sobic.009G018000,+,1679748,1679928,CDS
Sobic.009G018000,+,1680021,1680643,CDS
Sobic.009G018000,+,1680644,1682303,UTR
Sobic.009G018200,-,1688423,1688607,UTR
Sobic.009G018200,-,1688608,1691169,CDS
Sobic.009G018200,-,1691170,1691308,UTR
Sobic.009G018300,-,1702095,1702311,UTR
Sobic.009G018300,-,1697889,1699062,CDS
Sobic.009G018300,-,1699063,1699089,UTR
Sobic.009G018300,-,1693363,1693656,UTR
Sobic.009G018300,-,1693657,1695611,CDS
Sobic.009G018401,-,1714353,1714766,UTR
Sobic.009G018401,-,1714062,1714189,UTR
Sobic.009G018401,-,1713655,1713840,UTR
Sobic.009G018401,-,1713290,1713557,UTR
Sobic.009G018401,-,1712930,1713150,UTR
Sobic.009G018401,-,1712231,1712309,UTR
Sobic.009G018401,-,1708451,1708525,UTR
Sobic.009G018401,-,1706465,1706672,UTR
Sobic.009G018401,-,1706673,1707197,CDS
Sobic.009G018401,-,1707198,1707414,UTR
Sobic.009G018501,-,1710070,1710111,UTR
Sobic.009G018501,-,1710112,1710582,CDS
Sobic.009G018501,-,1710583,1711496,UTR
Sobic.009G018600,-,1717634,1718680,CDS
Sobic.009G018600,-,1716164,1717558,CDS
Sobic.009G018900,+,1725782,1726800,UTR
Sobic.009G018900,+,1726801,1729302,CDS
Sobic.009G018900,+,1729303,1729437,UTR
Sobic.009G019001,+,1738705,1738882,UTR
Sobic.009G019001,+,1738883,1741432,CDS
Sobic.009G019001,+,1741433,1741762,UTR
Sobic.009G019100,+,1748333,1748567,UTR
Sobic.009G019100,+,1748568,1749255,CDS
Sobic.009G019100,+,1754172,1754301,CDS
Sobic.009G019100,+,1754381,1754565,CDS
Sobic.009G019100,+,1755511,1755579,CDS
Sobic.009G019100,+,1755770,1756863,CDS
Sobic.009G019100,+,1756864,1757162,UTR
Sobic.009G019200,+,1762470,1762584,UTR
Sobic.009G019200,+,1762585,1765239,CDS
Sobic.009G019200,+,1765240,1765466,UTR
Sobic.009G019301,+,1768741,1768878,UTR
Sobic.009G019301,+,1768879,1769343,CDS
Sobic.009G019301,+,1769344,1769450,UTR
Sobic.009G019301,+,1769798,1770558,UTR
Sobic.009G019425,+,1786461,1786512,UTR
Sobic.009G019425,+,1786513,1787232,CDS
Sobic.009G019425,+,1787233,1787405,UTR
Sobic.009G019550,+,1789157,1789184,UTR
Sobic.009G019550,+,1789185,1789460,CDS
Sobic.009G019550,+,1789461,1789657,UTR
Sobic.009G019700,+,1799084,1799140,UTR
Sobic.009G019700,+,1799141,1799818,CDS
Sobic.009G019700,+,1799819,1799867,UTR
Sobic.009G019800,+,1803200,1804243,UTR
Sobic.009G019800,+,1805529,1805998,UTR
Sobic.009G019800,+,1805999,1806807,CDS
Sobic.009G019800,+,1807563,1809474,CDS
Sobic.009G019800,+,1809475,1809707,UTR
Sobic.009G019900,+,1810238,1810634,UTR
Sobic.009G019900,+,1810957,1811054,UTR
Sobic.009G019900,+,1811055,1811411,CDS
Sobic.009G019900,+,1811412,1811674,UTR
Sobic.009G020000,+,1822304,1822455,UTR
Sobic.009G020000,+,1822456,1822710,CDS
Sobic.009G020000,+,1822711,1822830,UTR
Sobic.009G020100,+,1825478,1825680,UTR
Sobic.009G020100,+,1825681,1825782,CDS
Sobic.009G020100,+,1826558,1826632,CDS
Sobic.009G020100,+,1826730,1826786,CDS
Sobic.009G020100,+,1827352,1827434,CDS
Sobic.009G020100,+,1827591,1827649,CDS
Sobic.009G020100,+,1828025,1828173,CDS
Sobic.009G020100,+,1828713,1828850,CDS
Sobic.009G020100,+,1828950,1829108,CDS
Sobic.009G020100,+,1829194,1829289,CDS
Sobic.009G020100,+,1829290,1829299,UTR
Sobic.009G020100,+,1829480,1830368,UTR
Sobic.009G020200,-,1838517,1838863,UTR
Sobic.009G020200,-,1833480,1833829,CDS
Sobic.009G020200,-,1833830,1834185,UTR
Sobic.009G020200,-,1830241,1830639,UTR
Sobic.009G020200,-,1830640,1832659,CDS
Sobic.009G020500,+,1844408,1844704,UTR
Sobic.009G020500,+,1844705,1844878,CDS
Sobic.009G020500,+,1845604,1845915,CDS
