trait,POS,p_value
embedding_mean_139,65380000,0.6097567677497864
embedding_mean_139,65380056,0.08178659528493881
embedding_mean_139,65380323,0.5785138607025146
embedding_mean_139,65380569,0.12633055448532104
embedding_mean_139,65380632,0.19576020538806915
embedding_mean_139,65380652,0.020511792972683907
embedding_mean_139,65380656,0.04026688635349274
embedding_mean_139,65380680,0.05867181718349457
embedding_mean_139,65381036,0.15306077897548676
embedding_mean_139,65381043,0.10053015500307083
embedding_mean_139,65381337,0.08158551901578903
embedding_mean_139,65381341,0.07438188046216965
embedding_mean_139,65381459,0.4109731614589691
embedding_mean_139,65381497,0.5560789704322815
embedding_mean_139,65381767,0.1673157662153244
embedding_mean_139,65381798,0.24549873173236847
embedding_mean_139,65382182,0.2654176354408264
embedding_mean_139,65382890,0.04281282797455788
embedding_mean_139,65383017,0.36436474323272705
embedding_mean_139,65383158,0.06229677051305771
embedding_mean_139,65383221,0.08640506863594055
embedding_mean_139,65383299,0.11875501275062561
embedding_mean_139,65383568,0.8583081364631653
embedding_mean_139,65384208,0.03005852922797203
embedding_mean_139,65384719,0.17315402626991272
embedding_mean_139,65385106,0.15624555945396423
embedding_mean_139,65386174,0.09053856134414673
embedding_mean_139,65386276,0.03005852922797203
embedding_mean_139,65386465,0.273128867149353
embedding_mean_139,65386999,0.673913836479187
embedding_mean_139,65388479,0.48398175835609436
embedding_mean_139,65388775,0.19370834529399872
embedding_mean_139,65389123,0.0431760735809803
embedding_mean_139,65389200,0.08833738416433334
embedding_mean_139,65389855,0.17583099007606506
embedding_mean_139,65390906,0.03939809650182724
embedding_mean_139,65390930,0.5454328656196594
embedding_mean_139,65391150,0.8508933782577515
embedding_mean_139,65391514,0.10556264966726303
embedding_mean_139,65391846,0.056847624480724335
embedding_mean_139,65391868,0.6262561082839966
embedding_mean_139,65391996,0.33108478784561157
embedding_mean_139,65392005,0.22077740728855133
embedding_mean_139,65392006,0.13041414320468903
embedding_mean_139,65392013,0.8366844058036804
embedding_mean_139,65392052,0.9925020933151245
embedding_mean_139,65392064,0.11595045775175095
embedding_mean_139,65392067,0.025367343798279762
embedding_mean_139,65392090,0.11595045775175095
embedding_mean_139,65392196,0.182549387216568
embedding_mean_139,65392348,0.11032897979021072
embedding_mean_139,65392417,0.5000995397567749
embedding_mean_139,65392472,0.538134753704071
embedding_mean_139,65392501,0.6820886731147766
embedding_mean_139,65392675,0.31541451811790466
embedding_mean_139,65392706,0.9405076503753662
embedding_mean_139,65392819,0.09266822040081024
embedding_mean_139,65392825,0.29289284348487854
embedding_mean_139,65392890,0.8794455528259277
embedding_mean_139,65393076,0.2503854036331177
embedding_mean_139,65393121,0.08285287022590637
embedding_mean_139,65393173,0.21834145486354828
embedding_mean_139,65393295,0.05994906276464462
embedding_mean_139,65393359,0.04380279779434204
embedding_mean_139,65393364,0.14026522636413574
embedding_mean_139,65393382,0.6915462613105774
embedding_mean_139,65393397,0.016042621806263924
embedding_mean_139,65393425,0.9139522910118103
embedding_mean_139,65393433,0.3625998795032501
embedding_mean_139,65393439,0.15725332498550415
embedding_mean_139,65393453,0.1097772866487503
embedding_mean_139,65393465,0.3339577615261078
embedding_mean_139,65393811,0.48180413246154785
embedding_mean_139,65393845,0.6797453761100769
embedding_mean_139,65393848,0.13284631073474884
embedding_mean_139,65393868,0.055556770414114
embedding_mean_139,65393890,0.20491932332515717
embedding_mean_139,65394210,0.014508377760648727
embedding_mean_139,65394506,0.7384817004203796
embedding_mean_139,65394509,0.77994704246521
embedding_mean_139,65394510,0.7358234524726868
embedding_mean_139,65394768,0.22516687214374542
embedding_mean_139,65394822,9.05465567484498e-4
embedding_mean_139,65394909,0.016672849655151367
embedding_mean_139,65394935,0.013245262205600739
embedding_mean_139,65394973,0.02233639545738697
embedding_mean_139,65395029,0.0766257643699646
embedding_mean_139,65395084,0.5520520210266113
embedding_mean_139,65395133,0.6958206295967102
embedding_mean_139,65395134,0.6601763963699341
embedding_mean_139,65395195,0.010523220524191856
embedding_mean_139,65395223,0.010523018427193165
embedding_mean_139,65395232,7.580195087939501e-4
embedding_mean_139,65395252,0.007276101969182491
embedding_mean_139,65395294,3.2925463165156543e-4
embedding_mean_139,65395333,0.010523018427193165
embedding_mean_139,65395342,0.010523018427193165
embedding_mean_139,65395343,0.7345014214515686
embedding_mean_139,65395417,0.45204901695251465
embedding_mean_139,65395426,0.5874635577201843
embedding_mean_139,65395639,0.48267683386802673
embedding_mean_139,65395642,0.48267683386802673
embedding_mean_139,65395648,0.48267683386802673
embedding_mean_139,65395663,0.9779736995697021
embedding_mean_139,65395683,0.9102703332901001
embedding_mean_139,65395685,0.9102703332901001
embedding_mean_139,65395702,0.653857946395874
embedding_mean_139,65395705,0.8805102705955505
